epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g),
1.65835E+12,2022-07-20T16:10:37.043,6.72,0.21,0.967,-0.197,trial 1
1.65835E+12,2022-07-20T16:10:37.083,6.76,0.214,0.969,-0.19,
1.65835E+12,2022-07-20T16:10:37.123,6.8,0.212,0.971,-0.194,
1.65835E+12,2022-07-20T16:10:37.163,6.84,0.214,0.968,-0.192,
1.65835E+12,2022-07-20T16:10:37.203,6.88,0.214,0.968,-0.191,
1.65835E+12,2022-07-20T16:10:37.243,6.92,0.211,0.97,-0.194,
1.65835E+12,2022-07-20T16:10:37.283,6.96,0.211,0.973,-0.199,
1.65835E+12,2022-07-20T16:10:37.323,7,0.216,0.972,-0.193,
1.65835E+12,2022-07-20T16:10:37.363,7.04,0.21,0.97,-0.191,
1.65835E+12,2022-07-20T16:10:37.403,7.08,0.208,0.971,-0.194,
1.65835E+12,2022-07-20T16:10:37.443,7.12,0.207,0.974,-0.202,
1.65835E+12,2022-07-20T16:10:37.483,7.16,0.215,0.97,-0.198,
1.65835E+12,2022-07-20T16:10:37.523,7.2,0.22,0.967,-0.186,
1.65835E+12,2022-07-20T16:10:37.563,7.24,0.21,0.971,-0.191,
1.65835E+12,2022-07-20T16:10:37.603,7.28,0.204,0.972,-0.196,
1.65835E+12,2022-07-20T16:10:37.643,7.32,0.201,0.97,-0.193,
1.65835E+12,2022-07-20T16:10:37.683,7.36,0.209,0.971,-0.207,
1.65835E+12,2022-07-20T16:10:37.723,7.4,0.211,0.972,-0.199,
1.65835E+12,2022-07-20T16:10:37.763,7.44,0.215,0.971,-0.183,
1.65835E+12,2022-07-20T16:10:37.803,7.48,0.216,0.971,-0.192,
1.65835E+12,2022-07-20T16:10:37.843,7.52,0.21,0.976,-0.199,
1.65835E+12,2022-07-20T16:10:37.883,7.56,0.215,0.972,-0.202,
1.65835E+12,2022-07-20T16:10:37.923,7.6,0.216,0.969,-0.197,
1.65835E+12,2022-07-20T16:10:37.963,7.64,0.212,0.968,-0.199,
1.65835E+12,2022-07-20T16:10:38.003,7.68,0.217,0.969,-0.197,
1.65835E+12,2022-07-20T16:10:38.043,7.72,0.214,0.975,-0.191,
1.65835E+12,2022-07-20T16:10:38.083,7.76,0.216,0.977,-0.198,
1.65835E+12,2022-07-20T16:10:38.123,7.8,0.208,0.968,-0.199,
1.65835E+12,2022-07-20T16:10:38.163,7.84,0.202,0.965,-0.195,
1.65835E+12,2022-07-20T16:10:38.203,7.88,0.2,0.969,-0.204,
1.65835E+12,2022-07-20T16:10:38.243,7.92,0.205,0.972,-0.199,
1.65835E+12,2022-07-20T16:10:38.283,7.96,0.211,0.977,-0.189,
1.65835E+12,2022-07-20T16:10:38.323,8,0.205,0.98,-0.198,
1.65835E+12,2022-07-20T16:10:38.363,8.04,0.178,0.968,-0.193,
1.65835E+12,2022-07-20T16:10:38.403,8.08,0.155,0.969,-0.199,
1.65835E+12,2022-07-20T16:10:38.443,8.12,0.087,0.974,-0.22,
1.65835E+12,2022-07-20T16:10:38.483,8.16,0.066,0.987,-0.201,
1.65835E+12,2022-07-20T16:10:38.523,8.2,0.121,0.983,-0.22,
1.65835E+12,2022-07-20T16:10:38.563,8.24,0.131,0.959,-0.234,
1.65835E+12,2022-07-20T16:10:38.603,8.28,0.066,0.941,-0.179,
1.65835E+12,2022-07-20T16:10:38.643,8.32,0.04,0.943,-0.159,
1.65835E+12,2022-07-20T16:10:38.683,8.36,0.018,0.906,-0.16,
1.65835E+12,2022-07-20T16:10:38.723,8.4,0.057,0.882,-0.134,
1.65835E+12,2022-07-20T16:10:38.763,8.44,0.095,0.829,-0.133,
1.65835E+12,2022-07-20T16:10:38.803,8.48,0.014,0.846,-0.217,
1.65835E+12,2022-07-20T16:10:38.843,8.52,0.025,0.835,-0.195,
1.65835E+12,2022-07-20T16:10:38.883,8.56,0.096,0.805,-0.184,
1.65835E+12,2022-07-20T16:10:38.923,8.6,0.007,0.833,-0.081,
1.65835E+12,2022-07-20T16:10:38.963,8.64,0.061,0.772,0.021,
1.65835E+12,2022-07-20T16:10:39.003,8.68,-0.009,0.906,-0.12,
1.65835E+12,2022-07-20T16:10:39.043,8.72,0.151,0.856,-0.016,
1.65835E+12,2022-07-20T16:10:39.083,8.76,0.212,0.805,0.039,
1.65835E+12,2022-07-20T16:10:39.123,8.8,0.102,0.921,-0.078,
1.65835E+12,2022-07-20T16:10:39.163,8.84,0.001,0.832,-0.11,
1.65835E+12,2022-07-20T16:10:39.203,8.88,-0.287,0.742,-0.112,
1.65835E+12,2022-07-20T16:10:39.243,8.92,-0.216,0.808,-0.065,
1.65835E+12,2022-07-20T16:10:39.283,8.96,-0.243,0.878,-0.174,
1.65835E+12,2022-07-20T16:10:39.323,9,-0.219,1.072,-0.326,
1.65835E+12,2022-07-20T16:10:39.363,9.04,-0.137,0.904,-0.258,
1.65835E+12,2022-07-20T16:10:39.403,9.08,-0.021,0.991,-0.289,
1.65835E+12,2022-07-20T16:10:39.443,9.12,-0.147,0.909,-0.258,
1.65835E+12,2022-07-20T16:10:39.483,9.16,-0.2,0.809,-0.394,
1.65835E+12,2022-07-20T16:10:39.523,9.2,-0.309,0.955,-0.089,
1.65835E+12,2022-07-20T16:10:39.563,9.24,-0.164,1.246,0.238,
1.65835E+12,2022-07-20T16:10:39.603,9.28,0.765,0.999,1.037,
1.65835E+12,2022-07-20T16:10:39.643,9.32,-0.032,1.797,0.75,
1.65835E+12,2022-07-20T16:10:39.683,9.36,-0.099,1.331,0.987,
1.65835E+12,2022-07-20T16:10:39.723,9.4,1.634,1.015,1.171,
1.65835E+12,2022-07-20T16:10:39.763,9.44,1.033,1.104,1.037,
1.65835E+12,2022-07-20T16:10:39.803,9.48,0.5,0.012,-0.273,
1.65835E+12,2022-07-20T16:10:39.843,9.52,1.54,0.792,1.688,
1.65835E+12,2022-07-20T16:10:39.883,9.56,0.422,-0.164,0.403,
1.65835E+12,2022-07-20T16:10:39.923,9.6,-0.645,-0.119,-0.364,
1.65835E+12,2022-07-20T16:10:39.963,9.64,0.023,-1.1,0.083,
1.65835E+12,2022-07-20T16:10:40.003,9.68,1.989,-0.102,1.274,
1.65835E+12,2022-07-20T16:10:40.043,9.72,1.649,-0.245,1.082,
1.65835E+12,2022-07-20T16:10:40.083,9.76,1.069,0.348,0.66,
1.65835E+12,2022-07-20T16:10:40.123,9.8,-0.091,-0.36,-0.079,
1.65835E+12,2022-07-20T16:10:40.163,9.84,-0.626,-0.388,-0.076,
1.65835E+12,2022-07-20T16:10:40.203,9.88,-0.052,-0.128,0.387,
1.65835E+12,2022-07-20T16:10:40.243,9.92,-0.356,-0.196,0.7,
1.65835E+12,2022-07-20T16:10:40.283,9.96,-0.02,-0.087,1.233,
1.65835E+12,2022-07-20T16:10:40.323,10,-0.364,0.085,1.871,
1.65835E+12,2022-07-20T16:10:40.363,10.04,-0.148,0.287,1.785,
1.65835E+12,2022-07-20T16:10:40.403,10.08,-0.174,0.127,0.657,
1.65835E+12,2022-07-20T16:10:40.443,10.12,-0.13,0.091,0.442,
1.65835E+12,2022-07-20T16:10:40.483,10.16,-0.004,0.209,0.799,
1.65835E+12,2022-07-20T16:10:40.523,10.2,-0.334,0.306,1.261,
1.65835E+12,2022-07-20T16:10:40.563,10.24,-0.442,0.068,1.393,
1.65835E+12,2022-07-20T16:10:40.603,10.28,-0.084,0.02,1.205,
1.65835E+12,2022-07-20T16:10:40.643,10.32,0.061,-0.036,0.854,
1.65835E+12,2022-07-20T16:10:40.683,10.36,-0.19,-0.071,0.671,
1.65835E+12,2022-07-20T16:10:40.723,10.4,-0.106,0.005,0.738,
1.65835E+12,2022-07-20T16:10:40.763,10.44,-0.132,0.116,1.062,
1.65835E+12,2022-07-20T16:10:40.803,10.48,-0.042,0.128,1.323,
1.65835E+12,2022-07-20T16:10:40.843,10.52,-0.018,0.068,1.132,
1.65835E+12,2022-07-20T16:10:40.883,10.56,-0.068,0.012,0.899,
1.65835E+12,2022-07-20T16:10:40.923,10.6,-0.097,0.015,0.909,
1.65835E+12,2022-07-20T16:10:40.963,10.64,-0.074,0.037,1.034,
1.65835E+12,2022-07-20T16:10:41.003,10.68,-0.162,0.072,1.055,
1.65835E+12,2022-07-20T16:10:41.043,10.72,-0.091,0.065,0.989,
1.65835E+12,2022-07-20T16:10:41.083,10.76,-0.164,0.036,0.964,
1.65835E+12,2022-07-20T16:10:41.123,10.8,-0.063,0.04,1.026,
1.65835E+12,2022-07-20T16:10:41.163,10.84,-0.095,0.066,1.013,
1.65835E+12,2022-07-20T16:10:41.203,10.88,-0.086,0.047,1.005,
1.65835E+12,2022-07-20T16:10:41.243,10.92,-0.103,0.05,1.005,
1.65835E+12,2022-07-20T16:10:41.283,10.96,-0.102,0.061,0.989,
1.65835E+12,2022-07-20T16:10:41.323,11,-0.122,0.06,1.007,
1.65835E+12,2022-07-20T16:10:41.363,11.04,-0.085,0.046,1.012,
1.65835E+12,2022-07-20T16:10:41.403,11.08,-0.112,0.055,1.005,
