epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g),
1.65971E+12,2022-08-05T10:33:50.821,8.12,0.143,0.979,0.187,trial1
1.65971E+12,2022-08-05T10:33:50.861,8.16,0.149,0.982,0.195,
1.65971E+12,2022-08-05T10:33:50.901,8.2,0.156,0.983,0.195,
1.65971E+12,2022-08-05T10:33:50.941,8.24,0.157,0.981,0.191,
1.65971E+12,2022-08-05T10:33:50.981,8.28,0.142,0.981,0.18,
1.65971E+12,2022-08-05T10:33:51.021,8.32,0.132,0.979,0.175,
1.65971E+12,2022-08-05T10:33:51.061,8.36,0.134,0.975,0.17,
1.65971E+12,2022-08-05T10:33:51.101,8.4,0.136,0.969,0.168,
1.65971E+12,2022-08-05T10:33:51.141,8.44,0.133,0.954,0.166,
1.65971E+12,2022-08-05T10:33:51.181,8.48,0.132,0.937,0.173,
1.65971E+12,2022-08-05T10:33:51.221,8.52,0.145,0.937,0.17,
1.65971E+12,2022-08-05T10:33:51.261,8.56,0.147,0.928,0.154,
1.65971E+12,2022-08-05T10:33:51.301,8.6,0.142,0.893,0.127,
1.65971E+12,2022-08-05T10:33:51.341,8.64,0.146,0.837,0.108,
1.65971E+12,2022-08-05T10:33:51.381,8.68,0.132,0.825,0.118,
1.65971E+12,2022-08-05T10:33:51.421,8.72,0.141,0.824,0.132,
1.65971E+12,2022-08-05T10:33:51.461,8.76,0.204,0.872,0.129,
1.65971E+12,2022-08-05T10:33:51.501,8.8,0.241,0.88,0.135,
1.65971E+12,2022-08-05T10:33:51.541,8.84,0.224,0.866,0.158,
1.65971E+12,2022-08-05T10:33:51.581,8.88,0.232,0.856,0.199,
1.65971E+12,2022-08-05T10:33:51.621,8.92,0.272,0.866,0.162,
1.65971E+12,2022-08-05T10:33:51.661,8.96,0.234,0.875,0.201,
1.65971E+12,2022-08-05T10:33:51.701,9,0.152,0.866,0.266,
1.65971E+12,2022-08-05T10:33:51.741,9.04,0.134,0.831,0.277,
1.65971E+12,2022-08-05T10:33:51.781,9.08,0.156,0.796,0.292,
1.65971E+12,2022-08-05T10:33:51.821,9.12,0.196,0.796,0.356,
