epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g),
1.65971E+12,2022-08-05T10:14:10.792,6.72,0.162,1.002,0.053,trial1
1.65971E+12,2022-08-05T10:14:10.832,6.76,0.164,1.008,0.051,
1.65971E+12,2022-08-05T10:14:10.872,6.8,0.155,1.012,0.057,
1.65971E+12,2022-08-05T10:14:10.912,6.84,0.143,1.013,0.07,
1.65971E+12,2022-08-05T10:14:10.952,6.88,0.138,1.014,0.072,
1.65971E+12,2022-08-05T10:14:10.992,6.92,0.123,1.005,0.062,
1.65971E+12,2022-08-05T10:14:11.032,6.96,0.094,0.986,0.06,
1.65971E+12,2022-08-05T10:14:11.072,7,0.083,0.977,0.075,
1.65971E+12,2022-08-05T10:14:11.112,7.04,0.09,0.993,0.098,
1.65971E+12,2022-08-05T10:14:11.152,7.08,0.096,0.984,0.104,
1.65971E+12,2022-08-05T10:14:11.192,7.12,0.127,0.986,0.12,
1.65971E+12,2022-08-05T10:14:11.232,7.16,0.165,0.981,0.118,
1.65971E+12,2022-08-05T10:14:11.272,7.2,0.184,0.953,0.127,
1.65971E+12,2022-08-05T10:14:11.312,7.24,0.096,0.942,0.167,
1.65971E+12,2022-08-05T10:14:11.352,7.28,0.096,0.959,0.173,
1.65971E+12,2022-08-05T10:14:11.392,7.32,0.147,0.957,0.156,
1.65971E+12,2022-08-05T10:14:11.432,7.36,0.084,0.938,0.154,
1.65971E+12,2022-08-05T10:14:11.472,7.4,0.037,0.886,0.178,
1.65971E+12,2022-08-05T10:14:11.512,7.44,0.043,0.867,0.174,
1.65971E+12,2022-08-05T10:14:11.552,7.48,0.043,0.937,0.077,
1.65971E+12,2022-08-05T10:14:11.592,7.52,0.102,0.953,0.023,
1.65971E+12,2022-08-05T10:14:11.632,7.56,0.122,0.954,0.012,
1.65971E+12,2022-08-05T10:14:11.672,7.6,0.16,0.89,0.015,
1.65971E+12,2022-08-05T10:14:11.712,7.64,0.148,0.842,0.009,
1.65971E+12,2022-08-05T10:14:11.752,7.68,0.011,0.835,0.019,
1.65971E+12,2022-08-05T10:14:11.792,7.72,0.013,0.857,0.024,
1.65971E+12,2022-08-05T10:14:11.832,7.76,0.091,0.921,0.03,
1.65971E+12,2022-08-05T10:14:11.872,7.8,0.065,0.938,0.04,
1.65971E+12,2022-08-05T10:14:11.912,7.84,-0.014,0.859,0.148,
1.65971E+12,2022-08-05T10:14:11.952,7.88,-0.091,0.748,0.234,
1.65971E+12,2022-08-05T10:14:11.992,7.92,-0.251,0.735,0.192,
1.65971E+12,2022-08-05T10:14:12.032,7.96,-0.388,0.834,0.191,
1.65971E+12,2022-08-05T10:14:12.072,8,-0.388,0.901,0.191,
1.65971E+12,2022-08-05T10:14:12.112,8.04,-0.349,1.112,0.219,
1.65971E+12,2022-08-05T10:14:12.152,8.08,-0.416,1.044,0.229,
1.65971E+12,2022-08-05T10:14:12.192,8.12,-0.539,1.09,0.328,
1.65971E+12,2022-08-05T10:14:12.232,8.16,-0.553,1.048,0.421,
1.65971E+12,2022-08-05T10:14:12.272,8.2,-0.449,0.768,0.558,
1.65971E+12,2022-08-05T10:14:12.312,8.24,-0.338,0.568,0.756,
1.65971E+12,2022-08-05T10:14:12.352,8.28,-0.094,0.582,0.917,
1.65971E+12,2022-08-05T10:14:12.392,8.32,0.074,0.669,0.838,
1.65971E+12,2022-08-05T10:14:12.432,8.36,0.231,0.802,0.708,
1.65971E+12,2022-08-05T10:14:12.472,8.4,0.261,0.918,0.621,
1.65971E+12,2022-08-05T10:14:12.512,8.44,0.667,1.046,0.759,
1.65971E+12,2022-08-05T10:14:12.552,8.48,0.402,0.963,0.945,
1.65971E+12,2022-08-05T10:14:12.592,8.52,-0.089,0.631,0.308,
1.65971E+12,2022-08-05T10:14:12.632,8.56,-0.216,1.367,0.29,
1.65971E+12,2022-08-05T10:14:12.672,8.6,1.483,1.624,0.246,
1.65971E+12,2022-08-05T10:14:12.712,8.64,0.867,0.706,0.272,
1.65971E+12,2022-08-05T10:14:12.752,8.68,1.277,-0.065,0.749,
1.65971E+12,2022-08-05T10:14:12.792,8.72,1.335,-0.067,0.638,
