epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g),
1.65835E+12,2022-07-20T16:32:39.977,7.12,0.152,0.978,-0.189,trial 1
1.65835E+12,2022-07-20T16:32:40.017,7.16,0.143,0.985,-0.187,
1.65835E+12,2022-07-20T16:32:40.057,7.2,0.147,0.984,-0.189,
1.65835E+12,2022-07-20T16:32:40.097,7.24,0.155,0.979,-0.188,
1.65835E+12,2022-07-20T16:32:40.137,7.28,0.152,0.976,-0.198,
1.65835E+12,2022-07-20T16:32:40.177,7.32,0.159,0.979,-0.189,
1.65835E+12,2022-07-20T16:32:40.217,7.36,0.154,0.984,-0.183,
1.65835E+12,2022-07-20T16:32:40.257,7.4,0.156,0.979,-0.197,
1.65835E+12,2022-07-20T16:32:40.297,7.44,0.167,0.975,-0.189,
1.65835E+12,2022-07-20T16:32:40.337,7.48,0.165,0.979,-0.185,
1.65835E+12,2022-07-20T16:32:40.377,7.52,0.163,0.979,-0.193,
1.65835E+12,2022-07-20T16:32:40.417,7.56,0.163,0.981,-0.195,
1.65835E+12,2022-07-20T16:32:40.457,7.6,0.162,0.982,-0.199,
1.65835E+12,2022-07-20T16:32:40.497,7.64,0.167,0.978,-0.19,
1.65835E+12,2022-07-20T16:32:40.537,7.68,0.177,0.976,-0.182,
1.65835E+12,2022-07-20T16:32:40.577,7.72,0.145,0.974,-0.184,
1.65835E+12,2022-07-20T16:32:40.617,7.76,0.121,1.002,-0.203,
1.65835E+12,2022-07-20T16:32:40.657,7.8,0.217,0.995,-0.211,
1.65835E+12,2022-07-20T16:32:40.697,7.84,0.237,0.96,-0.196,
1.65835E+12,2022-07-20T16:32:40.737,7.88,0.174,0.966,-0.175,
1.65835E+12,2022-07-20T16:32:40.777,7.92,0.132,0.975,-0.185,
1.65835E+12,2022-07-20T16:32:40.817,7.96,0.144,0.971,-0.194,
1.65835E+12,2022-07-20T16:32:40.857,8,0.173,0.972,-0.204,
1.65835E+12,2022-07-20T16:32:40.897,8.04,0.184,0.977,-0.202,
1.65835E+12,2022-07-20T16:32:40.937,8.08,0.18,0.985,-0.195,
1.65835E+12,2022-07-20T16:32:40.977,8.12,0.166,0.981,-0.19,
1.65835E+12,2022-07-20T16:32:41.017,8.16,0.181,0.974,-0.194,
1.65835E+12,2022-07-20T16:32:41.057,8.2,0.184,0.977,-0.211,
1.65835E+12,2022-07-20T16:32:41.097,8.24,0.216,0.989,-0.198,
1.65835E+12,2022-07-20T16:32:41.137,8.28,0.216,0.992,-0.173,
1.65835E+12,2022-07-20T16:32:41.177,8.32,0.216,0.993,-0.161,
1.65835E+12,2022-07-20T16:32:41.217,8.36,0.305,1.035,-0.142,
1.65835E+12,2022-07-20T16:32:41.257,8.4,0.295,1.028,-0.04,
1.65835E+12,2022-07-20T16:32:41.297,8.44,0.342,0.944,0.092,
1.65835E+12,2022-07-20T16:32:41.337,8.48,0.498,0.881,-0.057,
1.65835E+12,2022-07-20T16:32:41.377,8.52,0.513,0.901,-0.127,
1.65835E+12,2022-07-20T16:32:41.417,8.56,0.548,1,-0.142,
1.65835E+12,2022-07-20T16:32:41.457,8.6,0.569,1.015,-0.116,
1.65835E+12,2022-07-20T16:32:41.497,8.64,0.496,1.017,-0.079,
1.65835E+12,2022-07-20T16:32:41.537,8.68,0.442,0.997,-0.06,
1.65835E+12,2022-07-20T16:32:41.577,8.72,0.428,0.945,-0.056,
1.65835E+12,2022-07-20T16:32:41.617,8.76,0.456,0.898,-0.06,
1.65835E+12,2022-07-20T16:32:41.657,8.8,0.465,0.849,-0.031,
1.65835E+12,2022-07-20T16:32:41.697,8.84,0.482,0.79,0.013,
1.65835E+12,2022-07-20T16:32:41.737,8.88,0.529,0.765,0.052,
1.65835E+12,2022-07-20T16:32:41.777,8.92,0.56,0.752,0.036,
1.65835E+12,2022-07-20T16:32:41.817,8.96,0.634,0.754,0.06,
1.65835E+12,2022-07-20T16:32:41.857,9,0.688,0.759,0.076,
1.65835E+12,2022-07-20T16:32:41.897,9.04,0.676,0.743,0.086,
1.65835E+12,2022-07-20T16:32:41.937,9.08,0.684,0.734,0.106,
1.65835E+12,2022-07-20T16:32:41.977,9.12,0.709,0.719,0.119,
1.65835E+12,2022-07-20T16:32:42.017,9.16,0.732,0.697,0.091,
1.65835E+12,2022-07-20T16:32:42.057,9.2,0.8,0.699,0.09,
1.65835E+12,2022-07-20T16:32:42.097,9.24,0.84,0.706,0.062,
1.65835E+12,2022-07-20T16:32:42.137,9.28,0.893,0.675,0.007,
1.65835E+12,2022-07-20T16:32:42.177,9.32,0.943,0.671,-0.015,
1.65835E+12,2022-07-20T16:32:42.217,9.36,0.937,0.677,-0.052,
1.65835E+12,2022-07-20T16:32:42.257,9.4,0.725,0.514,-0.143,
1.65835E+12,2022-07-20T16:32:42.297,9.44,0.518,0.38,-0.003,
1.65835E+12,2022-07-20T16:32:42.337,9.48,0.554,0.25,0.077,
1.65835E+12,2022-07-20T16:32:42.377,9.52,0.58,0.095,0.043,
1.65835E+12,2022-07-20T16:32:42.417,9.56,0.523,-0.014,0.129,
1.65835E+12,2022-07-20T16:32:42.457,9.6,0.616,0.043,0.006,
1.65835E+12,2022-07-20T16:32:42.497,9.64,0.637,0.229,0.16,
1.65835E+12,2022-07-20T16:32:42.537,9.68,0.632,0.538,0.102,
1.65835E+12,2022-07-20T16:32:42.577,9.72,0.43,0.925,0.162,
1.65835E+12,2022-07-20T16:32:42.617,9.76,0.348,1.173,0.168,
1.65835E+12,2022-07-20T16:32:42.657,9.8,0.197,1.263,0.14,
1.65835E+12,2022-07-20T16:32:42.697,9.84,-0.132,1.184,0.345,
1.65835E+12,2022-07-20T16:32:42.737,9.88,-0.452,0.896,-0.153,
1.65835E+12,2022-07-20T16:32:42.777,9.92,0.125,0.963,-1.322,
1.65835E+12,2022-07-20T16:32:42.817,9.96,0.063,2,1.05,
1.65835E+12,2022-07-20T16:32:42.857,10,0.101,2,1.782,
1.65835E+12,2022-07-20T16:32:42.897,10.04,0.556,1.049,0.201,
1.65835E+12,2022-07-20T16:32:42.937,10.08,0.501,-0.208,1.426,
1.65835E+12,2022-07-20T16:32:42.977,10.12,0.159,0.803,0.43,
1.65835E+12,2022-07-20T16:32:43.017,10.16,0.421,1.226,1.406,
1.65835E+12,2022-07-20T16:32:43.057,10.2,0.348,0.395,0.987,
1.65835E+12,2022-07-20T16:32:43.097,10.24,0.531,0.724,0.356,
1.65835E+12,2022-07-20T16:32:43.137,10.28,0.533,0.452,0.392,
1.65835E+12,2022-07-20T16:32:43.177,10.32,0.005,0.364,0.391,
1.65835E+12,2022-07-20T16:32:43.217,10.36,0.231,0.338,0.811,
1.65835E+12,2022-07-20T16:32:43.257,10.4,-0.101,0.284,0.594,
1.65835E+12,2022-07-20T16:32:43.297,10.44,0.026,1.485,1.489,
1.65835E+12,2022-07-20T16:32:43.337,10.48,-0.521,0.426,1.258,
1.65835E+12,2022-07-20T16:32:43.377,10.52,-0.499,-0.52,0.479,
1.65835E+12,2022-07-20T16:32:43.417,10.56,0.254,-0.078,0.255,
1.65835E+12,2022-07-20T16:32:43.457,10.6,0.915,1.627,1.212,
1.65835E+12,2022-07-20T16:32:43.497,10.64,0.391,1.091,1.269,
1.65835E+12,2022-07-20T16:32:43.537,10.68,0.241,-0.184,0.529,
1.65835E+12,2022-07-20T16:32:43.577,10.72,0.36,0.368,0.988,
1.65835E+12,2022-07-20T16:32:43.617,10.76,0.482,0.715,0.648,
1.65835E+12,2022-07-20T16:32:43.657,10.8,0.459,0.648,0.802,
1.65835E+12,2022-07-20T16:32:43.697,10.84,0.422,0.416,0.79,
1.65835E+12,2022-07-20T16:32:43.737,10.88,0.351,0.324,0.833,
1.65835E+12,2022-07-20T16:32:43.777,10.92,0.36,0.423,1.025,
1.65835E+12,2022-07-20T16:32:43.817,10.96,0.367,0.453,0.935,
1.65835E+12,2022-07-20T16:32:43.857,11,0.28,0.364,0.982,
