epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g),
1.65835E+12,2022-07-20T16:50:30.841,7.52,0.281,0.958,-0.213,trial 1
1.65835E+12,2022-07-20T16:50:30.881,7.56,0.267,0.956,-0.204,
1.65835E+12,2022-07-20T16:50:30.921,7.6,0.244,0.946,-0.229,
1.65835E+12,2022-07-20T16:50:30.961,7.64,0.236,0.944,-0.245,
1.65835E+12,2022-07-20T16:50:31.001,7.68,0.239,0.953,-0.25,
1.65835E+12,2022-07-20T16:50:31.041,7.72,0.241,0.953,-0.243,
1.65835E+12,2022-07-20T16:50:31.081,7.76,0.255,0.958,-0.221,
1.65835E+12,2022-07-20T16:50:31.121,7.8,0.26,0.956,-0.224,
1.65835E+12,2022-07-20T16:50:31.161,7.84,0.253,0.951,-0.229,
1.65835E+12,2022-07-20T16:50:31.201,7.88,0.25,0.952,-0.233,
1.65835E+12,2022-07-20T16:50:31.241,7.92,0.246,0.954,-0.237,
1.65835E+12,2022-07-20T16:50:31.281,7.96,0.253,0.954,-0.227,
1.65835E+12,2022-07-20T16:50:31.321,8,0.259,0.956,-0.224,
1.65835E+12,2022-07-20T16:50:31.361,8.04,0.269,0.954,-0.225,
1.65835E+12,2022-07-20T16:50:31.401,8.08,0.264,0.952,-0.218,
1.65835E+12,2022-07-20T16:50:31.441,8.12,0.265,0.977,-0.206,
1.65835E+12,2022-07-20T16:50:31.481,8.16,0.277,0.968,-0.173,
1.65835E+12,2022-07-20T16:50:31.521,8.2,0.292,0.982,-0.151,
1.65835E+12,2022-07-20T16:50:31.561,8.24,0.304,0.982,-0.179,
1.65835E+12,2022-07-20T16:50:31.601,8.28,0.265,0.966,-0.136,
1.65835E+12,2022-07-20T16:50:31.641,8.32,0.27,0.958,-0.107,
1.65835E+12,2022-07-20T16:50:31.681,8.36,0.297,0.963,-0.09,
1.65835E+12,2022-07-20T16:50:31.721,8.4,0.223,0.996,-0.092,
1.65835E+12,2022-07-20T16:50:31.761,8.44,0.233,1.013,-0.108,
1.65835E+12,2022-07-20T16:50:31.801,8.48,0.081,1.031,-0.074,
1.65835E+12,2022-07-20T16:50:31.841,8.52,0.123,1.053,-0.073,
1.65835E+12,2022-07-20T16:50:31.881,8.56,0.227,1.047,-0.077,
1.65835E+12,2022-07-20T16:50:31.921,8.6,0.128,1.038,0.003,
1.65835E+12,2022-07-20T16:50:31.961,8.64,0.023,0.976,0.173,
1.65835E+12,2022-07-20T16:50:32.001,8.68,0.119,0.935,0.161,
1.65835E+12,2022-07-20T16:50:32.041,8.72,0.146,0.964,0.217,
1.65835E+12,2022-07-20T16:50:32.081,8.76,0.153,0.903,0.208,
1.65835E+12,2022-07-20T16:50:32.121,8.8,-0.019,0.852,0.155,
1.65835E+12,2022-07-20T16:50:32.161,8.84,-0.011,0.902,0.055,
1.65835E+12,2022-07-20T16:50:32.201,8.88,0.021,0.667,0.099,
1.65835E+12,2022-07-20T16:50:32.241,8.92,0.115,0.725,0.056,
1.65835E+12,2022-07-20T16:50:32.281,8.96,0.132,0.794,-0.001,
1.65835E+12,2022-07-20T16:50:32.321,9,0.125,0.777,-0.03,
1.65835E+12,2022-07-20T16:50:32.361,9.04,0.224,0.75,0.031,
1.65835E+12,2022-07-20T16:50:32.401,9.08,0.136,0.801,-0.039,
1.65835E+12,2022-07-20T16:50:32.441,9.12,0.073,0.845,0.145,
1.65835E+12,2022-07-20T16:50:32.481,9.16,0.048,0.851,0.223,
1.65835E+12,2022-07-20T16:50:32.521,9.2,-0.032,0.825,0.279,
1.65835E+12,2022-07-20T16:50:32.561,9.24,-0.385,0.469,0.45,
1.65835E+12,2022-07-20T16:50:32.601,9.28,-0.629,0.283,0.418,
1.65835E+12,2022-07-20T16:50:32.641,9.32,-0.58,0.093,0.397,
1.65835E+12,2022-07-20T16:50:32.681,9.36,-0.784,0.318,0.452,
