epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g),
1.65963E+12,2022-08-04T12:25:34.520,5.92,0.333,0.956,-0.049,trial1
1.65963E+12,2022-08-04T12:25:34.560,5.96,0.344,0.95,-0.054,
1.65963E+12,2022-08-04T12:25:34.600,6,0.335,0.947,-0.056,
1.65963E+12,2022-08-04T12:25:34.640,6.04,0.33,0.953,-0.055,
1.65963E+12,2022-08-04T12:25:34.680,6.08,0.344,0.953,-0.065,
1.65963E+12,2022-08-04T12:25:34.720,6.12,0.341,0.947,-0.062,
1.65963E+12,2022-08-04T12:25:34.760,6.16,0.336,0.955,-0.06,
1.65963E+12,2022-08-04T12:25:34.800,6.2,0.351,0.951,-0.059,
1.65963E+12,2022-08-04T12:25:34.840,6.24,0.346,0.95,-0.061,
1.65963E+12,2022-08-04T12:25:34.880,6.28,0.343,0.949,-0.065,
1.65963E+12,2022-08-04T12:25:34.920,6.32,0.356,0.949,-0.066,
1.65963E+12,2022-08-04T12:25:34.960,6.36,0.343,0.952,-0.063,
1.65963E+12,2022-08-04T12:25:35.000,6.4,0.343,0.95,-0.06,
1.65963E+12,2022-08-04T12:25:35.040,6.44,0.352,0.949,-0.063,
1.65963E+12,2022-08-04T12:25:35.080,6.48,0.349,0.949,-0.061,
1.65963E+12,2022-08-04T12:25:35.120,6.52,0.343,0.949,-0.06,
1.65963E+12,2022-08-04T12:25:35.160,6.56,0.345,0.949,-0.068,
1.65963E+12,2022-08-04T12:25:35.200,6.6,0.35,0.949,-0.067,
1.65963E+12,2022-08-04T12:25:35.240,6.64,0.353,0.949,-0.061,
1.65963E+12,2022-08-04T12:25:35.280,6.68,0.35,0.948,-0.058,
1.65963E+12,2022-08-04T12:25:35.320,6.72,0.35,0.951,-0.065,
1.65963E+12,2022-08-04T12:25:35.360,6.76,0.347,0.951,-0.071,
1.65963E+12,2022-08-04T12:25:35.400,6.8,0.347,0.951,-0.064,
1.65963E+12,2022-08-04T12:25:35.440,6.84,0.347,0.951,-0.063,
1.65963E+12,2022-08-04T12:25:35.480,6.88,0.339,0.948,-0.065,
1.65963E+12,2022-08-04T12:25:35.520,6.92,0.349,0.952,-0.066,
1.65963E+12,2022-08-04T12:25:35.560,6.96,0.346,0.954,-0.065,
1.65963E+12,2022-08-04T12:25:35.600,7,0.341,0.949,-0.069,
1.65963E+12,2022-08-04T12:25:35.640,7.04,0.334,0.952,-0.072,
1.65963E+12,2022-08-04T12:25:35.680,7.08,0.329,0.955,-0.072,
1.65963E+12,2022-08-04T12:25:35.720,7.12,0.331,0.955,-0.073,
1.65963E+12,2022-08-04T12:25:35.760,7.16,0.332,0.953,-0.066,
1.65963E+12,2022-08-04T12:25:35.800,7.2,0.338,0.956,-0.068,
1.65963E+12,2022-08-04T12:25:35.840,7.24,0.331,0.957,-0.073,
1.65963E+12,2022-08-04T12:25:35.880,7.28,0.325,0.956,-0.073,
1.65963E+12,2022-08-04T12:25:35.920,7.32,0.328,0.957,-0.076,
