epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g),
1.65835E+12,2022-07-20T16:19:13.265,9.92,0.218,0.97,-0.199,trial 1
1.65835E+12,2022-07-20T16:19:13.305,9.96,0.224,0.962,-0.195,
1.65835E+12,2022-07-20T16:19:13.345,10,0.235,0.962,-0.18,
1.65835E+12,2022-07-20T16:19:13.385,10.04,0.227,0.971,-0.198,
1.65835E+12,2022-07-20T16:19:13.425,10.08,0.224,0.977,-0.208,
1.65835E+12,2022-07-20T16:19:13.465,10.12,0.222,0.98,-0.19,
1.65835E+12,2022-07-20T16:19:13.505,10.16,0.241,0.976,-0.192,
1.65835E+12,2022-07-20T16:19:13.545,10.2,0.25,0.981,-0.19,
1.65835E+12,2022-07-20T16:19:13.585,10.24,0.24,1.005,-0.159,
1.65835E+12,2022-07-20T16:19:13.625,10.28,0.231,1.02,-0.142,
1.65835E+12,2022-07-20T16:19:13.665,10.32,0.22,0.995,-0.138,
1.65835E+12,2022-07-20T16:19:13.705,10.36,0.196,0.935,-0.154,
1.65835E+12,2022-07-20T16:19:13.745,10.4,0.172,0.89,-0.169,
1.65835E+12,2022-07-20T16:19:13.785,10.44,0.137,0.947,-0.201,
1.65835E+12,2022-07-20T16:19:13.825,10.48,0.098,1.012,-0.207,
1.65835E+12,2022-07-20T16:19:13.865,10.52,0.092,0.987,-0.183,
1.65835E+12,2022-07-20T16:19:13.905,10.56,0.113,0.952,-0.172,
1.65835E+12,2022-07-20T16:19:13.945,10.6,0.168,0.97,-0.203,
1.65835E+12,2022-07-20T16:19:13.985,10.64,0.225,0.983,-0.206,
1.65835E+12,2022-07-20T16:19:14.025,10.68,0.244,0.949,-0.2,
1.65835E+12,2022-07-20T16:19:14.065,10.72,0.248,0.934,-0.222,
1.65835E+12,2022-07-20T16:19:14.105,10.76,0.22,0.956,-0.229,
1.65835E+12,2022-07-20T16:19:14.145,10.8,0.229,0.969,-0.256,
1.65835E+12,2022-07-20T16:19:14.185,10.84,0.297,0.97,-0.238,
