epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g),
1.65844E+12,2022-07-21T15:57:43.634,4.32,-0.219,0.395,0.91,trial1
1.65844E+12,2022-07-21T15:57:43.674,4.36,-0.216,0.375,0.897,
1.65844E+12,2022-07-21T15:57:43.714,4.4,-0.227,0.374,0.904,
1.65844E+12,2022-07-21T15:57:43.754,4.44,-0.222,0.386,0.91,
1.65844E+12,2022-07-21T15:57:43.794,4.48,-0.217,0.384,0.904,
1.65844E+12,2022-07-21T15:57:43.834,4.52,-0.221,0.379,0.906,
1.65844E+12,2022-07-21T15:57:43.874,4.56,-0.222,0.378,0.905,
1.65844E+12,2022-07-21T15:57:43.914,4.6,-0.222,0.379,0.912,
1.65844E+12,2022-07-21T15:57:43.954,4.64,-0.222,0.38,0.918,
1.65844E+12,2022-07-21T15:57:43.994,4.68,-0.223,0.378,0.92,
1.65844E+12,2022-07-21T15:57:44.034,4.72,-0.239,0.393,0.922,
1.65844E+12,2022-07-21T15:57:44.074,4.76,-0.243,0.398,0.915,
1.65844E+12,2022-07-21T15:57:44.114,4.8,-0.164,0.388,0.891,
1.65844E+12,2022-07-21T15:57:44.154,4.84,-0.156,0.378,0.959,
1.65844E+12,2022-07-21T15:57:44.194,4.88,-0.218,0.371,0.913,
1.65844E+12,2022-07-21T15:57:44.234,4.92,-0.213,0.363,0.936,
1.65844E+12,2022-07-21T15:57:44.274,4.96,-0.174,0.319,1.074,
1.65844E+12,2022-07-21T15:57:44.314,5,-0.152,0.25,1.057,
1.65844E+12,2022-07-21T15:57:44.354,5.04,-0.148,0.158,1.231,
1.65844E+12,2022-07-21T15:57:44.394,5.08,-0.263,0.256,1.283,
1.65844E+12,2022-07-21T15:57:44.434,5.12,-0.613,0.557,1.125,
1.65844E+12,2022-07-21T15:57:44.474,5.16,-0.632,0.799,0.949,
1.65844E+12,2022-07-21T15:57:44.514,5.2,-0.517,0.788,0.68,
1.65844E+12,2022-07-21T15:57:44.554,5.24,-0.258,0.705,0.482,
1.65844E+12,2022-07-21T15:57:44.594,5.28,-0.136,0.676,0.333,
1.65844E+12,2022-07-21T15:57:44.634,5.32,-0.081,0.63,0.331,
1.65844E+12,2022-07-21T15:57:44.674,5.36,0.036,0.626,0.366,
1.65844E+12,2022-07-21T15:57:44.714,5.4,0.118,0.654,0.452,
1.65844E+12,2022-07-21T15:57:44.754,5.44,0.102,0.711,0.481,
1.65844E+12,2022-07-21T15:57:44.794,5.48,0.068,0.766,0.581,
1.65844E+12,2022-07-21T15:57:44.834,5.52,0.149,0.721,0.647,
1.65844E+12,2022-07-21T15:57:44.874,5.56,0.071,0.725,0.671,
1.65844E+12,2022-07-21T15:57:44.914,5.6,0.001,0.739,0.666,
1.65844E+12,2022-07-21T15:57:44.954,5.64,0.05,0.755,0.596,
1.65844E+12,2022-07-21T15:57:44.994,5.68,0.106,0.78,0.53,
1.65844E+12,2022-07-21T15:57:45.034,5.72,-0.043,0.751,0.493,
1.65844E+12,2022-07-21T15:57:45.074,5.76,-0.041,0.648,0.555,
1.65844E+12,2022-07-21T15:57:45.114,5.8,0.286,0.516,0.651,
1.65844E+12,2022-07-21T15:57:45.154,5.84,0.296,0.418,0.533,
1.65844E+12,2022-07-21T15:57:45.194,5.88,0.257,0.336,0.359,
1.65844E+12,2022-07-21T15:57:45.234,5.92,0.313,0.276,0.215,
1.65844E+12,2022-07-21T15:57:45.274,5.96,0.14,0.121,0.22,
1.65844E+12,2022-07-21T15:57:45.314,6,-0.09,-0.082,0.325,
1.65844E+12,2022-07-21T15:57:45.354,6.04,-0.221,-0.356,0.391,
1.65844E+12,2022-07-21T15:57:45.394,6.08,-0.687,-0.879,0.511,
1.65844E+12,2022-07-21T15:57:45.434,6.12,-1.225,-1.035,0.53,
1.65844E+12,2022-07-21T15:57:45.474,6.16,-0.91,-1.149,0.423,
1.65844E+12,2022-07-21T15:57:45.514,6.2,-1.139,-1.681,0.564,
1.65844E+12,2022-07-21T15:57:45.554,6.24,-0.896,-1.703,0.577,
1.65844E+12,2022-07-21T15:57:45.594,6.28,-1.051,-1.597,0.509,
1.65844E+12,2022-07-21T15:57:45.634,6.32,-0.952,-1.335,0.328,
1.65844E+12,2022-07-21T15:57:45.674,6.36,-0.331,-0.927,0.273,
1.65844E+12,2022-07-21T15:57:45.714,6.4,-0.403,-0.809,0.269,
1.65844E+12,2022-07-21T15:57:45.754,6.44,-0.526,-0.902,0.165,
1.65844E+12,2022-07-21T15:57:45.794,6.48,-0.387,-0.949,0.148,
1.65844E+12,2022-07-21T15:57:45.834,6.52,-0.216,-0.945,0.162,
1.65844E+12,2022-07-21T15:57:45.874,6.56,-0.131,-0.95,0.136,
1.65844E+12,2022-07-21T15:57:45.914,6.6,-0.24,-0.999,0.075,
1.65844E+12,2022-07-21T15:57:45.954,6.64,-0.273,-0.979,0.057,
1.65844E+12,2022-07-21T15:57:45.994,6.68,-0.251,-0.841,0.102,
1.65844E+12,2022-07-21T15:57:46.034,6.72,-0.305,-0.871,0.122,
1.65844E+12,2022-07-21T15:57:46.074,6.76,-0.339,-0.975,0.12,
1.65844E+12,2022-07-21T15:57:46.114,6.8,-0.288,-0.94,0.161,
1.65844E+12,2022-07-21T15:57:46.154,6.84,-0.313,-0.939,0.205,
1.65844E+12,2022-07-21T15:57:46.194,6.88,-0.335,-0.926,0.253,
1.65844E+12,2022-07-21T15:57:46.234,6.92,-0.325,-0.847,0.258,
1.65844E+12,2022-07-21T15:57:46.274,6.96,-0.346,-0.814,0.252,
1.65844E+12,2022-07-21T15:57:46.314,7,-0.368,-0.897,0.243,
1.65844E+12,2022-07-21T15:57:46.354,7.04,-0.355,-0.993,0.242,
1.65844E+12,2022-07-21T15:57:46.394,7.08,-0.335,-0.904,0.217,
1.65844E+12,2022-07-21T15:57:46.434,7.12,-0.367,-0.866,0.2,
1.65844E+12,2022-07-21T15:57:46.474,7.16,-0.335,-0.885,0.176,
1.65844E+12,2022-07-21T15:57:46.514,7.2,-0.313,-0.891,0.16,
1.65844E+12,2022-07-21T15:57:46.554,7.24,-0.315,-0.914,0.144,
1.65844E+12,2022-07-21T15:57:46.594,7.28,-0.309,-0.909,0.146,
1.65844E+12,2022-07-21T15:57:46.634,7.32,-0.31,-0.896,0.146,
1.65844E+12,2022-07-21T15:57:46.674,7.36,-0.335,-0.897,0.145,
1.65844E+12,2022-07-21T15:57:46.714,7.4,-0.348,-0.889,0.146,
1.65844E+12,2022-07-21T15:57:46.754,7.44,-0.356,-0.896,0.149,
1.65844E+12,2022-07-21T15:57:46.794,7.48,-0.349,-0.904,0.154,
1.65844E+12,2022-07-21T15:57:46.834,7.52,-0.349,-0.906,0.15,
1.65844E+12,2022-07-21T15:57:46.874,7.56,-0.353,-0.904,0.155,
1.65844E+12,2022-07-21T15:57:46.914,7.6,-0.355,-0.893,0.162,
1.65844E+12,2022-07-21T15:57:46.954,7.64,-0.356,-0.899,0.16,
1.65844E+12,2022-07-21T15:57:46.994,7.68,-0.353,-0.901,0.157,
1.65844E+12,2022-07-21T15:57:47.034,7.72,-0.352,-0.903,0.154,
1.65844E+12,2022-07-21T15:57:47.074,7.76,-0.347,-0.904,0.148,
1.65844E+12,2022-07-21T15:57:47.114,7.8,-0.348,-0.903,0.144,
1.65844E+12,2022-07-21T15:57:47.154,7.84,-0.34,-0.901,0.15,
1.65844E+12,2022-07-21T15:57:47.194,7.88,-0.328,-0.91,0.153,
1.65844E+12,2022-07-21T15:57:47.234,7.92,-0.332,-0.91,0.147,
1.65844E+12,2022-07-21T15:57:47.274,7.96,-0.345,-0.906,0.147,
1.65844E+12,2022-07-21T15:57:47.314,8,-0.343,-0.906,0.154,
1.65844E+12,2022-07-21T15:57:47.354,8.04,-0.336,-0.904,0.157,
1.65844E+12,2022-07-21T15:57:47.394,8.08,-0.346,-0.901,0.162,
1.65844E+12,2022-07-21T15:57:47.434,8.12,-0.351,-0.908,0.16,
1.65844E+12,2022-07-21T15:57:47.474,8.16,-0.351,-0.904,0.162,
1.65844E+12,2022-07-21T15:57:47.514,8.2,-0.35,-0.891,0.164,
1.65844E+12,2022-07-21T15:57:47.554,8.24,-0.342,-0.9,0.159,
1.65844E+12,2022-07-21T15:57:47.594,8.28,-0.35,-0.904,0.152,
1.65844E+12,2022-07-21T15:57:47.634,8.32,-0.351,-0.895,0.145,
1.65844E+12,2022-07-21T15:57:47.674,8.36,-0.348,-0.902,0.144,
1.65844E+12,2022-07-21T15:57:47.714,8.4,-0.351,-0.9,0.147,
1.65844E+12,2022-07-21T15:57:47.754,8.44,-0.354,-0.893,0.152,
1.65844E+12,2022-07-21T15:57:47.794,8.48,-0.354,-0.898,0.154,
1.65844E+12,2022-07-21T15:57:47.834,8.52,-0.357,-0.898,0.158,
1.65844E+12,2022-07-21T15:57:47.874,8.56,-0.364,-0.89,0.158,
1.65844E+12,2022-07-21T15:57:47.914,8.6,-0.361,-0.891,0.159,
1.65844E+12,2022-07-21T15:57:47.954,8.64,-0.353,-0.899,0.158,
1.65844E+12,2022-07-21T15:57:47.994,8.68,-0.358,-0.904,0.154,
1.65844E+12,2022-07-21T15:57:48.034,8.72,-0.347,-0.898,0.153,
1.65844E+12,2022-07-21T15:57:48.074,8.76,-0.34,-0.905,0.149,
1.65844E+12,2022-07-21T15:57:48.114,8.8,-0.341,-0.903,0.154,
1.65844E+12,2022-07-21T15:57:48.154,8.84,-0.341,-0.894,0.156,
1.65844E+12,2022-07-21T15:57:48.194,8.88,-0.339,-0.902,0.158,
1.65844E+12,2022-07-21T15:57:48.234,8.92,-0.347,-0.903,0.159,
1.65844E+12,2022-07-21T15:57:48.274,8.96,-0.352,-0.897,0.159,
1.65844E+12,2022-07-21T15:57:48.314,9,-0.351,-0.9,0.156,
1.65844E+12,2022-07-21T15:57:48.354,9.04,-0.359,-0.9,0.156,
1.65844E+12,2022-07-21T15:57:48.394,9.08,-0.36,-0.897,0.158,
1.65844E+12,2022-07-21T15:57:48.434,9.12,-0.358,-0.901,0.158,
1.65844E+12,2022-07-21T15:57:48.474,9.16,-0.359,-0.897,0.159,
1.65844E+12,2022-07-21T15:57:48.514,9.2,-0.357,-0.897,0.161,
1.65844E+12,2022-07-21T15:57:48.554,9.24,-0.358,-0.901,0.161,
1.65844E+12,2022-07-21T15:57:48.594,9.28,-0.359,-0.9,0.16,
1.65844E+12,2022-07-21T15:57:48.634,9.32,-0.353,-0.897,0.162,
1.65844E+12,2022-07-21T15:57:48.674,9.36,-0.354,-0.896,0.162,
1.65844E+12,2022-07-21T15:57:48.714,9.4,-0.35,-0.898,0.16,
1.65844E+12,2022-07-21T15:57:48.754,9.44,-0.355,-0.908,0.157,
1.65844E+12,2022-07-21T15:57:48.794,9.48,-0.359,-0.891,0.159,
1.65844E+12,2022-07-21T15:57:48.834,9.52,-0.348,-0.89,0.159,
1.65844E+12,2022-07-21T15:57:48.874,9.56,-0.345,-0.899,0.157,
1.65844E+12,2022-07-21T15:57:48.914,9.6,-0.353,-0.906,0.154,
1.65844E+12,2022-07-21T15:57:48.954,9.64,-0.346,-0.917,0.143,
1.65844E+12,2022-07-21T15:57:48.994,9.68,-0.337,-0.927,0.129,
1.65844E+12,2022-07-21T15:57:49.034,9.72,-0.323,-0.899,0.126,
1.65844E+12,2022-07-21T15:57:49.074,9.76,-0.322,-0.897,0.124,
1.65844E+12,2022-07-21T15:57:49.114,9.8,-0.314,-0.936,0.126,
1.65844E+12,2022-07-21T15:57:49.154,9.84,-0.293,-0.952,0.132,
1.65844E+12,2022-07-21T15:57:49.194,9.88,-0.269,-0.937,0.139,
1.65844E+12,2022-07-21T15:57:49.234,9.92,-0.229,-0.937,0.152,
1.65844E+12,2022-07-21T15:57:49.274,9.96,-0.224,-0.933,0.154,
1.65844E+12,2022-07-21T15:57:49.314,10,-0.225,-0.994,0.138,
1.65844E+12,2022-07-21T15:57:49.354,10.04,-0.187,-0.938,0.128,
1.65844E+12,2022-07-21T15:57:49.394,10.08,-0.163,-0.915,0.114,
1.65844E+12,2022-07-21T15:57:49.434,10.12,-0.151,-0.913,0.109,
1.65844E+12,2022-07-21T15:57:49.474,10.16,-0.133,-0.875,0.111,
1.65844E+12,2022-07-21T15:57:49.514,10.2,-0.092,-0.826,0.073,
1.65844E+12,2022-07-21T15:57:49.554,10.24,-0.028,-0.862,0.031,
1.65844E+12,2022-07-21T15:57:49.594,10.28,0.093,-0.819,-0.031,
1.65844E+12,2022-07-21T15:57:49.634,10.32,0.147,-0.757,-0.145,
1.65844E+12,2022-07-21T15:57:49.674,10.36,0.205,-0.811,-0.258,
1.65844E+12,2022-07-21T15:57:49.714,10.4,0.254,-0.82,-0.336,
1.65844E+12,2022-07-21T15:57:49.754,10.44,0.028,-0.853,-0.329,
1.65844E+12,2022-07-21T15:57:49.794,10.48,0.162,-0.8,-0.213,
1.65844E+12,2022-07-21T15:57:49.834,10.52,0.121,-0.778,-0.221,
1.65844E+12,2022-07-21T15:57:49.874,10.56,0.093,-0.762,-0.221,
1.65844E+12,2022-07-21T15:57:49.914,10.6,0.233,-0.678,-0.224,
1.65844E+12,2022-07-21T15:57:49.954,10.64,0.089,-0.732,-0.282,
1.65844E+12,2022-07-21T15:57:49.994,10.68,0.244,-0.679,-0.237,
1.65844E+12,2022-07-21T15:57:50.034,10.72,0.002,-0.625,-0.391,
1.65844E+12,2022-07-21T15:57:50.074,10.76,0.07,-0.495,-0.396,
1.65844E+12,2022-07-21T15:57:50.114,10.8,-0.022,-0.582,-0.443,
1.65844E+12,2022-07-21T15:57:50.154,10.84,-0.158,-0.826,-0.487,
1.65844E+12,2022-07-21T15:57:50.194,10.88,-0.083,-0.72,-0.546,
1.65844E+12,2022-07-21T15:57:50.234,10.92,0.053,-0.66,-0.44,
1.65844E+12,2022-07-21T15:57:50.274,10.96,-0.105,-0.845,-0.937,
1.65844E+12,2022-07-21T15:57:50.314,11,-0.043,-1.768,-1.669,
1.65844E+12,2022-07-21T15:57:50.354,11.04,0.152,-1.309,0.517,
1.65844E+12,2022-07-21T15:57:50.394,11.08,0.854,-1.353,1.44,
1.65844E+12,2022-07-21T15:57:50.434,11.12,-0.039,-1.867,-0.012,
1.65844E+12,2022-07-21T15:57:50.474,11.16,-0.323,-0.901,0.423,
1.65844E+12,2022-07-21T15:57:50.514,11.2,-0.437,-0.793,1.259,
1.65844E+12,2022-07-21T15:57:50.554,11.24,0.111,-0.969,0.507,
1.65844E+12,2022-07-21T15:57:50.594,11.28,-0.25,-0.689,0.623,
1.65844E+12,2022-07-21T15:57:50.634,11.32,-0.216,-0.47,1.099,
1.65844E+12,2022-07-21T15:57:50.674,11.36,0.016,-0.788,0.457,
1.65844E+12,2022-07-21T15:57:50.714,11.4,0.1,-0.244,0.212,
1.65844E+12,2022-07-21T15:57:50.754,11.44,-0.119,-0.418,1.357,
1.65844E+12,2022-07-21T15:57:50.794,11.48,-0.375,-0.946,1.3,
1.65844E+12,2022-07-21T15:57:50.834,11.52,0.682,-0.621,0.738,
1.65844E+12,2022-07-21T15:57:50.874,11.56,0.796,-0.117,0.621,
1.65844E+12,2022-07-21T15:57:50.914,11.6,0.609,0.765,0.877,
