epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g),
1.65844E+12,2022-07-21T16:41:20.082,7.72,-0.424,-0.842,0.26,trial1
1.65844E+12,2022-07-21T16:41:20.122,7.76,-0.425,-0.839,0.259,
1.65844E+12,2022-07-21T16:41:20.162,7.8,-0.42,-0.844,0.26,
1.65844E+12,2022-07-21T16:41:20.202,7.84,-0.422,-0.846,0.261,
1.65844E+12,2022-07-21T16:41:20.242,7.88,-0.425,-0.842,0.26,
1.65844E+12,2022-07-21T16:41:20.282,7.92,-0.424,-0.845,0.261,
1.65844E+12,2022-07-21T16:41:20.322,7.96,-0.42,-0.849,0.262,
1.65844E+12,2022-07-21T16:41:20.362,8,-0.422,-0.842,0.258,
1.65844E+12,2022-07-21T16:41:20.402,8.04,-0.425,-0.851,0.26,
1.65844E+12,2022-07-21T16:41:20.442,8.08,-0.429,-0.839,0.263,
1.65844E+12,2022-07-21T16:41:20.482,8.12,-0.425,-0.837,0.264,
1.65844E+12,2022-07-21T16:41:20.522,8.16,-0.419,-0.844,0.264,
1.65844E+12,2022-07-21T16:41:20.562,8.2,-0.425,-0.846,0.258,
1.65844E+12,2022-07-21T16:41:20.602,8.24,-0.423,-0.836,0.254,
1.65844E+12,2022-07-21T16:41:20.642,8.28,-0.43,-0.844,0.252,
1.65844E+12,2022-07-21T16:41:20.682,8.32,-0.434,-0.845,0.255,
1.65844E+12,2022-07-21T16:41:20.722,8.36,-0.431,-0.842,0.255,
1.65844E+12,2022-07-21T16:41:20.762,8.4,-0.427,-0.842,0.256,
1.65844E+12,2022-07-21T16:41:20.802,8.44,-0.43,-0.844,0.255,
1.65844E+12,2022-07-21T16:41:20.842,8.48,-0.426,-0.848,0.255,
1.65844E+12,2022-07-21T16:41:20.882,8.52,-0.425,-0.846,0.257,
1.65844E+12,2022-07-21T16:41:20.922,8.56,-0.423,-0.843,0.256,
1.65844E+12,2022-07-21T16:41:20.962,8.6,-0.42,-0.844,0.257,
1.65844E+12,2022-07-21T16:41:21.002,8.64,-0.421,-0.854,0.257,
1.65844E+12,2022-07-21T16:41:21.042,8.68,-0.424,-0.852,0.257,
1.65844E+12,2022-07-21T16:41:21.082,8.72,-0.425,-0.838,0.256,
1.65844E+12,2022-07-21T16:41:21.122,8.76,-0.417,-0.844,0.259,
1.65844E+12,2022-07-21T16:41:21.162,8.8,-0.423,-0.848,0.256,
1.65844E+12,2022-07-21T16:41:21.202,8.84,-0.424,-0.846,0.253,
1.65844E+12,2022-07-21T16:41:21.242,8.88,-0.422,-0.843,0.252,
1.65844E+12,2022-07-21T16:41:21.282,8.92,-0.429,-0.845,0.253,
1.65844E+12,2022-07-21T16:41:21.322,8.96,-0.43,-0.845,0.256,
1.65844E+12,2022-07-21T16:41:21.362,9,-0.426,-0.845,0.26,
1.65844E+12,2022-07-21T16:41:21.402,9.04,-0.425,-0.842,0.26,
1.65844E+12,2022-07-21T16:41:21.442,9.08,-0.427,-0.843,0.261,
1.65844E+12,2022-07-21T16:41:21.482,9.12,-0.425,-0.844,0.26,
1.65844E+12,2022-07-21T16:41:21.522,9.16,-0.422,-0.842,0.26,
1.65844E+12,2022-07-21T16:41:21.562,9.2,-0.422,-0.839,0.259,
1.65844E+12,2022-07-21T16:41:21.602,9.24,-0.422,-0.826,0.264,
1.65844E+12,2022-07-21T16:41:21.642,9.28,-0.406,-0.806,0.265,
1.65844E+12,2022-07-21T16:41:21.682,9.32,-0.414,-0.844,0.282,
1.65844E+12,2022-07-21T16:41:21.722,9.36,-0.416,-0.859,0.309,
1.65844E+12,2022-07-21T16:41:21.762,9.4,-0.425,-0.808,0.319,
1.65844E+12,2022-07-21T16:41:21.802,9.44,-0.421,-0.777,0.325,
1.65844E+12,2022-07-21T16:41:21.842,9.48,-0.449,-0.777,0.321,
1.65844E+12,2022-07-21T16:41:21.882,9.52,-0.497,-0.765,0.321,
1.65844E+12,2022-07-21T16:41:21.922,9.56,-0.529,-0.733,0.31,
