epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g),
1.65844E+12,2022-07-21T16:32:01.043,8.32,-0.474,-0.812,0.256,trial1
1.65844E+12,2022-07-21T16:32:01.083,8.36,-0.466,-0.808,0.256,
1.65844E+12,2022-07-21T16:32:01.123,8.4,-0.468,-0.814,0.256,
1.65844E+12,2022-07-21T16:32:01.163,8.44,-0.477,-0.82,0.253,
1.65844E+12,2022-07-21T16:32:01.203,8.48,-0.477,-0.819,0.254,
1.65844E+12,2022-07-21T16:32:01.243,8.52,-0.471,-0.818,0.255,
1.65844E+12,2022-07-21T16:32:01.283,8.56,-0.475,-0.823,0.258,
1.65844E+12,2022-07-21T16:32:01.323,8.6,-0.479,-0.812,0.258,
1.65844E+12,2022-07-21T16:32:01.363,8.64,-0.478,-0.815,0.257,
1.65844E+12,2022-07-21T16:32:01.403,8.68,-0.471,-0.817,0.26,
1.65844E+12,2022-07-21T16:32:01.443,8.72,-0.471,-0.811,0.257,
1.65844E+12,2022-07-21T16:32:01.483,8.76,-0.473,-0.812,0.252,
1.65844E+12,2022-07-21T16:32:01.523,8.8,-0.476,-0.813,0.249,
1.65844E+12,2022-07-21T16:32:01.563,8.84,-0.478,-0.814,0.248,
1.65844E+12,2022-07-21T16:32:01.603,8.88,-0.478,-0.82,0.249,
1.65844E+12,2022-07-21T16:32:01.643,8.92,-0.476,-0.816,0.251,
1.65844E+12,2022-07-21T16:32:01.683,8.96,-0.473,-0.813,0.251,
1.65844E+12,2022-07-21T16:32:01.723,9,-0.471,-0.817,0.255,
1.65844E+12,2022-07-21T16:32:01.763,9.04,-0.473,-0.819,0.256,
1.65844E+12,2022-07-21T16:32:01.803,9.08,-0.473,-0.82,0.255,
1.65844E+12,2022-07-21T16:32:01.843,9.12,-0.472,-0.816,0.256,
1.65844E+12,2022-07-21T16:32:01.883,9.16,-0.475,-0.828,0.253,
1.65844E+12,2022-07-21T16:32:01.923,9.2,-0.478,-0.821,0.253,
