epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g),
1.65844E+12,2022-07-21T16:21:15.623,8.92,-0.44,-0.851,0.158,trial1
1.65844E+12,2022-07-21T16:21:15.663,8.96,-0.444,-0.856,0.159,
1.65844E+12,2022-07-21T16:21:15.703,9,-0.45,-0.853,0.157,
1.65844E+12,2022-07-21T16:21:15.743,9.04,-0.451,-0.85,0.155,
1.65844E+12,2022-07-21T16:21:15.783,9.08,-0.458,-0.85,0.153,
1.65844E+12,2022-07-21T16:21:15.823,9.12,-0.463,-0.846,0.159,
1.65844E+12,2022-07-21T16:21:15.863,9.16,-0.454,-0.85,0.162,
1.65844E+12,2022-07-21T16:21:15.903,9.2,-0.457,-0.85,0.162,
1.65844E+12,2022-07-21T16:21:15.943,9.24,-0.456,-0.849,0.163,
1.65844E+12,2022-07-21T16:21:15.983,9.28,-0.448,-0.855,0.161,
1.65844E+12,2022-07-21T16:21:16.023,9.32,-0.443,-0.856,0.161,
1.65844E+12,2022-07-21T16:21:16.063,9.36,-0.445,-0.853,0.16,
1.65844E+12,2022-07-21T16:21:16.103,9.4,-0.44,-0.849,0.159,
1.65844E+12,2022-07-21T16:21:16.143,9.44,-0.442,-0.86,0.156,
1.65844E+12,2022-07-21T16:21:16.183,9.48,-0.448,-0.861,0.157,
1.65844E+12,2022-07-21T16:21:16.223,9.52,-0.454,-0.848,0.158,
1.65844E+12,2022-07-21T16:21:16.263,9.56,-0.44,-0.854,0.16,
1.65844E+12,2022-07-21T16:21:16.303,9.6,-0.446,-0.857,0.162,
1.65844E+12,2022-07-21T16:21:16.343,9.64,-0.448,-0.853,0.162,
1.65844E+12,2022-07-21T16:21:16.383,9.68,-0.448,-0.854,0.16,
1.65844E+12,2022-07-21T16:21:16.423,9.72,-0.456,-0.854,0.162,
1.65844E+12,2022-07-21T16:21:16.463,9.76,-0.455,-0.853,0.164,
1.65844E+12,2022-07-21T16:21:16.503,9.8,-0.453,-0.852,0.164,
1.65844E+12,2022-07-21T16:21:16.543,9.84,-0.453,-0.856,0.162,
1.65844E+12,2022-07-21T16:21:16.583,9.88,-0.447,-0.856,0.161,
1.65844E+12,2022-07-21T16:21:16.623,9.92,-0.443,-0.853,0.158,
1.65844E+12,2022-07-21T16:21:16.663,9.96,-0.442,-0.856,0.155,
1.65844E+12,2022-07-21T16:21:16.703,10,-0.445,-0.857,0.155,
1.65844E+12,2022-07-21T16:21:16.743,10.04,-0.443,-0.854,0.156,
1.65844E+12,2022-07-21T16:21:16.783,10.08,-0.442,-0.858,0.157,
1.65844E+12,2022-07-21T16:21:16.823,10.12,-0.441,-0.858,0.162,
1.65844E+12,2022-07-21T16:21:16.863,10.16,-0.438,-0.865,0.159,
1.65844E+12,2022-07-21T16:21:16.903,10.2,-0.441,-0.865,0.159,
1.65844E+12,2022-07-21T16:21:16.943,10.24,-0.441,-0.847,0.162,
1.65844E+12,2022-07-21T16:21:16.983,10.28,-0.43,-0.855,0.162,
1.65844E+12,2022-07-21T16:21:17.023,10.32,-0.442,-0.863,0.162,
1.65844E+12,2022-07-21T16:21:17.063,10.36,-0.448,-0.857,0.163,
1.65844E+12,2022-07-21T16:21:17.103,10.4,-0.444,-0.854,0.166,
1.65844E+12,2022-07-21T16:21:17.143,10.44,-0.452,-0.86,0.173,
1.65844E+12,2022-07-21T16:21:17.183,10.48,-0.442,-0.858,0.181,
1.65844E+12,2022-07-21T16:21:17.223,10.52,-0.42,-0.857,0.188,
1.65844E+12,2022-07-21T16:21:17.263,10.56,-0.413,-0.864,0.189,
1.65844E+12,2022-07-21T16:21:17.303,10.6,-0.408,-0.871,0.195,
1.65844E+12,2022-07-21T16:21:17.343,10.64,-0.369,-0.889,0.215,
1.65844E+12,2022-07-21T16:21:17.383,10.68,-0.332,-0.887,0.221,
1.65844E+12,2022-07-21T16:21:17.423,10.72,-0.315,-0.87,0.232,
1.65844E+12,2022-07-21T16:21:17.463,10.76,-0.273,-0.88,0.249,
1.65844E+12,2022-07-21T16:21:17.503,10.8,-0.246,-0.885,0.25,
1.65844E+12,2022-07-21T16:21:17.543,10.84,-0.242,-0.866,0.265,
1.65844E+12,2022-07-21T16:21:17.583,10.88,-0.248,-0.845,0.282,
1.65844E+12,2022-07-21T16:21:17.623,10.92,-0.253,-0.824,0.283,
1.65844E+12,2022-07-21T16:21:17.663,10.96,-0.291,-0.808,0.302,
1.65844E+12,2022-07-21T16:21:17.703,11,-0.325,-0.793,0.345,
1.65844E+12,2022-07-21T16:21:17.743,11.04,-0.348,-0.755,0.368,
1.65844E+12,2022-07-21T16:21:17.783,11.08,-0.306,-0.689,0.41,
1.65844E+12,2022-07-21T16:21:17.823,11.12,-0.256,-0.585,0.429,
1.65844E+12,2022-07-21T16:21:17.863,11.16,-0.243,-0.535,0.42,
1.65844E+12,2022-07-21T16:21:17.903,11.2,-0.241,-0.661,0.406,
1.65844E+12,2022-07-21T16:21:17.943,11.24,-0.256,-0.703,0.333,
1.65844E+12,2022-07-21T16:21:17.983,11.28,-0.355,-0.713,0.304,
1.65844E+12,2022-07-21T16:21:18.023,11.32,-0.347,-0.745,0.291,
1.65844E+12,2022-07-21T16:21:18.063,11.36,-0.416,-0.688,0.238,
1.65844E+12,2022-07-21T16:21:18.103,11.4,-0.288,-0.685,0.29,
1.65844E+12,2022-07-21T16:21:18.143,11.44,-0.203,-0.762,0.43,
