epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g),
1.65844E+12,2022-07-21T16:11:10.257,4.28,-0.169,0.384,0.93,trial1
1.65844E+12,2022-07-21T16:11:10.297,4.32,-0.169,0.388,0.934,
1.65844E+12,2022-07-21T16:11:10.337,4.36,-0.165,0.405,0.946,
1.65844E+12,2022-07-21T16:11:10.377,4.4,-0.126,0.447,1.006,
1.65844E+12,2022-07-21T16:11:10.417,4.44,-0.084,0.45,1.032,
1.65844E+12,2022-07-21T16:11:10.457,4.48,-0.101,0.398,0.981,
1.65844E+12,2022-07-21T16:11:10.497,4.52,-0.108,0.354,0.919,
1.65844E+12,2022-07-21T16:11:10.537,4.56,-0.096,0.332,0.862,
1.65844E+12,2022-07-21T16:11:10.577,4.6,-0.104,0.327,0.84,
1.65844E+12,2022-07-21T16:11:10.617,4.64,-0.102,0.333,0.855,
1.65844E+12,2022-07-21T16:11:10.657,4.68,-0.074,0.346,0.882,
1.65844E+12,2022-07-21T16:11:10.697,4.72,-0.076,0.362,0.902,
1.65844E+12,2022-07-21T16:11:10.737,4.76,-0.076,0.373,0.932,
1.65844E+12,2022-07-21T16:11:10.777,4.8,-0.077,0.387,0.942,
1.65844E+12,2022-07-21T16:11:10.817,4.84,-0.083,0.385,0.942,
1.65844E+12,2022-07-21T16:11:10.857,4.88,-0.085,0.379,0.942,
1.65844E+12,2022-07-21T16:11:10.897,4.92,-0.1,0.37,0.944,
1.65844E+12,2022-07-21T16:11:10.937,4.96,-0.119,0.367,0.922,
1.65844E+12,2022-07-21T16:11:10.977,5,-0.062,0.348,0.913,
1.65844E+12,2022-07-21T16:11:11.017,5.04,-0.012,0.306,1.084,
1.65844E+12,2022-07-21T16:11:11.057,5.08,-0.137,0.375,1.229,
1.65844E+12,2022-07-21T16:11:11.097,5.12,-0.152,0.462,1.133,
1.65844E+12,2022-07-21T16:11:11.137,5.16,-0.166,0.458,0.868,
1.65844E+12,2022-07-21T16:11:11.177,5.2,-0.248,0.457,0.755,
1.65844E+12,2022-07-21T16:11:11.217,5.24,-0.296,0.477,0.744,
1.65844E+12,2022-07-21T16:11:11.257,5.28,-0.283,0.499,0.729,
1.65844E+12,2022-07-21T16:11:11.297,5.32,-0.272,0.514,0.767,
1.65844E+12,2022-07-21T16:11:11.337,5.36,-0.216,0.529,0.754,
1.65844E+12,2022-07-21T16:11:11.377,5.4,-0.168,0.538,0.764,
1.65844E+12,2022-07-21T16:11:11.417,5.44,-0.149,0.556,0.766,
1.65844E+12,2022-07-21T16:11:11.457,5.48,-0.152,0.567,0.786,
1.65844E+12,2022-07-21T16:11:11.497,5.52,-0.198,0.556,0.814,
1.65844E+12,2022-07-21T16:11:11.537,5.56,-0.265,0.533,0.81,
1.65844E+12,2022-07-21T16:11:11.577,5.6,-0.29,0.54,0.708,
1.65844E+12,2022-07-21T16:11:11.617,5.64,-0.15,0.498,0.734,
1.65844E+12,2022-07-21T16:11:11.657,5.68,-0.104,0.405,0.77,
1.65844E+12,2022-07-21T16:11:11.697,5.72,-0.174,0.294,0.839,
1.65844E+12,2022-07-21T16:11:11.737,5.76,-0.15,0.161,1.093,
1.65844E+12,2022-07-21T16:11:11.777,5.8,-0.242,0.168,0.982,
1.65844E+12,2022-07-21T16:11:11.817,5.84,-0.201,0.245,0.835,
1.65844E+12,2022-07-21T16:11:11.857,5.88,-0.155,0.263,0.959,
1.65844E+12,2022-07-21T16:11:11.897,5.92,-0.425,0.226,1.041,
1.65844E+12,2022-07-21T16:11:11.937,5.96,-0.496,0.212,0.858,
1.65844E+12,2022-07-21T16:11:11.977,6,-0.612,0.19,0.839,
1.65844E+12,2022-07-21T16:11:12.017,6.04,-0.638,0.184,0.805,
1.65844E+12,2022-07-21T16:11:12.057,6.08,-0.749,0.196,0.772,
1.65844E+12,2022-07-21T16:11:12.097,6.12,-0.83,0.102,1.028,
1.65844E+12,2022-07-21T16:11:12.137,6.16,-0.605,0.003,1.166,
1.65844E+12,2022-07-21T16:11:12.177,6.2,-0.842,0.149,1.254,
1.65844E+12,2022-07-21T16:11:12.217,6.24,-1.096,0.4,0.982,
1.65844E+12,2022-07-21T16:11:12.257,6.28,-0.874,0.596,0.636,
1.65844E+12,2022-07-21T16:11:12.297,6.32,-0.683,0.696,0.434,
1.65844E+12,2022-07-21T16:11:12.337,6.36,-0.5,0.669,0.288,
1.65844E+12,2022-07-21T16:11:12.377,6.4,-0.213,0.605,0.159,
1.65844E+12,2022-07-21T16:11:12.417,6.44,-0.053,0.593,0.173,
1.65844E+12,2022-07-21T16:11:12.457,6.48,-0.017,0.622,0.193,
1.65844E+12,2022-07-21T16:11:12.497,6.52,-0.005,0.701,0.202,
1.65844E+12,2022-07-21T16:11:12.537,6.56,-0.131,0.806,0.263,
1.65844E+12,2022-07-21T16:11:12.577,6.6,-0.178,0.93,0.377,
1.65844E+12,2022-07-21T16:11:12.617,6.64,-0.272,0.96,0.462,
1.65844E+12,2022-07-21T16:11:12.657,6.68,-0.305,0.913,0.469,
1.65844E+12,2022-07-21T16:11:12.697,6.72,-0.252,0.945,0.414,
1.65844E+12,2022-07-21T16:11:12.737,6.76,-0.15,0.884,0.426,
1.65844E+12,2022-07-21T16:11:12.777,6.8,-0.2,0.841,0.429,
1.65844E+12,2022-07-21T16:11:12.817,6.84,-0.207,0.837,0.471,
1.65844E+12,2022-07-21T16:11:12.857,6.88,-0.138,0.889,0.504,
1.65844E+12,2022-07-21T16:11:12.897,6.92,-0.14,0.917,0.476,
1.65844E+12,2022-07-21T16:11:12.937,6.96,0.014,0.87,0.46,
1.65844E+12,2022-07-21T16:11:12.977,7,-0.029,0.767,0.426,
1.65844E+12,2022-07-21T16:11:13.017,7.04,-0.004,0.799,0.433,
1.65844E+12,2022-07-21T16:11:13.057,7.08,-0.213,0.98,0.443,
1.65844E+12,2022-07-21T16:11:13.097,7.12,-0.359,1.095,0.521,
1.65844E+12,2022-07-21T16:11:13.137,7.16,-0.245,0.925,0.688,
1.65844E+12,2022-07-21T16:11:13.177,7.2,-0.067,0.722,0.835,
1.65844E+12,2022-07-21T16:11:13.217,7.24,-0.07,0.638,0.629,
1.65844E+12,2022-07-21T16:11:13.257,7.28,0.165,0.634,0.547,
1.65844E+12,2022-07-21T16:11:13.297,7.32,0.003,0.629,0.531,
1.65844E+12,2022-07-21T16:11:13.337,7.36,-0.051,0.757,0.408,
1.65844E+12,2022-07-21T16:11:13.377,7.4,0.528,0.544,0.525,
1.65844E+12,2022-07-21T16:11:13.417,7.44,0.868,0.191,0.348,
1.65844E+12,2022-07-21T16:11:13.457,7.48,0.649,-0.158,0.165,
1.65844E+12,2022-07-21T16:11:13.497,7.52,0.208,-0.362,0.038,
1.65844E+12,2022-07-21T16:11:13.537,7.56,-0.55,-0.572,0.125,
1.65844E+12,2022-07-21T16:11:13.577,7.6,-1.922,-0.666,0.449,
1.65844E+12,2022-07-21T16:11:13.617,7.64,-0.794,-0.476,0.223,
1.65844E+12,2022-07-21T16:11:13.657,7.68,0.295,-1.511,0.593,
1.65844E+12,2022-07-21T16:11:13.697,7.72,-1.267,-2,1.101,
1.65844E+12,2022-07-21T16:11:13.737,7.76,-1.641,-1.862,0.593,
1.65844E+12,2022-07-21T16:11:13.777,7.8,-1.106,-1.34,0.572,
1.65844E+12,2022-07-21T16:11:13.817,7.84,-0.282,-0.864,0.54,
1.65844E+12,2022-07-21T16:11:13.857,7.88,-0.374,-0.751,0.494,
