epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g),
1.65887E+12,2022-07-26T15:46:16.678,9.12,0.348,0.923,0.238,trial1
1.65887E+12,2022-07-26T15:46:16.718,9.16,0.358,0.925,0.235,
1.65887E+12,2022-07-26T15:46:16.758,9.2,0.354,0.94,0.228,
1.65887E+12,2022-07-26T15:46:16.798,9.24,0.353,0.934,0.229,
1.65887E+12,2022-07-26T15:46:16.838,9.28,0.342,0.93,0.226,
1.65887E+12,2022-07-26T15:46:16.878,9.32,0.34,0.936,0.226,
1.65887E+12,2022-07-26T15:46:16.918,9.36,0.346,0.936,0.232,
1.65887E+12,2022-07-26T15:46:16.958,9.4,0.341,0.934,0.23,
1.65887E+12,2022-07-26T15:46:16.998,9.44,0.337,0.934,0.234,
1.65887E+12,2022-07-26T15:46:17.038,9.48,0.335,0.932,0.237,
1.65887E+12,2022-07-26T15:46:17.078,9.52,0.337,0.931,0.233,
1.65887E+12,2022-07-26T15:46:17.118,9.56,0.342,0.931,0.239,
1.65887E+12,2022-07-26T15:46:17.158,9.6,0.349,0.94,0.235,
1.65887E+12,2022-07-26T15:46:17.198,9.64,0.346,0.933,0.234,
1.65887E+12,2022-07-26T15:46:17.238,9.68,0.34,0.934,0.232,
1.65887E+12,2022-07-26T15:46:17.278,9.72,0.338,0.935,0.231,
1.65887E+12,2022-07-26T15:46:17.318,9.76,0.345,0.936,0.232,
1.65887E+12,2022-07-26T15:46:17.358,9.8,0.339,0.937,0.226,
1.65887E+12,2022-07-26T15:46:17.398,9.84,0.331,0.935,0.225,
1.65887E+12,2022-07-26T15:46:17.438,9.88,0.335,0.938,0.225,
1.65887E+12,2022-07-26T15:46:17.478,9.92,0.33,0.935,0.222,
1.65887E+12,2022-07-26T15:46:17.518,9.96,0.326,0.941,0.224,
1.65887E+12,2022-07-26T15:46:17.558,10,0.335,0.956,0.241,
1.65887E+12,2022-07-26T15:46:17.598,10.04,0.342,0.986,0.267,
1.65887E+12,2022-07-26T15:46:17.638,10.08,0.305,0.961,0.273,
1.65887E+12,2022-07-26T15:46:17.678,10.12,0.217,0.942,0.249,
1.65887E+12,2022-07-26T15:46:17.718,10.16,0.175,0.959,0.242,
1.65887E+12,2022-07-26T15:46:17.758,10.2,0.15,0.961,0.293,
1.65887E+12,2022-07-26T15:46:17.798,10.24,0.088,0.957,0.278,
1.65887E+12,2022-07-26T15:46:17.838,10.28,0.208,0.879,0.289,
1.65887E+12,2022-07-26T15:46:17.878,10.32,0.224,0.901,0.323,
1.65887E+12,2022-07-26T15:46:17.918,10.36,0.267,0.922,0.227,
1.65887E+12,2022-07-26T15:46:17.958,10.4,0.26,0.833,0.229,
1.65887E+12,2022-07-26T15:46:17.998,10.44,0.3,0.771,0.169,
1.65887E+12,2022-07-26T15:46:18.038,10.48,0.37,0.73,0.137,
1.65887E+12,2022-07-26T15:46:18.078,10.52,0.397,0.644,0.09,
1.65887E+12,2022-07-26T15:46:18.118,10.56,0.356,0.603,0.085,
1.65887E+12,2022-07-26T15:46:18.158,10.6,0.31,0.671,0.137,
1.65887E+12,2022-07-26T15:46:18.198,10.64,0.285,0.607,0.131,
1.65887E+12,2022-07-26T15:46:18.238,10.68,0.345,0.696,0.158,
1.65887E+12,2022-07-26T15:46:18.278,10.72,0.312,0.832,0.209,
1.65887E+12,2022-07-26T15:46:18.318,10.76,0.366,0.845,0.366,
1.65887E+12,2022-07-26T15:46:18.358,10.8,0.458,0.931,0.473,
1.65887E+12,2022-07-26T15:46:18.398,10.84,0.48,1.028,0.581,
1.65887E+12,2022-07-26T15:46:18.438,10.88,0.435,1.035,0.532,
1.65887E+12,2022-07-26T15:46:18.478,10.92,0.381,1.14,0.58,
1.65887E+12,2022-07-26T15:46:18.518,10.96,0.352,1.243,0.655,
1.65887E+12,2022-07-26T15:46:18.558,11,0.316,1.208,0.605,
1.65887E+12,2022-07-26T15:46:18.598,11.04,0.288,1.253,0.652,
1.65887E+12,2022-07-26T15:46:18.638,11.08,0.374,1.321,0.63,
1.65887E+12,2022-07-26T15:46:18.678,11.12,0.533,1.458,0.691,
1.65887E+12,2022-07-26T15:46:18.718,11.16,0.682,1.336,0.547,
1.65887E+12,2022-07-26T15:46:18.758,11.2,0.556,1.191,0.477,
1.65887E+12,2022-07-26T15:46:18.798,11.24,0.406,1.174,0.474,
1.65887E+12,2022-07-26T15:46:18.838,11.28,0.348,1.078,0.255,
1.65887E+12,2022-07-26T15:46:18.878,11.32,0.214,1.039,0.204,
1.65887E+12,2022-07-26T15:46:18.918,11.36,0.313,1.007,-0.103,
1.65887E+12,2022-07-26T15:46:18.958,11.4,0.366,0.802,-0.81,
1.65887E+12,2022-07-26T15:46:18.998,11.44,0.086,0.442,-1.471,
1.65887E+12,2022-07-26T15:46:19.038,11.48,-0.806,-0.016,-1.241,
1.65887E+12,2022-07-26T15:46:19.078,11.52,-1.073,-0.831,-1.237,
1.65887E+12,2022-07-26T15:46:19.118,11.56,0.023,-1.165,1.891,
1.65887E+12,2022-07-26T15:46:19.158,11.6,1.208,1.12,1.027,
1.65887E+12,2022-07-26T15:46:19.198,11.64,-0.716,1.386,-2,
1.65887E+12,2022-07-26T15:46:19.238,11.68,-2,-1.546,-1.336,
1.65887E+12,2022-07-26T15:46:19.278,11.72,0.366,-0.56,-0.556,
1.65887E+12,2022-07-26T15:46:19.318,11.76,-0.055,-0.232,-0.532,
1.65887E+12,2022-07-26T15:46:19.358,11.8,-0.359,-0.379,-0.817,
1.65887E+12,2022-07-26T15:46:19.398,11.84,-0.021,-0.267,-0.698,
1.65887E+12,2022-07-26T15:46:19.438,11.88,0.413,0.013,-0.164,
1.65887E+12,2022-07-26T15:46:19.478,11.92,0.622,0.014,0.771,
1.65887E+12,2022-07-26T15:46:19.518,11.96,1.388,-1.081,2,
1.65887E+12,2022-07-26T15:46:19.558,12,0.519,0.354,2,
1.65887E+12,2022-07-26T15:46:19.598,12.04,1.337,-0.333,0.455,
1.65887E+12,2022-07-26T15:46:19.638,12.08,-0.616,0.629,-0.629,
1.65887E+12,2022-07-26T15:46:19.678,12.12,-0.244,0.096,-0.297,
1.65887E+12,2022-07-26T15:46:19.718,12.16,0.784,-0.467,0.402,
1.65887E+12,2022-07-26T15:46:19.758,12.2,0.59,-0.385,1.108,
1.65887E+12,2022-07-26T15:46:19.798,12.24,-0.15,-0.01,1.849,
1.65887E+12,2022-07-26T15:46:19.838,12.28,0.338,-0.07,1.531,
1.65887E+12,2022-07-26T15:46:19.878,12.32,0.618,-0.19,0.708,
1.65887E+12,2022-07-26T15:46:19.918,12.36,0.018,0.065,0.516,
1.65887E+12,2022-07-26T15:46:19.958,12.4,0.119,-0.022,0.945,
1.65887E+12,2022-07-26T15:46:19.998,12.44,0.06,-0.014,1.355,
1.65887E+12,2022-07-26T15:46:20.038,12.48,0.201,-0.026,1.207,
1.65887E+12,2022-07-26T15:46:20.078,12.52,0.244,-0.108,0.815,
1.65887E+12,2022-07-26T15:46:20.118,12.56,0.221,-0.077,0.733,
1.65887E+12,2022-07-26T15:46:20.158,12.6,0.193,-0.061,1.102,
1.65887E+12,2022-07-26T15:46:20.198,12.64,0.242,-0.015,1.171,
1.65887E+12,2022-07-26T15:46:20.238,12.68,0.44,-0.053,0.945,
1.65887E+12,2022-07-26T15:46:20.278,12.72,0.378,0.034,0.968,
1.65887E+12,2022-07-26T15:46:20.318,12.76,0.19,0.046,0.917,
1.65887E+12,2022-07-26T15:46:20.358,12.8,0.31,-0.038,0.968,
1.65887E+12,2022-07-26T15:46:20.398,12.84,0.179,-0.008,1.085,
1.65887E+12,2022-07-26T15:46:20.438,12.88,0.331,-0.045,1.04,
1.65887E+12,2022-07-26T15:46:20.478,12.92,0.316,-0.016,1.026,
1.65887E+12,2022-07-26T15:46:20.518,12.96,0.313,-0.022,0.897,
1.65887E+12,2022-07-26T15:46:20.558,13,0.264,-0.095,0.965,
1.65887E+12,2022-07-26T15:46:20.598,13.04,0.075,-0.087,1.013,
1.65887E+12,2022-07-26T15:46:20.638,13.08,0.32,0.036,0.987,
1.65887E+12,2022-07-26T15:46:20.678,13.12,0.215,0.01,1.04,
1.65887E+12,2022-07-26T15:46:20.718,13.16,0.135,0.023,0.945,
1.65887E+12,2022-07-26T15:46:20.758,13.2,0.288,0.041,0.995,
1.65887E+12,2022-07-26T15:46:20.798,13.24,0.241,-0.045,1.044,
1.65887E+12,2022-07-26T15:46:20.838,13.28,0.17,-0.05,1.076,
1.65887E+12,2022-07-26T15:46:20.878,13.32,0.204,-0.099,1.03,
1.65887E+12,2022-07-26T15:46:20.918,13.36,0.157,-0.093,0.96,
1.65887E+12,2022-07-26T15:46:20.958,13.4,0.067,-0.087,0.942,
1.65887E+12,2022-07-26T15:46:20.998,13.44,0.084,-0.063,0.994,
1.65887E+12,2022-07-26T15:46:21.038,13.48,0.201,-0.052,1.037,
1.65887E+12,2022-07-26T15:46:21.078,13.52,0.216,-0.053,1.025,
1.65887E+12,2022-07-26T15:46:21.118,13.56,0.161,-0.064,1.014,
1.65887E+12,2022-07-26T15:46:21.158,13.6,0.145,-0.057,0.997,
1.65887E+12,2022-07-26T15:46:21.198,13.64,0.135,-0.048,1.016,
1.65887E+12,2022-07-26T15:46:21.238,13.68,0.107,-0.06,1.02,
1.65887E+12,2022-07-26T15:46:21.278,13.72,0.128,-0.068,1.002,
1.65887E+12,2022-07-26T15:46:21.318,13.76,0.126,-0.066,1.002,
1.65887E+12,2022-07-26T15:46:21.358,13.8,0.137,-0.067,1.006,
1.65887E+12,2022-07-26T15:46:21.398,13.84,0.115,-0.07,1.023,
1.65887E+12,2022-07-26T15:46:21.438,13.88,0.125,-0.068,1.016,
1.65887E+12,2022-07-26T15:46:21.478,13.92,0.121,-0.051,1.009,
1.65887E+12,2022-07-26T15:46:21.518,13.96,0.112,-0.064,1.003,
1.65887E+12,2022-07-26T15:46:21.558,14,0.119,-0.066,1.012,
1.65887E+12,2022-07-26T15:46:21.598,14.04,0.128,-0.065,1.019,
1.65887E+12,2022-07-26T15:46:21.638,14.08,0.124,-0.067,1.013,
1.65887E+12,2022-07-26T15:46:21.678,14.12,0.117,-0.066,1.009,
1.65887E+12,2022-07-26T15:46:21.718,14.16,0.116,-0.062,1.007,
1.65887E+12,2022-07-26T15:46:21.758,14.2,0.111,-0.06,1.015,
1.65887E+12,2022-07-26T15:46:21.798,14.24,0.119,-0.061,1.026,
1.65887E+12,2022-07-26T15:46:21.838,14.28,0.113,-0.06,1.028,
1.65887E+12,2022-07-26T15:46:21.878,14.32,0.129,-0.064,1.008,
1.65887E+12,2022-07-26T15:46:21.918,14.36,0.115,-0.072,1.004,
1.65887E+12,2022-07-26T15:46:21.958,14.4,0.104,-0.079,1.007,
1.65887E+12,2022-07-26T15:46:21.998,14.44,0.082,-0.073,1.014,
1.65887E+12,2022-07-26T15:46:22.038,14.48,0.087,-0.072,1.005,
1.65887E+12,2022-07-26T15:46:22.078,14.52,0.093,-0.068,1.003,
1.65887E+12,2022-07-26T15:46:22.118,14.56,0.105,-0.065,1.022,
1.65887E+12,2022-07-26T15:46:22.158,14.6,0.088,-0.071,1.016,
1.65887E+12,2022-07-26T15:46:22.198,14.64,0.097,-0.062,1.008,
1.65887E+12,2022-07-26T15:46:22.238,14.68,0.097,-0.061,1.017,
1.65887E+12,2022-07-26T15:46:22.278,14.72,0.101,-0.07,1.017,
1.65887E+12,2022-07-26T15:46:22.318,14.76,0.101,-0.065,1.029,
1.65887E+12,2022-07-26T15:46:22.358,14.8,0.096,-0.069,1,
1.65887E+12,2022-07-26T15:46:22.398,14.84,0.104,-0.083,0.978,
1.65887E+12,2022-07-26T15:46:22.438,14.88,0.108,-0.083,1.017,
1.65887E+12,2022-07-26T15:46:22.478,14.92,0.091,-0.067,1.049,
1.65887E+12,2022-07-26T15:46:22.518,14.96,0.116,-0.064,1.017,
1.65887E+12,2022-07-26T15:46:22.558,15,0.109,-0.066,0.994,
1.65887E+12,2022-07-26T15:46:22.598,15.04,0.09,-0.064,1.009,
1.65887E+12,2022-07-26T15:46:22.638,15.08,0.097,-0.069,1.025,
1.65887E+12,2022-07-26T15:46:22.678,15.12,0.108,-0.075,1.015,
