epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g),
1.65887E+12,2022-07-26T16:35:10.170,8.72,0.328,0.947,0.24,trial1
1.65887E+12,2022-07-26T16:35:10.210,8.76,0.332,0.949,0.239,
1.65887E+12,2022-07-26T16:35:10.250,8.8,0.323,0.946,0.24,
1.65887E+12,2022-07-26T16:35:10.290,8.84,0.325,0.941,0.244,
1.65887E+12,2022-07-26T16:35:10.330,8.88,0.318,0.945,0.237,
1.65887E+12,2022-07-26T16:35:10.370,8.92,0.318,0.943,0.237,
1.65887E+12,2022-07-26T16:35:10.410,8.96,0.319,0.941,0.233,
1.65887E+12,2022-07-26T16:35:10.450,9,0.318,0.944,0.228,
1.65887E+12,2022-07-26T16:35:10.490,9.04,0.315,0.942,0.227,
1.65887E+12,2022-07-26T16:35:10.530,9.08,0.318,0.939,0.231,
1.65887E+12,2022-07-26T16:35:10.570,9.12,0.319,0.941,0.229,
1.65887E+12,2022-07-26T16:35:10.610,9.16,0.323,0.946,0.23,
1.65887E+12,2022-07-26T16:35:10.650,9.2,0.324,0.945,0.238,
1.65887E+12,2022-07-26T16:35:10.690,9.24,0.317,0.94,0.238,
1.65887E+12,2022-07-26T16:35:10.730,9.28,0.318,0.942,0.234,
1.65887E+12,2022-07-26T16:35:10.770,9.32,0.313,0.942,0.235,
1.65887E+12,2022-07-26T16:35:10.810,9.36,0.318,0.941,0.237,
1.65887E+12,2022-07-26T16:35:10.850,9.4,0.312,0.943,0.232,
1.65887E+12,2022-07-26T16:35:10.890,9.44,0.311,0.946,0.232,
1.65887E+12,2022-07-26T16:35:10.930,9.48,0.311,0.944,0.23,
1.65887E+12,2022-07-26T16:35:10.970,9.52,0.316,0.942,0.231,
1.65887E+12,2022-07-26T16:35:11.010,9.56,0.315,0.945,0.233,
1.65887E+12,2022-07-26T16:35:11.050,9.6,0.318,0.945,0.238,
1.65887E+12,2022-07-26T16:35:11.090,9.64,0.318,0.946,0.238,
1.65887E+12,2022-07-26T16:35:11.130,9.68,0.315,0.947,0.24,
1.65887E+12,2022-07-26T16:35:11.170,9.72,0.313,0.946,0.241,
1.65887E+12,2022-07-26T16:35:11.210,9.76,0.313,0.946,0.238,
1.65887E+12,2022-07-26T16:35:11.250,9.8,0.308,0.945,0.24,
1.65887E+12,2022-07-26T16:35:11.290,9.84,0.312,0.946,0.236,
1.65887E+12,2022-07-26T16:35:11.330,9.88,0.31,0.951,0.235,
1.65887E+12,2022-07-26T16:35:11.370,9.92,0.305,0.942,0.235,
1.65887E+12,2022-07-26T16:35:11.410,9.96,0.316,0.943,0.233,
1.65887E+12,2022-07-26T16:35:11.450,10,0.301,0.945,0.231,
1.65887E+12,2022-07-26T16:35:11.490,10.04,0.302,0.933,0.233,
1.65887E+12,2022-07-26T16:35:11.530,10.08,0.325,0.938,0.24,
1.65887E+12,2022-07-26T16:35:11.570,10.12,0.327,0.959,0.246,
1.65887E+12,2022-07-26T16:35:11.610,10.16,0.33,0.939,0.248,
1.65887E+12,2022-07-26T16:35:11.650,10.2,0.32,0.918,0.24,
1.65887E+12,2022-07-26T16:35:11.690,10.24,0.311,0.933,0.235,
1.65887E+12,2022-07-26T16:35:11.730,10.28,0.319,0.954,0.237,
1.65887E+12,2022-07-26T16:35:11.770,10.32,0.327,0.957,0.234,
1.65887E+12,2022-07-26T16:35:11.810,10.36,0.311,0.929,0.24,
1.65887E+12,2022-07-26T16:35:11.850,10.4,0.296,0.902,0.249,
1.65887E+12,2022-07-26T16:35:11.890,10.44,0.287,0.915,0.231,
1.65887E+12,2022-07-26T16:35:11.930,10.48,0.293,0.936,0.227,
1.65887E+12,2022-07-26T16:35:11.970,10.52,0.304,0.938,0.238,
1.65887E+12,2022-07-26T16:35:12.010,10.56,0.281,0.897,0.243,
1.65887E+12,2022-07-26T16:35:12.050,10.6,0.251,0.823,0.258,
1.65887E+12,2022-07-26T16:35:12.090,10.64,0.244,0.657,0.228,
1.65887E+12,2022-07-26T16:35:12.130,10.68,0.214,0.568,0.232,
1.65887E+12,2022-07-26T16:35:12.170,10.72,0.201,0.554,0.214,
1.65887E+12,2022-07-26T16:35:12.210,10.76,0.239,0.542,0.23,
1.65887E+12,2022-07-26T16:35:12.250,10.8,0.275,0.726,0.278,
1.65887E+12,2022-07-26T16:35:12.290,10.84,0.33,0.879,0.258,
1.65887E+12,2022-07-26T16:35:12.330,10.88,0.43,0.82,0.351,
1.65887E+12,2022-07-26T16:35:12.370,10.92,0.493,0.909,0.392,
1.65887E+12,2022-07-26T16:35:12.410,10.96,0.686,0.995,0.552,
1.65887E+12,2022-07-26T16:35:12.450,11,0.796,0.916,0.615,
1.65887E+12,2022-07-26T16:35:12.490,11.04,0.746,0.706,0.745,
1.65887E+12,2022-07-26T16:35:12.530,11.08,0.765,0.548,0.831,
1.65887E+12,2022-07-26T16:35:12.570,11.12,0.78,0.162,0.866,
1.65887E+12,2022-07-26T16:35:12.610,11.16,0.371,-0.47,1.21,
1.65887E+12,2022-07-26T16:35:12.650,11.2,0.201,-1.176,1.262,
1.65887E+12,2022-07-26T16:35:12.690,11.24,0.074,-1.374,1.024,
1.65887E+12,2022-07-26T16:35:12.730,11.28,0.384,-0.817,1.456,
1.65887E+12,2022-07-26T16:35:12.770,11.32,0.959,0.795,1.978,
1.65887E+12,2022-07-26T16:35:12.810,11.36,1.11,1.851,1.337,
1.65887E+12,2022-07-26T16:35:12.850,11.4,0.78,1.489,1.025,
1.65887E+12,2022-07-26T16:35:12.890,11.44,-0.101,1.09,0.776,
1.65887E+12,2022-07-26T16:35:12.930,11.48,-0.47,0.413,0.532,
1.65887E+12,2022-07-26T16:35:12.970,11.52,0.122,0.538,0.766,
1.65887E+12,2022-07-26T16:35:13.010,11.56,0.395,0.884,0.509,
1.65887E+12,2022-07-26T16:35:13.050,11.6,-0.026,0.642,-0.456,
1.65887E+12,2022-07-26T16:35:13.090,11.64,0.707,0.724,-0.87,
1.65887E+12,2022-07-26T16:35:13.130,11.68,0.087,0.462,-1.594,
1.65887E+12,2022-07-26T16:35:13.170,11.72,0.873,-0.063,1.684,
1.65887E+12,2022-07-26T16:35:13.210,11.76,0.387,0.371,1.026,
1.65887E+12,2022-07-26T16:35:13.250,11.8,0.726,-0.856,-0.567,
1.65887E+12,2022-07-26T16:35:13.290,11.84,0.396,0.032,-0.717,
1.65887E+12,2022-07-26T16:35:13.330,11.88,0.923,0.999,1.427,
1.65887E+12,2022-07-26T16:35:13.370,11.92,0.926,0.811,1.632,
1.65887E+12,2022-07-26T16:35:13.410,11.96,0.359,0.097,0.672,
1.65887E+12,2022-07-26T16:35:13.450,12,0.509,0.041,0.644,
1.65887E+12,2022-07-26T16:35:13.490,12.04,0.179,0.198,0.925,
1.65887E+12,2022-07-26T16:35:13.530,12.08,0.645,0.433,0.67,
1.65887E+12,2022-07-26T16:35:13.570,12.12,0.765,0.297,0.561,
1.65887E+12,2022-07-26T16:35:13.610,12.16,0.516,-0.007,1.326,
1.65887E+12,2022-07-26T16:35:13.650,12.2,0.243,-0.134,0.673,
1.65887E+12,2022-07-26T16:35:13.690,12.24,0.45,-0.159,0.78,
1.65887E+12,2022-07-26T16:35:13.730,12.28,0.353,0.024,1.195,
1.65887E+12,2022-07-26T16:35:14.930,13.48,0.424,0.763,0.372,
1.65887E+12,2022-07-26T16:35:14.970,13.52,0.264,0.973,0.387,
1.65887E+12,2022-07-26T16:35:15.010,13.56,0.469,1.016,0.422,
1.65887E+12,2022-07-26T16:35:15.050,13.6,0.388,0.849,0.445,
