epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g),
1.65887E+12,2022-07-26T16:18:01.678,7.92,0.366,0.954,0.152,trial1
1.65887E+12,2022-07-26T16:18:01.718,7.96,0.359,0.943,0.152,
1.65887E+12,2022-07-26T16:18:01.758,8,0.371,0.943,0.149,
1.65887E+12,2022-07-26T16:18:01.798,8.04,0.37,0.945,0.151,
1.65887E+12,2022-07-26T16:18:01.838,8.08,0.363,0.945,0.155,
1.65887E+12,2022-07-26T16:18:01.878,8.12,0.361,0.948,0.15,
1.65887E+12,2022-07-26T16:18:01.918,8.16,0.351,0.946,0.143,
1.65887E+12,2022-07-26T16:18:01.958,8.2,0.355,0.947,0.141,
1.65887E+12,2022-07-26T16:18:01.998,8.24,0.358,0.957,0.139,
1.65887E+12,2022-07-26T16:18:02.038,8.28,0.351,0.943,0.152,
1.65887E+12,2022-07-26T16:18:02.078,8.32,0.354,0.944,0.157,
1.65887E+12,2022-07-26T16:18:02.118,8.36,0.363,0.944,0.155,
1.65887E+12,2022-07-26T16:18:02.158,8.4,0.37,0.948,0.154,
1.65887E+12,2022-07-26T16:18:02.198,8.44,0.362,0.952,0.151,
1.65887E+12,2022-07-26T16:18:02.238,8.48,0.356,0.946,0.149,
1.65887E+12,2022-07-26T16:18:02.278,8.52,0.352,0.944,0.15,
1.65887E+12,2022-07-26T16:18:02.318,8.56,0.355,0.948,0.145,
1.65887E+12,2022-07-26T16:18:02.358,8.6,0.356,0.951,0.14,
1.65887E+12,2022-07-26T16:18:02.398,8.64,0.352,0.943,0.143,
1.65887E+12,2022-07-26T16:18:02.438,8.68,0.353,0.947,0.142,
1.65887E+12,2022-07-26T16:18:02.478,8.72,0.356,0.951,0.144,
1.65887E+12,2022-07-26T16:18:02.518,8.76,0.359,0.952,0.141,
1.65887E+12,2022-07-26T16:18:02.558,8.8,0.353,0.947,0.142,
1.65887E+12,2022-07-26T16:18:02.598,8.84,0.354,0.944,0.143,
1.65887E+12,2022-07-26T16:18:02.638,8.88,0.356,0.946,0.139,
1.65887E+12,2022-07-26T16:18:02.678,8.92,0.358,0.947,0.143,
1.65887E+12,2022-07-26T16:18:02.718,8.96,0.356,0.949,0.144,
1.65887E+12,2022-07-26T16:18:02.758,9,0.36,0.95,0.141,
1.65887E+12,2022-07-26T16:18:02.798,9.04,0.359,0.948,0.144,
1.65887E+12,2022-07-26T16:18:02.838,9.08,0.354,0.946,0.146,
1.65887E+12,2022-07-26T16:18:02.878,9.12,0.355,0.947,0.144,
1.65887E+12,2022-07-26T16:18:02.918,9.16,0.362,0.947,0.141,
1.65887E+12,2022-07-26T16:18:02.958,9.2,0.358,0.945,0.143,
1.65887E+12,2022-07-26T16:18:02.998,9.24,0.36,0.943,0.143,
1.65887E+12,2022-07-26T16:18:03.038,9.28,0.36,0.939,0.15,
1.65887E+12,2022-07-26T16:18:03.078,9.32,0.348,0.952,0.143,
1.65887E+12,2022-07-26T16:18:03.118,9.36,0.335,0.949,0.124,
1.65887E+12,2022-07-26T16:18:03.158,9.4,0.335,0.957,0.128,
1.65887E+12,2022-07-26T16:18:03.198,9.44,0.361,0.955,0.142,
1.65887E+12,2022-07-26T16:18:03.238,9.48,0.372,0.939,0.159,
1.65887E+12,2022-07-26T16:18:03.278,9.52,0.373,0.935,0.154,
1.65887E+12,2022-07-26T16:18:03.318,9.56,0.377,0.952,0.138,
1.65887E+12,2022-07-26T16:18:03.358,9.6,0.36,0.96,0.134,
