epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g),
1.65887E+12,2022-07-26T16:07:43.367,9.72,0.35,0.96,0.108,trial1
1.65887E+12,2022-07-26T16:07:43.407,9.76,0.347,0.955,0.112,
1.65887E+12,2022-07-26T16:07:43.447,9.8,0.351,0.957,0.111,
1.65887E+12,2022-07-26T16:07:43.487,9.84,0.352,0.956,0.115,
1.65887E+12,2022-07-26T16:07:43.527,9.88,0.35,0.953,0.118,
1.65887E+12,2022-07-26T16:07:43.567,9.92,0.349,0.949,0.115,
1.65887E+12,2022-07-26T16:07:43.607,9.96,0.354,0.955,0.113,
1.65887E+12,2022-07-26T16:07:43.647,10,0.356,0.952,0.11,
1.65887E+12,2022-07-26T16:07:43.687,10.04,0.347,0.951,0.108,
1.65887E+12,2022-07-26T16:07:43.727,10.08,0.346,0.956,0.11,
1.65887E+12,2022-07-26T16:07:43.767,10.12,0.345,0.955,0.113,
1.65887E+12,2022-07-26T16:07:43.807,10.16,0.347,0.949,0.114,
1.65887E+12,2022-07-26T16:07:43.847,10.2,0.351,0.954,0.112,
1.65887E+12,2022-07-26T16:07:43.887,10.24,0.349,0.955,0.112,
1.65887E+12,2022-07-26T16:07:43.927,10.28,0.346,0.955,0.113,
1.65887E+12,2022-07-26T16:07:43.967,10.32,0.343,0.954,0.111,
1.65887E+12,2022-07-26T16:07:44.007,10.36,0.339,0.957,0.111,
1.65887E+12,2022-07-26T16:07:44.047,10.4,0.343,0.957,0.11,
1.65887E+12,2022-07-26T16:07:44.087,10.44,0.344,0.957,0.109,
1.65887E+12,2022-07-26T16:07:44.127,10.48,0.341,0.959,0.109,
1.65887E+12,2022-07-26T16:07:44.167,10.52,0.343,0.953,0.109,
1.65887E+12,2022-07-26T16:07:44.207,10.56,0.343,0.951,0.112,
1.65887E+12,2022-07-26T16:07:44.247,10.6,0.342,0.959,0.107,
1.65887E+12,2022-07-26T16:07:44.287,10.64,0.344,0.954,0.108,
