epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g),
1.65887E+12,2022-07-26T15:56:49.891,7.52,0.352,0.943,0.159,trial1
1.65887E+12,2022-07-26T15:56:49.931,7.56,0.359,0.945,0.151,
1.65887E+12,2022-07-26T15:56:49.971,7.6,0.369,0.941,0.15,
1.65887E+12,2022-07-26T15:56:50.011,7.64,0.372,0.945,0.145,
1.65887E+12,2022-07-26T15:56:50.051,7.68,0.37,0.939,0.148,
1.65887E+12,2022-07-26T15:56:50.091,7.72,0.371,0.936,0.154,
1.65887E+12,2022-07-26T15:56:50.131,7.76,0.37,0.945,0.148,
1.65887E+12,2022-07-26T15:56:50.171,7.8,0.373,0.953,0.148,
1.65887E+12,2022-07-26T15:56:50.211,7.84,0.368,0.939,0.152,
1.65887E+12,2022-07-26T15:56:50.251,7.88,0.365,0.936,0.151,
1.65887E+12,2022-07-26T15:56:50.291,7.92,0.367,0.945,0.145,
1.65887E+12,2022-07-26T15:56:50.331,7.96,0.365,0.945,0.143,
1.65887E+12,2022-07-26T15:56:50.371,8,0.36,0.944,0.14,
1.65887E+12,2022-07-26T15:56:50.411,8.04,0.362,0.943,0.144,
1.65887E+12,2022-07-26T15:56:50.451,8.08,0.361,0.946,0.141,
1.65887E+12,2022-07-26T15:56:50.491,8.12,0.364,0.942,0.143,
1.65887E+12,2022-07-26T15:56:50.531,8.16,0.359,0.945,0.146,
1.65887E+12,2022-07-26T15:56:50.571,8.2,0.364,0.945,0.145,
1.65887E+12,2022-07-26T15:56:50.611,8.24,0.365,0.942,0.149,
1.65887E+12,2022-07-26T15:56:50.651,8.28,0.357,0.941,0.141,
1.65887E+12,2022-07-26T15:56:50.691,8.32,0.367,0.945,0.141,
1.65887E+12,2022-07-26T15:56:50.731,8.36,0.365,0.949,0.142,
1.65887E+12,2022-07-26T15:56:50.771,8.4,0.363,0.935,0.15,
1.65887E+12,2022-07-26T15:56:50.811,8.44,0.366,0.941,0.149,
1.65887E+12,2022-07-26T15:56:50.851,8.48,0.368,0.946,0.138,
1.65887E+12,2022-07-26T15:56:50.891,8.52,0.364,0.946,0.155,
1.65887E+12,2022-07-26T15:56:50.931,8.56,0.354,0.949,0.15,
1.65887E+12,2022-07-26T15:56:50.971,8.6,0.369,0.944,0.134,
1.65887E+12,2022-07-26T15:56:51.011,8.64,0.391,0.936,0.158,
1.65887E+12,2022-07-26T15:56:51.051,8.68,0.398,0.906,0.184,
1.65887E+12,2022-07-26T15:56:51.091,8.72,0.418,0.895,0.207,
1.65887E+12,2022-07-26T15:56:51.131,8.76,0.439,0.924,0.212,
1.65887E+12,2022-07-26T15:56:51.171,8.8,0.464,0.881,0.201,
1.65887E+12,2022-07-26T15:56:51.211,8.84,0.516,0.877,0.174,
1.65887E+12,2022-07-26T15:56:51.251,8.88,0.528,0.89,0.124,
1.65887E+12,2022-07-26T15:56:51.291,8.92,0.56,0.92,0.089,
1.65887E+12,2022-07-26T15:56:51.331,8.96,0.582,0.905,0.088,
1.65887E+12,2022-07-26T15:56:51.371,9,0.594,0.877,0.077,
1.65887E+12,2022-07-26T15:56:51.411,9.04,0.623,0.848,0.055,
1.65887E+12,2022-07-26T15:56:51.451,9.08,0.62,0.89,0.017,
1.65887E+12,2022-07-26T15:56:51.491,9.12,0.595,0.912,-0.042,
1.65887E+12,2022-07-26T15:56:51.531,9.16,0.541,0.943,-0.08,
1.65887E+12,2022-07-26T15:56:51.571,9.2,0.489,0.97,-0.037,
1.65887E+12,2022-07-26T15:56:51.611,9.24,0.477,1.024,-0.017,
1.65887E+12,2022-07-26T15:56:51.651,9.28,0.474,0.917,0.012,
1.65887E+12,2022-07-26T15:56:51.691,9.32,0.506,0.856,0.106,
1.65887E+12,2022-07-26T15:56:51.731,9.36,0.494,0.773,0.145,
1.65887E+12,2022-07-26T15:56:51.771,9.4,0.534,0.649,0.188,
1.65887E+12,2022-07-26T15:56:51.811,9.44,0.548,0.568,0.144,
1.65887E+12,2022-07-26T15:56:51.851,9.48,0.585,0.401,0.257,
1.65887E+12,2022-07-26T15:56:51.891,9.52,0.65,0.175,0.405,
1.65887E+12,2022-07-26T15:56:51.931,9.56,0.778,0.24,0.347,
1.65887E+12,2022-07-26T15:56:51.971,9.6,1.081,0.27,0.837,
1.65887E+12,2022-07-26T15:56:52.011,9.64,1.331,0.326,0.995,
1.65887E+12,2022-07-26T15:56:52.051,9.68,1.728,0.616,0.664,
