epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g),
1.65921E+12,2022-07-30T13:40:05.726,7.52,-0.266,-0.93,0.04,trial1
1.65921E+12,2022-07-30T13:40:05.766,7.56,-0.26,-0.94,0.054,
1.65921E+12,2022-07-30T13:40:05.806,7.6,-0.255,-0.942,0.075,
1.65921E+12,2022-07-30T13:40:05.846,7.64,-0.263,-0.936,0.088,
1.65921E+12,2022-07-30T13:40:05.886,7.68,-0.264,-0.943,0.072,
1.65921E+12,2022-07-30T13:40:05.926,7.72,-0.26,-0.943,0.057,
1.65921E+12,2022-07-30T13:40:05.966,7.76,-0.253,-0.94,0.059,
1.65921E+12,2022-07-30T13:40:06.006,7.8,-0.257,-0.932,0.066,
1.65921E+12,2022-07-30T13:40:06.046,7.84,-0.263,-0.934,0.08,
1.65921E+12,2022-07-30T13:40:06.086,7.88,-0.271,-0.932,0.084,
1.65921E+12,2022-07-30T13:40:06.126,7.92,-0.265,-0.935,0.08,
1.65921E+12,2022-07-30T13:40:06.166,7.96,-0.265,-0.941,0.077,
1.65921E+12,2022-07-30T13:40:06.206,8,-0.261,-0.93,0.085,
1.65921E+12,2022-07-30T13:40:06.246,8.04,-0.252,-0.933,0.084,
1.65921E+12,2022-07-30T13:40:06.286,8.08,-0.26,-0.935,0.081,
1.65921E+12,2022-07-30T13:40:06.326,8.12,-0.258,-0.94,0.08,
1.65921E+12,2022-07-30T13:40:06.366,8.16,-0.261,-0.929,0.079,
1.65921E+12,2022-07-30T13:40:06.406,8.2,-0.271,-0.916,0.073,
1.65921E+12,2022-07-30T13:40:06.446,8.24,-0.285,-0.934,0.063,
1.65921E+12,2022-07-30T13:40:06.486,8.28,-0.301,-0.94,0.061,
1.65921E+12,2022-07-30T13:40:06.526,8.32,-0.293,-0.923,0.069,
1.65921E+12,2022-07-30T13:40:06.566,8.36,-0.292,-0.908,0.069,
1.65921E+12,2022-07-30T13:40:06.606,8.4,-0.301,-0.917,0.069,
1.65921E+12,2022-07-30T13:40:06.646,8.44,-0.312,-0.938,0.062,
1.65921E+12,2022-07-30T13:40:06.686,8.48,-0.305,-0.933,0.063,
1.65921E+12,2022-07-30T13:40:06.726,8.52,-0.297,-0.928,0.073,
1.65921E+12,2022-07-30T13:40:06.766,8.56,-0.292,-0.931,0.081,
1.65921E+12,2022-07-30T13:40:06.806,8.6,-0.28,-0.939,0.089,
1.65921E+12,2022-07-30T13:40:06.846,8.64,-0.275,-0.934,0.093,
1.65921E+12,2022-07-30T13:40:06.886,8.68,-0.307,-0.92,0.081,
1.65921E+12,2022-07-30T13:40:06.926,8.72,-0.303,-0.922,0.08,
1.65921E+12,2022-07-30T13:40:06.966,8.76,-0.303,-0.921,0.086,
1.65921E+12,2022-07-30T13:40:07.006,8.8,-0.312,-0.919,0.088,
1.65921E+12,2022-07-30T13:40:07.046,8.84,-0.319,-0.913,0.096,
1.65921E+12,2022-07-30T13:40:07.086,8.88,-0.32,-0.921,0.102,
1.65921E+12,2022-07-30T13:40:07.126,8.92,-0.312,-0.921,0.099,
1.65921E+12,2022-07-30T13:40:07.166,8.96,-0.316,-0.916,0.096,
1.65921E+12,2022-07-30T13:40:07.206,9,-0.318,-0.915,0.094,
1.65921E+12,2022-07-30T13:40:07.246,9.04,-0.322,-0.916,0.096,
1.65921E+12,2022-07-30T13:40:07.286,9.08,-0.322,-0.912,0.103,
1.65921E+12,2022-07-30T13:40:07.326,9.12,-0.32,-0.905,0.105,
1.65921E+12,2022-07-30T13:40:07.366,9.16,-0.333,-0.905,0.108,
1.65921E+12,2022-07-30T13:40:07.406,9.2,-0.332,-0.913,0.107,
1.65921E+12,2022-07-30T13:40:07.446,9.24,-0.334,-0.91,0.111,
1.65921E+12,2022-07-30T13:40:07.486,9.28,-0.34,-0.905,0.122,
1.65921E+12,2022-07-30T13:40:07.526,9.32,-0.337,-0.909,0.12,
1.65921E+12,2022-07-30T13:40:07.566,9.36,-0.318,-0.912,0.122,
1.65921E+12,2022-07-30T13:40:07.606,9.4,-0.309,-0.91,0.12,
1.65921E+12,2022-07-30T13:40:07.646,9.44,-0.312,-0.92,0.116,
1.65921E+12,2022-07-30T13:40:07.686,9.48,-0.305,-0.931,0.118,
1.65921E+12,2022-07-30T13:40:07.726,9.52,-0.321,-0.907,0.11,
1.65921E+12,2022-07-30T13:40:07.766,9.56,-0.322,-0.917,0.104,
1.65921E+12,2022-07-30T13:40:07.806,9.6,-0.317,-0.916,0.1,
1.65921E+12,2022-07-30T13:40:07.846,9.64,-0.313,-0.914,0.098,
1.65921E+12,2022-07-30T13:40:07.886,9.68,-0.311,-0.912,0.095,
1.65921E+12,2022-07-30T13:40:07.926,9.72,-0.317,-0.91,0.088,
1.65921E+12,2022-07-30T13:40:07.966,9.76,-0.324,-0.923,0.077,
1.65921E+12,2022-07-30T13:40:08.006,9.8,-0.312,-0.911,0.072,
1.65921E+12,2022-07-30T13:40:08.046,9.84,-0.307,-0.874,0.073,
1.65921E+12,2022-07-30T13:40:08.086,9.88,-0.338,-0.876,0.055,
1.65921E+12,2022-07-30T13:40:08.126,9.92,-0.373,-0.916,0.048,
1.65921E+12,2022-07-30T13:40:08.166,9.96,-0.381,-0.925,0.069,
1.65921E+12,2022-07-30T13:40:08.206,10,-0.396,-0.916,0.076,
1.65921E+12,2022-07-30T13:40:08.246,10.04,-0.405,-0.888,0.079,
1.65921E+12,2022-07-30T13:40:08.286,10.08,-0.403,-0.876,0.09,
1.65921E+12,2022-07-30T13:40:08.326,10.12,-0.402,-0.879,0.098,
1.65921E+12,2022-07-30T13:40:08.366,10.16,-0.391,-0.865,0.104,
1.65921E+12,2022-07-30T13:40:08.406,10.2,-0.383,-0.872,0.104,
1.65921E+12,2022-07-30T13:40:08.446,10.24,-0.386,-0.886,0.107,
