epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g),
1.65921E+12,2022-07-30T13:47:41.313,6.44,-0.329,-0.911,0.115,trial1
1.65921E+12,2022-07-30T13:47:41.353,6.48,-0.332,-0.909,0.114,
1.65921E+12,2022-07-30T13:47:41.393,6.52,-0.333,-0.908,0.113,
1.65921E+12,2022-07-30T13:47:41.433,6.56,-0.335,-0.91,0.112,
1.65921E+12,2022-07-30T13:47:41.473,6.6,-0.335,-0.911,0.11,
1.65921E+12,2022-07-30T13:47:41.513,6.64,-0.335,-0.908,0.114,
1.65921E+12,2022-07-30T13:47:41.553,6.68,-0.333,-0.91,0.11,
1.65921E+12,2022-07-30T13:47:41.593,6.72,-0.336,-0.912,0.107,
1.65921E+12,2022-07-30T13:47:41.633,6.76,-0.333,-0.907,0.111,
1.65921E+12,2022-07-30T13:47:41.673,6.8,-0.335,-0.907,0.114,
1.65921E+12,2022-07-30T13:47:41.713,6.84,-0.341,-0.909,0.112,
1.65921E+12,2022-07-30T13:47:41.753,6.88,-0.338,-0.909,0.11,
1.65921E+12,2022-07-30T13:47:41.793,6.92,-0.334,-0.905,0.111,
1.65921E+12,2022-07-30T13:47:41.833,6.96,-0.334,-0.908,0.112,
1.65921E+12,2022-07-30T13:47:41.873,7,-0.335,-0.908,0.113,
1.65921E+12,2022-07-30T13:47:41.913,7.04,-0.336,-0.907,0.112,
1.65921E+12,2022-07-30T13:47:41.953,7.08,-0.333,-0.908,0.111,
1.65921E+12,2022-07-30T13:47:41.993,7.12,-0.333,-0.909,0.112,
1.65921E+12,2022-07-30T13:47:42.033,7.16,-0.334,-0.908,0.115,
1.65921E+12,2022-07-30T13:47:42.073,7.2,-0.332,-0.907,0.114,
1.65921E+12,2022-07-30T13:47:42.113,7.24,-0.333,-0.909,0.112,
1.65921E+12,2022-07-30T13:47:42.153,7.28,-0.334,-0.908,0.112,
1.65921E+12,2022-07-30T13:47:42.193,7.32,-0.335,-0.908,0.114,
1.65921E+12,2022-07-30T13:47:42.233,7.36,-0.335,-0.908,0.114,
1.65921E+12,2022-07-30T13:47:42.273,7.4,-0.333,-0.912,0.109,
1.65921E+12,2022-07-30T13:47:42.313,7.44,-0.331,-0.909,0.112,
1.65921E+12,2022-07-30T13:47:42.353,7.48,-0.332,-0.905,0.114,
1.65921E+12,2022-07-30T13:47:42.393,7.52,-0.34,-0.909,0.11,
1.65921E+12,2022-07-30T13:47:42.433,7.56,-0.339,-0.908,0.107,
1.65921E+12,2022-07-30T13:47:42.473,7.6,-0.333,-0.906,0.109,
1.65921E+12,2022-07-30T13:47:42.513,7.64,-0.332,-0.91,0.109,
1.65921E+12,2022-07-30T13:47:42.553,7.68,-0.337,-0.911,0.109,
1.65921E+12,2022-07-30T13:47:42.593,7.72,-0.337,-0.909,0.11,
1.65921E+12,2022-07-30T13:47:42.633,7.76,-0.335,-0.907,0.108,
1.65921E+12,2022-07-30T13:47:42.673,7.8,-0.341,-0.91,0.109,
1.65921E+12,2022-07-30T13:47:42.713,7.84,-0.344,-0.912,0.111,
1.65921E+12,2022-07-30T13:47:42.753,7.88,-0.33,-0.91,0.116,
