epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g),
1.6592E+12,2022-07-30T13:04:05.442,7.32,-0.361,-0.895,0.138,trial1
1.6592E+12,2022-07-30T13:04:05.482,7.36,-0.365,-0.896,0.138,
1.6592E+12,2022-07-30T13:04:05.522,7.4,-0.365,-0.894,0.137,
1.6592E+12,2022-07-30T13:04:05.562,7.44,-0.362,-0.894,0.135,
1.6592E+12,2022-07-30T13:04:05.602,7.48,-0.364,-0.892,0.137,
1.6592E+12,2022-07-30T13:04:05.642,7.52,-0.366,-0.897,0.136,
1.6592E+12,2022-07-30T13:04:05.682,7.56,-0.365,-0.898,0.133,
1.6592E+12,2022-07-30T13:04:05.722,7.6,-0.36,-0.891,0.14,
1.6592E+12,2022-07-30T13:04:05.762,7.64,-0.369,-0.892,0.14,
1.6592E+12,2022-07-30T13:04:05.802,7.68,-0.37,-0.896,0.136,
1.6592E+12,2022-07-30T13:04:05.842,7.72,-0.366,-0.891,0.135,
1.6592E+12,2022-07-30T13:04:05.882,7.76,-0.362,-0.893,0.135,
1.6592E+12,2022-07-30T13:04:05.922,7.8,-0.364,-0.896,0.136,
1.6592E+12,2022-07-30T13:04:05.962,7.84,-0.364,-0.893,0.138,
1.6592E+12,2022-07-30T13:04:06.002,7.88,-0.365,-0.893,0.137,
1.6592E+12,2022-07-30T13:04:06.042,7.92,-0.363,-0.895,0.134,
1.6592E+12,2022-07-30T13:04:06.082,7.96,-0.364,-0.893,0.136,
1.6592E+12,2022-07-30T13:04:06.122,8,-0.362,-0.892,0.138,
1.6592E+12,2022-07-30T13:04:06.162,8.04,-0.367,-0.894,0.137,
1.6592E+12,2022-07-30T13:04:06.202,8.08,-0.366,-0.894,0.137,
1.6592E+12,2022-07-30T13:04:06.242,8.12,-0.363,-0.892,0.139,
1.6592E+12,2022-07-30T13:04:06.282,8.16,-0.365,-0.893,0.139,
1.6592E+12,2022-07-30T13:04:06.322,8.2,-0.368,-0.897,0.133,
1.6592E+12,2022-07-30T13:04:06.362,8.24,-0.364,-0.895,0.134,
1.6592E+12,2022-07-30T13:04:06.402,8.28,-0.359,-0.891,0.14,
1.6592E+12,2022-07-30T13:04:06.442,8.32,-0.362,-0.896,0.137,
1.6592E+12,2022-07-30T13:04:06.482,8.36,-0.367,-0.899,0.131,
1.6592E+12,2022-07-30T13:04:06.522,8.4,-0.365,-0.892,0.13,
1.6592E+12,2022-07-30T13:04:06.562,8.44,-0.36,-0.894,0.131,
1.6592E+12,2022-07-30T13:04:06.602,8.48,-0.364,-0.901,0.128,
1.6592E+12,2022-07-30T13:04:06.642,8.52,-0.36,-0.901,0.131,
1.6592E+12,2022-07-30T13:04:06.682,8.56,-0.353,-0.905,0.131,
1.6592E+12,2022-07-30T13:04:06.722,8.6,-0.35,-0.912,0.124,
1.6592E+12,2022-07-30T13:04:06.762,8.64,-0.342,-0.915,0.113,
1.6592E+12,2022-07-30T13:04:06.802,8.68,-0.342,-0.915,0.111,
1.6592E+12,2022-07-30T13:04:06.842,8.72,-0.341,-0.921,0.116,
1.6592E+12,2022-07-30T13:04:06.882,8.76,-0.339,-0.921,0.111,
1.6592E+12,2022-07-30T13:04:06.922,8.8,-0.321,-0.919,0.106,
1.6592E+12,2022-07-30T13:04:06.962,8.84,-0.282,-0.929,0.103,
1.6592E+12,2022-07-30T13:04:07.002,8.88,-0.298,-0.925,0.094,
1.6592E+12,2022-07-30T13:04:07.042,8.92,-0.294,-0.931,0.11,
1.6592E+12,2022-07-30T13:04:07.082,8.96,-0.281,-0.952,0.144,
1.6592E+12,2022-07-30T13:04:07.122,9,-0.293,-0.911,0.179,
1.6592E+12,2022-07-30T13:04:07.162,9.04,-0.308,-0.866,0.239,
1.6592E+12,2022-07-30T13:04:07.202,9.08,-0.377,-0.824,0.224,
1.6592E+12,2022-07-30T13:04:07.242,9.12,-0.494,-0.807,0.184,
1.6592E+12,2022-07-30T13:04:07.282,9.16,-0.418,-0.831,0.202,
1.6592E+12,2022-07-30T13:04:07.322,9.2,-0.395,-0.844,0.281,
1.6592E+12,2022-07-30T13:04:07.362,9.24,-0.421,-0.862,0.299,
1.6592E+12,2022-07-30T13:04:07.402,9.28,-0.44,-0.844,0.249,
1.6592E+12,2022-07-30T13:04:07.442,9.32,-0.391,-0.869,0.246,
1.6592E+12,2022-07-30T13:04:07.482,9.36,-0.387,-0.88,0.265,
1.6592E+12,2022-07-30T13:04:07.522,9.4,-0.381,-0.835,0.271,
1.6592E+12,2022-07-30T13:04:07.562,9.44,-0.386,-0.859,0.28,
1.6592E+12,2022-07-30T13:04:07.602,9.48,-0.342,-0.986,0.238,
1.6592E+12,2022-07-30T13:04:07.642,9.52,-0.302,-0.951,0.167,
1.6592E+12,2022-07-30T13:04:07.682,9.56,-0.269,-0.906,0.09,
1.6592E+12,2022-07-30T13:04:07.722,9.6,-0.286,-1.057,0.002,
1.6592E+12,2022-07-30T13:04:07.762,9.64,-0.295,-1.153,-0.051,
1.6592E+12,2022-07-30T13:04:07.802,9.68,-0.274,-0.956,-0.037,
1.6592E+12,2022-07-30T13:04:07.842,9.72,-0.29,-0.817,0.049,
1.6592E+12,2022-07-30T13:04:07.882,9.76,-0.223,-0.751,0.078,
1.6592E+12,2022-07-30T13:04:07.922,9.8,-0.166,-0.745,0.099,
1.6592E+12,2022-07-30T13:04:07.962,9.84,-0.213,-0.804,0.116,
1.6592E+12,2022-07-30T13:04:08.002,9.88,-0.279,-0.604,0.154,
1.6592E+12,2022-07-30T13:04:08.042,9.92,-0.444,-0.561,0.21,
1.6592E+12,2022-07-30T13:04:08.082,9.96,-0.6,-0.606,0.213,
1.6592E+12,2022-07-30T13:04:08.122,10,-0.671,-0.637,0.245,
1.6592E+12,2022-07-30T13:04:08.162,10.04,-0.682,-0.699,0.405,
1.6592E+12,2022-07-30T13:04:08.202,10.08,-0.607,-0.678,0.522,
1.6592E+12,2022-07-30T13:04:08.242,10.12,-0.444,-0.664,0.571,
1.6592E+12,2022-07-30T13:04:08.282,10.16,-0.316,-0.658,0.514,
1.6592E+12,2022-07-30T13:04:08.322,10.2,-0.211,-0.715,0.503,
1.6592E+12,2022-07-30T13:04:08.362,10.24,-0.154,-0.471,0.47,
1.6592E+12,2022-07-30T13:04:08.402,10.28,-0.198,-0.118,0.518,
1.6592E+12,2022-07-30T13:04:08.442,10.32,-0.47,-0.034,0.535,
1.6592E+12,2022-07-30T13:04:08.482,10.36,-0.761,-0.319,0.469,
1.6592E+12,2022-07-30T13:04:08.522,10.4,-0.83,-0.831,0.6,
1.6592E+12,2022-07-30T13:04:08.562,10.44,-0.682,-1.166,0.566,
1.6592E+12,2022-07-30T13:04:08.602,10.48,-0.423,-1.436,0.512,
1.6592E+12,2022-07-30T13:04:08.642,10.52,-0.294,-1.22,0.552,
1.6592E+12,2022-07-30T13:04:08.682,10.56,-0.031,-1.143,0.526,
1.6592E+12,2022-07-30T13:04:08.722,10.6,0.461,-0.972,0.46,
1.6592E+12,2022-07-30T13:04:08.762,10.64,0.178,-0.796,0.25,
1.6592E+12,2022-07-30T13:04:08.802,10.68,0.097,-0.783,0.246,
1.6592E+12,2022-07-30T13:04:08.842,10.72,0.033,-0.775,0.204,
1.6592E+12,2022-07-30T13:04:08.882,10.76,0.372,-1.066,0.215,
1.6592E+12,2022-07-30T13:04:08.922,10.8,-0.011,-1.061,-0.079,
1.6592E+12,2022-07-30T13:04:08.962,10.84,0.086,-0.999,0.48,
1.6592E+12,2022-07-30T13:04:09.002,10.88,-0.045,-1.275,1.263,
1.6592E+12,2022-07-30T13:04:09.042,10.92,0.683,-1.071,1.92,
1.6592E+12,2022-07-30T13:04:09.082,10.96,1.228,-0.735,1.968,
1.6592E+12,2022-07-30T13:04:09.122,11,0.129,-0.649,1.104,
1.6592E+12,2022-07-30T13:04:09.162,11.04,-1.915,-0.633,-0.243,
1.6592E+12,2022-07-30T13:04:09.202,11.08,-0.822,-1.355,-0.578,
1.6592E+12,2022-07-30T13:04:09.242,11.12,0.916,-1.961,0.929,
1.6592E+12,2022-07-30T13:04:09.282,11.16,-0.206,-1.538,0.904,
1.6592E+12,2022-07-30T13:04:09.322,11.2,-0.012,-0.541,0.042,
1.6592E+12,2022-07-30T13:04:09.362,11.24,-0.381,-0.659,0.756,
1.6592E+12,2022-07-30T13:04:09.402,11.28,-0.358,-0.133,1.036,
1.6592E+12,2022-07-30T13:04:09.442,11.32,-0.676,0.199,1.569,
1.6592E+12,2022-07-30T13:04:09.482,11.36,-1.383,0.227,1.338,
1.6592E+12,2022-07-30T13:04:09.522,11.4,-0.682,0.549,0.924,
1.6592E+12,2022-07-30T13:04:09.562,11.44,0.064,0.886,1.064,
1.6592E+12,2022-07-30T13:04:09.602,11.48,0.29,0.377,0.642,
1.6592E+12,2022-07-30T13:04:09.642,11.52,0.649,-0.128,0.054,
1.6592E+12,2022-07-30T13:04:09.682,11.56,-0.515,-0.541,0.356,
1.6592E+12,2022-07-30T13:04:09.722,11.6,-0.651,-0.633,0.972,
1.6592E+12,2022-07-30T13:04:09.762,11.64,0.699,0.144,1.379,
1.6592E+12,2022-07-30T13:04:09.802,11.68,0.459,0.763,0.822,
1.6592E+12,2022-07-30T13:04:09.842,11.72,-0.531,0.534,0.741,
1.6592E+12,2022-07-30T13:04:09.882,11.76,0.193,0.286,0.848,
1.6592E+12,2022-07-30T13:04:09.922,11.8,0.491,-0.046,1.566,
1.6592E+12,2022-07-30T13:04:09.962,11.84,0.301,0.005,1.417,
1.6592E+12,2022-07-30T13:04:10.002,11.88,0.429,0.183,0.775,
1.6592E+12,2022-07-30T13:04:10.042,11.92,0.126,0.238,0.77,
1.6592E+12,2022-07-30T13:04:10.082,11.96,0.704,0.035,0.901,
1.6592E+12,2022-07-30T13:04:10.122,12,0.474,0.052,1.061,
1.6592E+12,2022-07-30T13:04:10.162,12.04,0.137,0.166,0.987,
1.6592E+12,2022-07-30T13:04:10.202,12.08,0.329,0.193,0.952,
1.6592E+12,2022-07-30T13:04:10.242,12.12,0.376,0.213,0.992,
1.6592E+12,2022-07-30T13:04:10.282,12.16,0.428,0.152,0.892,
1.6592E+12,2022-07-30T13:04:10.322,12.2,0.363,0.157,0.958,
1.6592E+12,2022-07-30T13:04:10.362,12.24,0.317,0.182,0.945,
1.6592E+12,2022-07-30T13:04:10.402,12.28,0.385,0.173,0.954,
1.6592E+12,2022-07-30T13:04:10.442,12.32,0.38,0.195,0.927,
1.6592E+12,2022-07-30T13:04:10.482,12.36,0.369,0.21,0.918,
1.6592E+12,2022-07-30T13:04:10.522,12.4,0.368,0.213,0.959,
1.6592E+12,2022-07-30T13:04:10.562,12.44,0.339,0.174,0.973,
1.6592E+12,2022-07-30T13:04:10.602,12.48,0.353,0.195,0.946,
1.6592E+12,2022-07-30T13:04:10.642,12.52,0.359,0.17,0.963,
1.6592E+12,2022-07-30T13:04:10.682,12.56,0.325,0.185,0.939,
1.6592E+12,2022-07-30T13:04:10.722,12.6,0.277,0.188,0.969,
1.6592E+12,2022-07-30T13:04:10.762,12.64,0.315,0.216,0.963,
1.6592E+12,2022-07-30T13:04:10.802,12.68,0.338,0.194,0.95,
1.6592E+12,2022-07-30T13:04:10.842,12.72,0.327,0.206,0.958,
1.6592E+12,2022-07-30T13:04:10.882,12.76,0.322,0.191,0.98,
1.6592E+12,2022-07-30T13:04:10.922,12.8,0.37,0.193,0.941,
1.6592E+12,2022-07-30T13:04:10.962,12.84,0.35,0.195,0.948,
1.6592E+12,2022-07-30T13:04:11.002,12.88,0.311,0.215,0.956,
1.6592E+12,2022-07-30T13:04:11.042,12.92,0.276,0.207,0.962,
1.6592E+12,2022-07-30T13:04:11.082,12.96,0.293,0.221,0.955,
1.6592E+12,2022-07-30T13:04:11.122,13,0.302,0.215,0.964,
1.6592E+12,2022-07-30T13:04:11.162,13.04,0.341,0.202,0.977,
1.6592E+12,2022-07-30T13:04:11.202,13.08,0.329,0.211,0.955,
