epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g),
1.6592E+12,2022-07-30T12:31:55.944,5.92,-0.232,-0.946,0.177,trial1
1.6592E+12,2022-07-30T12:31:55.984,5.96,-0.236,-0.95,0.183,
1.6592E+12,2022-07-30T12:31:56.024,6,-0.24,-0.954,0.203,
1.6592E+12,2022-07-30T12:31:56.064,6.04,-0.222,-0.968,0.19,
1.6592E+12,2022-07-30T12:31:56.104,6.08,-0.19,-0.949,0.177,
1.6592E+12,2022-07-30T12:31:56.144,6.12,-0.164,-0.929,0.165,
1.6592E+12,2022-07-30T12:31:56.184,6.16,-0.172,-0.916,0.155,
1.6592E+12,2022-07-30T12:31:56.224,6.2,0.019,-0.907,0.262,
1.6592E+12,2022-07-30T12:31:56.264,6.24,-0.369,-0.956,0.139,
1.6592E+12,2022-07-30T12:31:56.304,6.28,-0.34,-0.889,0.163,
1.6592E+12,2022-07-30T12:31:56.344,6.32,-0.365,-0.887,0.181,
1.6592E+12,2022-07-30T12:31:56.384,6.36,-0.293,-0.897,0.197,
1.6592E+12,2022-07-30T12:31:56.424,6.4,-0.267,-0.893,0.193,
1.6592E+12,2022-07-30T12:31:56.464,6.44,-0.308,-0.909,0.182,
1.6592E+12,2022-07-30T12:31:56.504,6.48,-0.298,-0.932,0.167,
1.6592E+12,2022-07-30T12:31:56.544,6.52,-0.289,-0.933,0.162,
1.6592E+12,2022-07-30T12:31:56.584,6.56,-0.285,-0.924,0.162,
1.6592E+12,2022-07-30T12:31:56.624,6.6,-0.27,-0.907,0.167,
1.6592E+12,2022-07-30T12:31:56.664,6.64,-0.264,-0.898,0.168,
1.6592E+12,2022-07-30T12:31:56.704,6.68,-0.273,-0.912,0.165,
1.6592E+12,2022-07-30T12:31:56.744,6.72,-0.286,-0.915,0.155,
1.6592E+12,2022-07-30T12:31:56.784,6.76,-0.299,-0.914,0.15,
1.6592E+12,2022-07-30T12:31:56.824,6.8,-0.307,-0.908,0.148,
1.6592E+12,2022-07-30T12:31:56.864,6.84,-0.31,-0.914,0.145,
1.6592E+12,2022-07-30T12:31:56.904,6.88,-0.321,-0.924,0.147,
1.6592E+12,2022-07-30T12:31:56.944,6.92,-0.333,-0.94,0.157,
1.6592E+12,2022-07-30T12:31:56.984,6.96,-0.329,-0.947,0.157,
1.6592E+12,2022-07-30T12:31:57.024,7,-0.317,-0.938,0.158,
1.6592E+12,2022-07-30T12:31:57.064,7.04,-0.31,-0.923,0.152,
1.6592E+12,2022-07-30T12:31:57.104,7.08,-0.301,-0.919,0.148,
1.6592E+12,2022-07-30T12:31:57.144,7.12,-0.295,-0.915,0.145,
1.6592E+12,2022-07-30T12:31:57.184,7.16,-0.29,-0.916,0.152,
1.6592E+12,2022-07-30T12:31:57.224,7.2,-0.275,-0.926,0.155,
1.6592E+12,2022-07-30T12:31:57.264,7.24,-0.28,-0.928,0.156,
1.6592E+12,2022-07-30T12:31:57.304,7.28,-0.292,-0.924,0.149,
1.6592E+12,2022-07-30T12:31:57.344,7.32,-0.292,-0.922,0.142,
1.6592E+12,2022-07-30T12:31:57.384,7.36,-0.305,-0.913,0.135,
1.6592E+12,2022-07-30T12:31:57.424,7.4,-0.312,-0.912,0.13,
1.6592E+12,2022-07-30T12:31:57.464,7.44,-0.315,-0.913,0.132,
1.6592E+12,2022-07-30T12:31:57.504,7.48,-0.317,-0.918,0.133,
1.6592E+12,2022-07-30T12:31:57.544,7.52,-0.318,-0.924,0.135,
1.6592E+12,2022-07-30T12:31:57.584,7.56,-0.304,-0.915,0.149,
1.6592E+12,2022-07-30T12:31:57.624,7.6,-0.281,-0.917,0.18,
1.6592E+12,2022-07-30T12:31:57.664,7.64,-0.289,-0.926,0.176,
1.6592E+12,2022-07-30T12:31:57.704,7.68,-0.302,-0.928,0.155,
1.6592E+12,2022-07-30T12:31:57.744,7.72,-0.294,-0.919,0.153,
1.6592E+12,2022-07-30T12:31:57.784,7.76,-0.293,-0.917,0.146,
1.6592E+12,2022-07-30T12:31:57.824,7.8,-0.303,-0.919,0.165,
1.6592E+12,2022-07-30T12:31:57.864,7.84,-0.265,-0.912,0.195,
1.6592E+12,2022-07-30T12:31:57.904,7.88,-0.293,-0.909,0.23,
1.6592E+12,2022-07-30T12:31:57.944,7.92,-0.309,-0.917,0.226,
1.6592E+12,2022-07-30T12:31:57.984,7.96,-0.308,-0.915,0.201,
1.6592E+12,2022-07-30T12:31:58.024,8,-0.299,-0.909,0.198,
1.6592E+12,2022-07-30T12:31:58.064,8.04,-0.295,-0.89,0.218,
1.6592E+12,2022-07-30T12:31:58.104,8.08,-0.313,-0.882,0.243,
1.6592E+12,2022-07-30T12:31:58.144,8.12,-0.325,-0.876,0.26,
1.6592E+12,2022-07-30T12:31:58.184,8.16,-0.334,-0.894,0.285,
1.6592E+12,2022-07-30T12:31:58.224,8.2,-0.313,-0.896,0.269,
1.6592E+12,2022-07-30T12:31:58.264,8.24,-0.342,-0.89,0.217,
1.6592E+12,2022-07-30T12:31:58.304,8.28,-0.379,-0.895,0.169,
1.6592E+12,2022-07-30T12:31:58.344,8.32,-0.376,-0.896,0.132,
1.6592E+12,2022-07-30T12:31:58.384,8.36,-0.364,-0.889,0.114,
1.6592E+12,2022-07-30T12:31:58.424,8.4,-0.362,-0.898,0.115,
1.6592E+12,2022-07-30T12:31:58.464,8.44,-0.361,-0.898,0.134,
1.6592E+12,2022-07-30T12:31:58.504,8.48,-0.349,-0.896,0.142,
1.6592E+12,2022-07-30T12:31:58.544,8.52,-0.348,-0.941,0.13,
1.6592E+12,2022-07-30T12:31:58.584,8.56,-0.321,-0.968,0.099,
1.6592E+12,2022-07-30T12:31:58.624,8.6,-0.299,-0.997,0.064,
1.6592E+12,2022-07-30T12:31:58.664,8.64,-0.293,-0.958,0.032,
1.6592E+12,2022-07-30T12:31:58.704,8.68,-0.308,-0.908,0.016,
1.6592E+12,2022-07-30T12:31:58.744,8.72,-0.336,-0.911,0.047,
1.6592E+12,2022-07-30T12:31:58.784,8.76,-0.361,-0.917,0.071,
1.6592E+12,2022-07-30T12:31:58.824,8.8,-0.363,-0.917,0.05,
1.6592E+12,2022-07-30T12:31:58.864,8.84,-0.324,-0.964,0.06,
1.6592E+12,2022-07-30T12:31:58.904,8.88,-0.321,-0.99,0.061,
1.6592E+12,2022-07-30T12:31:58.944,8.92,-0.339,-0.994,0.062,
1.6592E+12,2022-07-30T12:31:58.984,8.96,-0.339,-0.967,0.078,
1.6592E+12,2022-07-30T12:31:59.024,9,-0.34,-0.875,0.048,
1.6592E+12,2022-07-30T12:31:59.064,9.04,-0.374,-0.652,0.028,
1.6592E+12,2022-07-30T12:31:59.104,9.08,-0.271,-0.507,0.141,
1.6592E+12,2022-07-30T12:31:59.144,9.12,-0.247,-0.503,0.194,
1.6592E+12,2022-07-30T12:31:59.184,9.16,-0.31,-0.657,0.187,
1.6592E+12,2022-07-30T12:31:59.224,9.2,-0.333,-0.797,0.092,
1.6592E+12,2022-07-30T12:31:59.264,9.24,-0.327,-0.986,0.15,
1.6592E+12,2022-07-30T12:31:59.304,9.28,-0.5,-1.222,0.145,
1.6592E+12,2022-07-30T12:31:59.344,9.32,-0.585,-1.143,0.08,
1.6592E+12,2022-07-30T12:31:59.384,9.36,-0.582,-0.858,0.148,
1.6592E+12,2022-07-30T12:31:59.424,9.4,-0.789,-0.409,0.225,
1.6592E+12,2022-07-30T12:31:59.464,9.44,-0.857,-0.11,0.353,
1.6592E+12,2022-07-30T12:31:59.504,9.48,-0.928,0.005,0.448,
1.6592E+12,2022-07-30T12:31:59.544,9.52,-0.704,0.031,0.427,
1.6592E+12,2022-07-30T12:31:59.584,9.56,-0.7,-0.022,0.35,
1.6592E+12,2022-07-30T12:31:59.624,9.6,-0.708,-0.118,0.487,
1.6592E+12,2022-07-30T12:31:59.664,9.64,-0.667,-0.354,0.59,
1.6592E+12,2022-07-30T12:31:59.704,9.68,-0.715,-0.389,0.559,
1.6592E+12,2022-07-30T12:31:59.744,9.72,-0.858,-0.753,0.62,
1.6592E+12,2022-07-30T12:31:59.784,9.76,-0.728,-0.66,0.519,
1.6592E+12,2022-07-30T12:31:59.824,9.8,-0.563,-0.712,0.675,
1.6592E+12,2022-07-30T12:31:59.864,9.84,-0.57,-0.816,0.475,
1.6592E+12,2022-07-30T12:31:59.904,9.88,-0.519,-0.69,0.479,
1.6592E+12,2022-07-30T12:31:59.944,9.92,-0.675,-0.493,0.746,
1.6592E+12,2022-07-30T12:31:59.984,9.96,-0.566,-0.759,0.803,
1.6592E+12,2022-07-30T12:32:00.024,10,-0.328,-1.01,0.571,
1.6592E+12,2022-07-30T12:32:00.064,10.04,-0.674,-1.13,0.23,
1.6592E+12,2022-07-30T12:32:00.104,10.08,-0.692,-0.875,0.117,
1.6592E+12,2022-07-30T12:32:00.144,10.12,0.376,-0.985,0.606,
1.6592E+12,2022-07-30T12:32:00.184,10.16,0.018,-1.576,1.312,
1.6592E+12,2022-07-30T12:32:00.224,10.2,-0.382,-1.336,1.337,
1.6592E+12,2022-07-30T12:32:00.264,10.24,-0.615,-0.806,1.141,
1.6592E+12,2022-07-30T12:32:00.304,10.28,-0.513,-0.423,0.605,
1.6592E+12,2022-07-30T12:32:00.344,10.32,-0.538,-0.745,0.851,
1.6592E+12,2022-07-30T12:32:00.384,10.36,0.005,-0.497,0.737,
1.6592E+12,2022-07-30T12:32:00.424,10.4,-0.599,-0.475,0.285,
1.6592E+12,2022-07-30T12:32:00.464,10.44,-0.366,-0.09,0.582,
1.6592E+12,2022-07-30T12:32:00.504,10.48,-1.428,-0.063,0.872,
1.6592E+12,2022-07-30T12:32:00.544,10.52,-0.389,0.003,0.829,
1.6592E+12,2022-07-30T12:32:00.584,10.56,-0.827,0.095,0.824,
1.6592E+12,2022-07-30T12:32:00.624,10.6,-0.232,0.107,0.497,
1.6592E+12,2022-07-30T12:32:00.664,10.64,-0.306,-0.064,1.019,
1.6592E+12,2022-07-30T12:32:00.704,10.68,-0.139,-0.02,1.15,
1.6592E+12,2022-07-30T12:32:00.744,10.72,-0.467,0.081,0.96,
1.6592E+12,2022-07-30T12:32:00.784,10.76,-0.317,-0.073,0.743,
1.6592E+12,2022-07-30T12:32:00.824,10.8,-0.482,-0.039,0.53,
1.6592E+12,2022-07-30T12:32:00.864,10.84,-0.872,0.035,0.705,
1.6592E+12,2022-07-30T12:32:00.904,10.88,-0.499,0.099,1.049,
1.6592E+12,2022-07-30T12:32:00.944,10.92,-0.353,0.138,0.808,
1.6592E+12,2022-07-30T12:32:00.984,10.96,-0.295,-0.038,1.134,
1.6592E+12,2022-07-30T12:32:01.024,11,-0.324,-0.1,1.009,
1.6592E+12,2022-07-30T12:32:01.064,11.04,-0.296,-0.064,0.912,
1.6592E+12,2022-07-30T12:32:01.104,11.08,-0.306,-0.037,0.924,
1.6592E+12,2022-07-30T12:32:01.144,11.12,-0.23,-0.052,0.988,
1.6592E+12,2022-07-30T12:32:01.184,11.16,-0.213,0.013,0.936,
1.6592E+12,2022-07-30T12:32:01.224,11.2,-0.282,0.003,0.962,
1.6592E+12,2022-07-30T12:32:01.264,11.24,-0.245,0.011,0.885,
1.6592E+12,2022-07-30T12:32:01.304,11.28,-0.295,-0.046,0.994,
1.6592E+12,2022-07-30T12:32:01.344,11.32,-0.34,-0.022,0.948,
1.6592E+12,2022-07-30T12:32:01.384,11.36,-0.288,-0.064,1.032,
1.6592E+12,2022-07-30T12:32:01.424,11.4,-0.283,-0.075,0.956,
1.6592E+12,2022-07-30T12:32:01.464,11.44,-0.301,-0.074,0.99,
1.6592E+12,2022-07-30T12:32:01.504,11.48,-0.233,-0.052,0.991,
1.6592E+12,2022-07-30T12:32:01.544,11.52,-0.13,-0.057,0.967,
1.6592E+12,2022-07-30T12:32:01.584,11.56,-0.061,-0.061,1.006,
1.6592E+12,2022-07-30T12:32:01.624,11.6,-0.186,-0.051,0.982,
1.6592E+12,2022-07-30T12:32:01.664,11.64,-0.135,-0.041,1.014,
1.6592E+12,2022-07-30T12:32:01.704,11.68,-0.214,-0.03,1.002,
1.6592E+12,2022-07-30T12:32:01.744,11.72,-0.158,-0.037,0.992,
1.6592E+12,2022-07-30T12:32:01.784,11.76,-0.208,-0.032,0.973,
1.6592E+12,2022-07-30T12:32:01.824,11.8,-0.163,-0.029,0.993,
1.6592E+12,2022-07-30T12:32:01.864,11.84,-0.183,-0.034,0.997,
1.6592E+12,2022-07-30T12:32:01.904,11.88,-0.156,-0.031,1.002,
1.6592E+12,2022-07-30T12:32:01.944,11.92,-0.195,-0.033,0.988,
1.6592E+12,2022-07-30T12:32:01.984,11.96,-0.172,-0.026,0.984,
1.6592E+12,2022-07-30T12:32:02.024,12,-0.187,-0.03,0.996,
1.6592E+12,2022-07-30T12:32:02.064,12.04,-0.176,-0.022,0.984,
1.6592E+12,2022-07-30T12:32:02.104,12.08,-0.169,-0.03,1.006,
1.6592E+12,2022-07-30T12:32:02.144,12.12,-0.166,-0.027,1,
1.6592E+12,2022-07-30T12:32:02.184,12.16,-0.186,-0.029,0.989,
1.6592E+12,2022-07-30T12:32:02.224,12.2,-0.182,-0.028,0.988,
1.6592E+12,2022-07-30T12:32:02.264,12.24,-0.18,-0.025,0.99,
1.6592E+12,2022-07-30T12:32:02.304,12.28,-0.185,-0.026,0.991,
1.6592E+12,2022-07-30T12:32:02.344,12.32,-0.182,-0.023,0.994,
1.6592E+12,2022-07-30T12:32:02.384,12.36,-0.183,-0.026,0.994,
1.6592E+12,2022-07-30T12:32:02.424,12.4,-0.178,-0.024,0.988,
1.6592E+12,2022-07-30T12:32:02.464,12.44,-0.186,-0.027,0.989,
1.6592E+12,2022-07-30T12:32:02.504,12.48,-0.178,-0.023,0.994,
1.6592E+12,2022-07-30T12:32:02.544,12.52,-0.185,-0.016,0.951,
1.6592E+12,2022-07-30T12:32:02.584,12.56,-0.176,-0.031,1.001,
1.6592E+12,2022-07-30T12:32:02.624,12.6,-0.139,-0.035,1.001,
1.6592E+12,2022-07-30T12:32:02.664,12.64,-0.142,-0.04,0.982,
1.6592E+12,2022-07-30T12:32:02.704,12.68,-0.099,-0.034,0.83,
1.6592E+12,2022-07-30T12:32:02.744,12.72,-0.157,-0.016,0.924,
1.6592E+12,2022-07-30T12:32:02.784,12.76,0.054,-0.101,1.163,
1.6592E+12,2022-07-30T12:32:02.824,12.8,-0.548,-0.101,0.998,
1.6592E+12,2022-07-30T12:32:02.864,12.84,-0.2,-0.133,0.904,
1.6592E+12,2022-07-30T12:32:02.904,12.88,-0.286,-0.11,0.871,
1.6592E+12,2022-07-30T12:32:02.944,12.92,-0.261,-0.257,0.999,
1.6592E+12,2022-07-30T12:32:02.984,12.96,-0.142,-0.22,0.872,
1.6592E+12,2022-07-30T12:32:03.024,13,-0.099,-0.363,0.953,
1.6592E+12,2022-07-30T12:32:03.064,13.04,-0.115,-0.385,1.01,
1.6592E+12,2022-07-30T12:32:03.104,13.08,-0.085,-0.394,0.929,
1.6592E+12,2022-07-30T12:32:03.144,13.12,-0.11,-0.469,0.943,
1.6592E+12,2022-07-30T12:32:03.184,13.16,-0.129,-0.485,0.889,
1.6592E+12,2022-07-30T12:32:03.224,13.2,0.015,-0.556,0.894,
1.6592E+12,2022-07-30T12:32:03.264,13.24,-0.033,-0.482,0.82,
1.6592E+12,2022-07-30T12:32:03.304,13.28,0.044,-0.7,0.951,
1.6592E+12,2022-07-30T12:32:03.344,13.32,0.177,-0.626,0.856,
1.6592E+12,2022-07-30T12:32:03.384,13.36,0.159,-0.549,0.779,
1.6592E+12,2022-07-30T12:32:03.424,13.4,0.128,-0.691,0.813,
1.6592E+12,2022-07-30T12:32:03.464,13.44,0.351,-0.611,0.788,
1.6592E+12,2022-07-30T12:32:03.504,13.48,0.355,-0.761,0.725,
1.6592E+12,2022-07-30T12:32:03.544,13.52,0.159,-0.84,0.708,
1.6592E+12,2022-07-30T12:32:03.584,13.56,0.639,-1.072,0.826,
1.6592E+12,2022-07-30T12:32:03.624,13.6,0.924,-1.168,0.371,
1.6592E+12,2022-07-30T12:32:03.664,13.64,0.567,-1.505,0.501,
1.6592E+12,2022-07-30T12:32:03.704,13.68,0.694,-1.28,-0.002,
1.6592E+12,2022-07-30T12:32:03.744,13.72,-0.522,-1.336,0.166,
1.6592E+12,2022-07-30T12:32:03.784,13.76,-0.179,-1.903,0.556,
1.6592E+12,2022-07-30T12:32:03.824,13.8,-0.252,-1.239,0.543,
1.6592E+12,2022-07-30T12:32:03.864,13.84,-0.355,-0.666,0.56,
1.6592E+12,2022-07-30T12:32:03.904,13.88,-0.704,-0.598,0.582,
1.6592E+12,2022-07-30T12:32:03.944,13.92,-1.099,-0.553,0.619,
1.6592E+12,2022-07-30T12:32:03.984,13.96,-1.374,-0.612,0.61,
1.6592E+12,2022-07-30T12:32:04.024,14,-1.363,-0.437,0.476,
1.6592E+12,2022-07-30T12:32:04.064,14.04,-1.224,-0.309,0.508,
1.6592E+12,2022-07-30T12:32:04.104,14.08,-1.201,-0.391,0.35,
1.6592E+12,2022-07-30T12:32:04.144,14.12,-1.286,-0.488,0.33,
1.6592E+12,2022-07-30T12:32:04.184,14.16,-1.126,-0.622,0.11,
1.6592E+12,2022-07-30T12:32:04.224,14.2,-1.059,-0.494,-0.065,
1.6592E+12,2022-07-30T12:32:04.264,14.24,-0.782,-0.492,-0.202,
1.6592E+12,2022-07-30T12:32:04.304,14.28,-1.001,-0.564,-0.167,
1.6592E+12,2022-07-30T12:32:04.344,14.32,-1.695,-0.784,0.044,
1.6592E+12,2022-07-30T12:32:04.384,14.36,-1.644,-0.496,0.305,
1.6592E+12,2022-07-30T12:32:04.424,14.4,-1.323,-0.344,0.628,
1.6592E+12,2022-07-30T12:32:04.464,14.44,-1.509,-0.382,1.107,
1.6592E+12,2022-07-30T12:32:04.504,14.48,-1.334,-0.352,1.295,
1.6592E+12,2022-07-30T12:32:04.544,14.52,-0.937,-0.587,1.093,
1.6592E+12,2022-07-30T12:32:04.584,14.56,-0.985,-0.893,1.131,
1.6592E+12,2022-07-30T12:32:04.624,14.6,-0.825,-1.086,0.812,
1.6592E+12,2022-07-30T12:32:04.664,14.64,-0.498,-1.151,0.611,
1.6592E+12,2022-07-30T12:32:04.704,14.68,-0.174,-1.225,0.07,
1.6592E+12,2022-07-30T12:32:04.744,14.72,-0.218,-1.171,0.091,
1.6592E+12,2022-07-30T12:32:04.784,14.76,0.021,-1.184,-0.242,
1.6592E+12,2022-07-30T12:32:04.824,14.8,-0.164,-0.871,-0.292,
1.6592E+12,2022-07-30T12:32:04.864,14.84,0.051,-0.786,-0.088,
1.6592E+12,2022-07-30T12:32:04.904,14.88,0.306,-0.702,0.027,
1.6592E+12,2022-07-30T12:32:04.944,14.92,0.514,-0.882,-0.025,
1.6592E+12,2022-07-30T12:32:04.984,14.96,0.674,-0.98,0.013,
1.6592E+12,2022-07-30T12:32:05.024,15,0.559,-1.077,0.249,
1.6592E+12,2022-07-30T12:32:05.064,15.04,0.537,-1.381,0.223,
1.6592E+12,2022-07-30T12:32:05.104,15.08,0.42,-1.546,0.212,
1.6592E+12,2022-07-30T12:32:05.144,15.12,0.328,-1.502,0.133,
1.6592E+12,2022-07-30T12:32:05.184,15.16,0.082,-1.468,0.129,
1.6592E+12,2022-07-30T12:32:05.224,15.2,-0.11,-1.486,0.153,
1.6592E+12,2022-07-30T12:32:05.264,15.24,-0.169,-1.237,0.178,
1.6592E+12,2022-07-30T12:32:05.304,15.28,-0.194,-1.153,0.16,
1.6592E+12,2022-07-30T12:32:05.344,15.32,-0.179,-1.194,0.233,
1.6592E+12,2022-07-30T12:32:05.384,15.36,-0.128,-1.162,0.17,
