epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g),
1.65851E+12,2022-07-22T11:15:58.113,7.52,-0.234,-0.951,0.085,trial1
1.65851E+12,2022-07-22T11:15:58.153,7.56,-0.229,-0.961,0.082,
1.65851E+12,2022-07-22T11:15:58.193,7.6,-0.204,-0.962,0.079,
1.65851E+12,2022-07-22T11:15:58.233,7.64,-0.189,-0.959,0.087,
1.65851E+12,2022-07-22T11:15:58.273,7.68,-0.191,-0.966,0.08,
1.65851E+12,2022-07-22T11:15:58.313,7.72,-0.191,-0.964,0.068,
1.65851E+12,2022-07-22T11:15:58.353,7.76,-0.185,-0.954,0.065,
1.65851E+12,2022-07-22T11:15:58.393,7.8,-0.196,-0.955,0.071,
1.65851E+12,2022-07-22T11:15:58.433,7.84,-0.2,-0.959,0.075,
1.65851E+12,2022-07-22T11:15:58.473,7.88,-0.196,-0.963,0.08,
1.65851E+12,2022-07-22T11:15:58.513,7.92,-0.194,-0.958,0.083,
1.65851E+12,2022-07-22T11:15:58.553,7.96,-0.197,-0.953,0.081,
1.65851E+12,2022-07-22T11:15:58.593,8,-0.198,-0.956,0.08,
1.65851E+12,2022-07-22T11:15:58.633,8.04,-0.196,-0.96,0.075,
1.65851E+12,2022-07-22T11:15:58.673,8.08,-0.195,-0.961,0.075,
1.65851E+12,2022-07-22T11:15:58.713,8.12,-0.194,-0.954,0.083,
1.65851E+12,2022-07-22T11:15:58.753,8.16,-0.2,-0.959,0.083,
1.65851E+12,2022-07-22T11:15:58.793,8.2,-0.208,-0.959,0.086,
1.65851E+12,2022-07-22T11:15:58.833,8.24,-0.208,-0.955,0.083,
1.65851E+12,2022-07-22T11:15:58.873,8.28,-0.195,-0.953,0.083,
1.65851E+12,2022-07-22T11:15:58.913,8.32,-0.191,-0.957,0.08,
1.65851E+12,2022-07-22T11:15:58.953,8.36,-0.198,-0.963,0.085,
1.65851E+12,2022-07-22T11:15:58.993,8.4,-0.208,-0.958,0.088,
1.65851E+12,2022-07-22T11:15:59.033,8.44,-0.207,-0.956,0.081,
1.65851E+12,2022-07-22T11:15:59.073,8.48,-0.193,-0.958,0.082,
1.65851E+12,2022-07-22T11:15:59.113,8.52,-0.193,-0.961,0.079,
1.65851E+12,2022-07-22T11:15:59.153,8.56,-0.198,-0.962,0.081,
1.65851E+12,2022-07-22T11:15:59.193,8.6,-0.199,-0.959,0.084,
1.65851E+12,2022-07-22T11:15:59.233,8.64,-0.198,-0.954,0.086,
1.65851E+12,2022-07-22T11:15:59.273,8.68,-0.202,-0.951,0.085,
1.65851E+12,2022-07-22T11:15:59.313,8.72,-0.199,-0.956,0.086,
1.65851E+12,2022-07-22T11:15:59.353,8.76,-0.2,-0.961,0.09,
1.65851E+12,2022-07-22T11:15:59.393,8.8,-0.204,-0.958,0.089,
1.65851E+12,2022-07-22T11:15:59.433,8.84,-0.199,-0.953,0.095,
1.65851E+12,2022-07-22T11:15:59.473,8.88,-0.202,-0.953,0.095,
1.65851E+12,2022-07-22T11:15:59.513,8.92,-0.21,-0.953,0.09,
1.65851E+12,2022-07-22T11:15:59.553,8.96,-0.202,-0.957,0.089,
1.65851E+12,2022-07-22T11:15:59.593,9,-0.206,-0.96,0.096,
1.65851E+12,2022-07-22T11:15:59.633,9.04,-0.207,-0.955,0.092,
1.65851E+12,2022-07-22T11:15:59.673,9.08,-0.2,-0.952,0.087,
