epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g),
1.65851E+12,2022-07-22T12:05:29.020,7.16,-0.184,-0.963,0.028,trial1
1.65851E+12,2022-07-22T12:05:29.060,7.2,-0.197,-0.956,0.034,
1.65851E+12,2022-07-22T12:05:29.100,7.24,-0.199,-0.955,0.042,
1.65851E+12,2022-07-22T12:05:29.140,7.28,-0.195,-0.965,0.048,
1.65851E+12,2022-07-22T12:05:29.180,7.32,-0.196,-0.97,0.031,
1.65851E+12,2022-07-22T12:05:29.220,7.36,-0.175,-0.972,0.018,
1.65851E+12,2022-07-22T12:05:29.260,7.4,-0.168,-0.965,0.027,
1.65851E+12,2022-07-22T12:05:29.300,7.44,-0.182,-0.965,0.039,
1.65851E+12,2022-07-22T12:05:29.340,7.48,-0.195,-0.956,0.045,
1.65851E+12,2022-07-22T12:05:29.380,7.52,-0.205,-0.959,0.05,
1.65851E+12,2022-07-22T12:05:29.420,7.56,-0.209,-0.964,0.048,
1.65851E+12,2022-07-22T12:05:29.460,7.6,-0.197,-0.962,0.045,
1.65851E+12,2022-07-22T12:05:29.500,7.64,-0.186,-0.964,0.036,
1.65851E+12,2022-07-22T12:05:29.540,7.68,-0.181,-0.962,0.036,
1.65851E+12,2022-07-22T12:05:29.580,7.72,-0.179,-0.961,0.045,
1.65851E+12,2022-07-22T12:05:29.620,7.76,-0.183,-0.963,0.047,
1.65851E+12,2022-07-22T12:05:29.660,7.8,-0.194,-0.964,0.047,
1.65851E+12,2022-07-22T12:05:29.700,7.84,-0.205,-0.961,0.046,
1.65851E+12,2022-07-22T12:05:29.740,7.88,-0.201,-0.967,0.045,
1.65851E+12,2022-07-22T12:05:29.780,7.92,-0.192,-0.969,0.052,
1.65851E+12,2022-07-22T12:05:29.820,7.96,-0.19,-0.961,0.051,
1.65851E+12,2022-07-22T12:05:29.860,8,-0.191,-0.958,0.044,
1.65851E+12,2022-07-22T12:05:29.900,8.04,-0.191,-0.964,0.044,
1.65851E+12,2022-07-22T12:05:29.940,8.08,-0.198,-0.965,0.049,
1.65851E+12,2022-07-22T12:05:29.980,8.12,-0.193,-0.964,0.049,
1.65851E+12,2022-07-22T12:05:30.020,8.16,-0.188,-0.961,0.049,
1.65851E+12,2022-07-22T12:05:30.060,8.2,-0.194,-0.96,0.048,
1.65851E+12,2022-07-22T12:05:30.100,8.24,-0.192,-0.962,0.045,
1.65851E+12,2022-07-22T12:05:30.140,8.28,-0.195,-0.958,0.049,
1.65851E+12,2022-07-22T12:05:30.180,8.32,-0.199,-0.959,0.053,
1.65851E+12,2022-07-22T12:05:30.220,8.36,-0.194,-0.959,0.058,
1.65851E+12,2022-07-22T12:05:30.260,8.4,-0.197,-0.96,0.057,
1.65851E+12,2022-07-22T12:05:30.300,8.44,-0.204,-0.959,0.053,
1.65851E+12,2022-07-22T12:05:30.340,8.48,-0.198,-0.963,0.049,
