epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g),
1.65851E+12,2022-07-22T11:24:37.423,10.32,-0.159,-0.968,-0.058,trial1
1.65851E+12,2022-07-22T11:24:37.463,10.36,-0.158,-0.975,-0.05,
1.65851E+12,2022-07-22T11:24:37.503,10.4,-0.145,-0.974,-0.062,
1.65851E+12,2022-07-22T11:24:37.543,10.44,-0.136,-0.971,-0.068,
1.65851E+12,2022-07-22T11:24:37.583,10.48,-0.125,-0.97,-0.067,
1.65851E+12,2022-07-22T11:24:37.623,10.52,-0.13,-0.972,-0.065,
1.65851E+12,2022-07-22T11:24:37.663,10.56,-0.12,-0.967,-0.066,
1.65851E+12,2022-07-22T11:24:37.703,10.6,-0.132,-0.975,-0.056,
1.65851E+12,2022-07-22T11:24:37.743,10.64,-0.142,-0.971,-0.049,
1.65851E+12,2022-07-22T11:24:37.783,10.68,-0.135,-0.963,-0.051,
1.65851E+12,2022-07-22T11:24:37.823,10.72,-0.137,-0.971,-0.049,
1.65851E+12,2022-07-22T11:24:37.863,10.76,-0.146,-0.973,-0.057,
1.65851E+12,2022-07-22T11:24:37.903,10.8,-0.147,-0.97,-0.054,
1.65851E+12,2022-07-22T11:24:37.943,10.84,-0.132,-0.967,-0.054,
1.65851E+12,2022-07-22T11:24:37.983,10.88,-0.127,-0.968,-0.062,
1.65851E+12,2022-07-22T11:24:38.023,10.92,-0.139,-0.974,-0.057,
1.65851E+12,2022-07-22T11:24:38.063,10.96,-0.146,-0.971,-0.045,
1.65851E+12,2022-07-22T11:24:38.103,11,-0.145,-0.971,-0.042,
1.65851E+12,2022-07-22T11:24:38.143,11.04,-0.131,-0.96,-0.057,
1.65851E+12,2022-07-22T11:24:38.183,11.08,-0.102,-0.962,-0.068,
1.65851E+12,2022-07-22T11:24:38.223,11.12,-0.131,-0.973,-0.041,
1.65851E+12,2022-07-22T11:24:38.263,11.16,-0.191,-0.974,-0.027,
1.65851E+12,2022-07-22T11:24:38.303,11.2,-0.196,-0.974,-0.038,
1.65851E+12,2022-07-22T11:24:38.343,11.24,-0.159,-0.975,-0.05,
1.65851E+12,2022-07-22T11:24:38.383,11.28,-0.125,-0.972,-0.038,
1.65851E+12,2022-07-22T11:24:38.423,11.32,-0.12,-0.969,-0.044,
1.65851E+12,2022-07-22T11:24:38.463,11.36,-0.126,-0.97,-0.052,
1.65851E+12,2022-07-22T11:24:38.503,11.4,-0.129,-0.967,-0.052,
1.65851E+12,2022-07-22T11:24:38.543,11.44,-0.137,-0.974,-0.048,
1.65851E+12,2022-07-22T11:24:38.583,11.48,-0.166,-0.991,-0.035,
1.65851E+12,2022-07-22T11:24:38.623,11.52,-0.191,-1.049,0.007,
1.65851E+12,2022-07-22T11:24:38.663,11.56,-0.168,-1.034,0.043,
1.65851E+12,2022-07-22T11:24:38.703,11.6,-0.116,-0.989,0.015,
1.65851E+12,2022-07-22T11:24:38.743,11.64,-0.126,-0.973,-0.037,
1.65851E+12,2022-07-22T11:24:38.783,11.68,-0.117,-0.951,-0.062,
1.65851E+12,2022-07-22T11:24:38.823,11.72,-0.106,-0.92,-0.066,
1.65851E+12,2022-07-22T11:24:38.863,11.76,-0.118,-0.899,-0.044,
1.65851E+12,2022-07-22T11:24:38.903,11.8,-0.101,-0.918,-0.017,
1.65851E+12,2022-07-22T11:24:38.943,11.84,-0.095,-0.953,0.01,
1.65851E+12,2022-07-22T11:24:38.983,11.88,-0.12,-0.967,0.039,
1.65851E+12,2022-07-22T11:24:39.023,11.92,-0.141,-0.984,0.052,
1.65851E+12,2022-07-22T11:24:39.063,11.96,-0.159,-1.002,0.051,
1.65851E+12,2022-07-22T11:24:39.103,12,-0.174,-0.994,0.059,
1.65851E+12,2022-07-22T11:24:39.143,12.04,-0.174,-0.953,0.059,
1.65851E+12,2022-07-22T11:24:39.183,12.08,-0.159,-0.945,0.039,
1.65851E+12,2022-07-22T11:24:39.223,12.12,-0.18,-1.019,0.06,
1.65851E+12,2022-07-22T11:24:39.263,12.16,-0.22,-1.05,0.1,
1.65851E+12,2022-07-22T11:24:39.303,12.2,-0.207,-0.976,0.14,
1.65851E+12,2022-07-22T11:24:39.343,12.24,-0.189,-0.934,0.191,
1.65851E+12,2022-07-22T11:24:39.383,12.28,-0.18,-0.895,0.232,
1.65851E+12,2022-07-22T11:24:39.423,12.32,-0.157,-0.859,0.267,
1.65851E+12,2022-07-22T11:24:39.463,12.36,-0.118,-0.827,0.312,
1.65851E+12,2022-07-22T11:24:39.503,12.4,-0.115,-0.742,0.299,
1.65851E+12,2022-07-22T11:24:39.543,12.44,-0.111,-0.723,0.274,
1.65851E+12,2022-07-22T11:24:39.583,12.48,-0.17,-0.687,0.248,
1.65851E+12,2022-07-22T11:24:39.623,12.52,-0.238,-0.598,0.209,
1.65851E+12,2022-07-22T11:24:39.663,12.56,-0.201,-0.438,0.265,
1.65851E+12,2022-07-22T11:24:39.703,12.6,-0.124,-0.464,0.35,
1.65851E+12,2022-07-22T11:24:39.743,12.64,-0.048,-0.631,0.24,
1.65851E+12,2022-07-22T11:24:39.783,12.68,-0.071,-0.786,0.253,
1.65851E+12,2022-07-22T11:24:39.823,12.72,-0.08,-1.077,0.298,
1.65851E+12,2022-07-22T11:24:39.863,12.76,-0.073,-1.264,0.329,
1.65851E+12,2022-07-22T11:24:39.903,12.8,0.024,-1.225,0.333,
1.65851E+12,2022-07-22T11:24:39.943,12.84,0.046,-1.244,0.277,
1.65851E+12,2022-07-22T11:24:39.983,12.88,0.022,-1.221,0.303,
1.65851E+12,2022-07-22T11:24:40.023,12.92,0.129,-1.142,0.342,
