epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g),
1.65851E+12,2022-07-22T11:06:50.482,8.56,-0.128,-0.975,0.024,trial1
1.65851E+12,2022-07-22T11:06:50.522,8.6,-0.129,-0.976,0.03,
1.65851E+12,2022-07-22T11:06:50.562,8.64,-0.125,-0.972,0.022,
1.65851E+12,2022-07-22T11:06:50.602,8.68,-0.128,-0.971,0.022,
1.65851E+12,2022-07-22T11:06:50.642,8.72,-0.132,-0.971,0.027,
1.65851E+12,2022-07-22T11:06:50.682,8.76,-0.135,-0.97,0.029,
1.65851E+12,2022-07-22T11:06:50.722,8.8,-0.125,-0.969,0.028,
1.65851E+12,2022-07-22T11:06:50.762,8.84,-0.13,-0.976,0.031,
1.65851E+12,2022-07-22T11:06:50.802,8.88,-0.133,-0.98,0.04,
1.65851E+12,2022-07-22T11:06:50.842,8.92,-0.128,-0.976,0.041,
1.65851E+12,2022-07-22T11:06:50.882,8.96,-0.137,-0.97,0.029,
1.65851E+12,2022-07-22T11:06:50.922,9,-0.142,-0.969,0.031,
1.65851E+12,2022-07-22T11:06:50.962,9.04,-0.141,-0.973,0.032,
1.65851E+12,2022-07-22T11:06:51.002,9.08,-0.136,-0.971,0.034,
1.65851E+12,2022-07-22T11:06:51.042,9.12,-0.129,-0.975,0.033,
1.65851E+12,2022-07-22T11:06:51.082,9.16,-0.141,-0.975,0.037,
1.65851E+12,2022-07-22T11:06:51.122,9.2,-0.14,-0.971,0.036,
1.65851E+12,2022-07-22T11:06:51.162,9.24,-0.14,-0.973,0.03,
1.65851E+12,2022-07-22T11:06:51.202,9.28,-0.138,-0.976,0.031,
1.65851E+12,2022-07-22T11:06:51.242,9.32,-0.13,-0.971,0.035,
1.65851E+12,2022-07-22T11:06:51.282,9.36,-0.138,-0.97,0.034,
1.65851E+12,2022-07-22T11:06:51.322,9.4,-0.143,-0.973,0.029,
1.65851E+12,2022-07-22T11:06:51.362,9.44,-0.139,-0.971,0.033,
1.65851E+12,2022-07-22T11:06:51.402,9.48,-0.137,-0.972,0.036,
1.65851E+12,2022-07-22T11:06:51.442,9.52,-0.142,-0.972,0.03,
1.65851E+12,2022-07-22T11:06:51.482,9.56,-0.136,-0.971,0.034,
1.65851E+12,2022-07-22T11:06:51.522,9.6,-0.138,-0.973,0.034,
