epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g),
1.65834E+12,2022-07-20T13:19:44.520,6.92,0.142,0.985,0.255,trial1
1.65834E+12,2022-07-20T13:19:44.560,6.96,0.156,0.984,0.246,
1.65834E+12,2022-07-20T13:19:44.600,7,0.161,0.981,0.243,
1.65834E+12,2022-07-20T13:19:44.640,7.04,0.161,0.977,0.235,
1.65834E+12,2022-07-20T13:19:44.680,7.08,0.154,0.975,0.225,
1.65834E+12,2022-07-20T13:19:44.720,7.12,0.151,0.986,0.216,
1.65834E+12,2022-07-20T13:19:44.760,7.16,0.161,0.978,0.211,
1.65834E+12,2022-07-20T13:19:44.800,7.2,0.149,0.972,0.215,
1.65834E+12,2022-07-20T13:19:44.840,7.24,0.156,0.971,0.215,
1.65834E+12,2022-07-20T13:19:44.880,7.28,0.158,0.981,0.232,
1.65834E+12,2022-07-20T13:19:44.920,7.32,0.165,0.993,0.239,
1.65834E+12,2022-07-20T13:19:44.960,7.36,0.163,0.989,0.239,
1.65834E+12,2022-07-20T13:19:45.000,7.4,0.173,0.975,0.219,
1.65834E+12,2022-07-20T13:19:45.040,7.44,0.175,0.976,0.212,
1.65834E+12,2022-07-20T13:19:45.080,7.48,0.173,0.973,0.218,
1.65834E+12,2022-07-20T13:19:45.120,7.52,0.182,0.977,0.222,
1.65834E+12,2022-07-20T13:19:45.160,7.56,0.172,0.985,0.235,
1.65834E+12,2022-07-20T13:19:45.200,7.6,0.172,0.981,0.232,
1.65834E+12,2022-07-20T13:19:45.240,7.64,0.175,0.974,0.234,
1.65834E+12,2022-07-20T13:19:45.280,7.68,0.176,0.98,0.234,
1.65834E+12,2022-07-20T13:19:45.320,7.72,0.164,0.97,0.227,
1.65834E+12,2022-07-20T13:19:45.360,7.76,0.165,0.975,0.224,
1.65834E+12,2022-07-20T13:19:45.400,7.8,0.169,0.974,0.226,
1.65834E+12,2022-07-20T13:19:45.440,7.84,0.166,0.975,0.231,
1.65834E+12,2022-07-20T13:19:45.480,7.88,0.153,0.981,0.232,
1.65834E+12,2022-07-20T13:19:45.520,7.92,0.149,0.985,0.231,
1.65834E+12,2022-07-20T13:19:45.560,7.96,0.144,0.986,0.229,
1.65834E+12,2022-07-20T13:19:45.600,8,0.154,0.979,0.219,
1.65834E+12,2022-07-20T13:19:45.640,8.04,0.175,0.972,0.214,
1.65834E+12,2022-07-20T13:19:45.680,8.08,0.18,0.973,0.217,
1.65834E+12,2022-07-20T13:19:45.720,8.12,0.171,0.976,0.226,
1.65834E+12,2022-07-20T13:19:45.760,8.16,0.174,0.977,0.23,
1.65834E+12,2022-07-20T13:19:45.800,8.2,0.177,0.98,0.235,
1.65834E+12,2022-07-20T13:19:45.840,8.24,0.189,0.975,0.227,
1.65834E+12,2022-07-20T13:19:45.880,8.28,0.195,0.968,0.219,
1.65834E+12,2022-07-20T13:19:45.920,8.32,0.184,0.977,0.215,
1.65834E+12,2022-07-20T13:19:45.960,8.36,0.181,0.989,0.212,
1.65834E+12,2022-07-20T13:19:46.000,8.4,0.18,0.977,0.217,
