epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g),
1.66E+12,2022-07-30T16:17:21.226,7.92,0.305,0.969,-0.065,trial1
1.66E+12,2022-07-30T16:17:21.266,7.96,0.305,0.971,-0.062,
1.66E+12,2022-07-30T16:17:21.306,8,0.304,0.969,-0.06,
1.66E+12,2022-07-30T16:17:21.346,8.04,0.3,0.967,-0.058,
1.66E+12,2022-07-30T16:17:21.386,8.08,0.3,0.966,-0.058,
1.66E+12,2022-07-30T16:17:21.426,8.12,0.304,0.966,-0.06,
1.66E+12,2022-07-30T16:17:21.466,8.16,0.308,0.971,-0.063,
1.66E+12,2022-07-30T16:17:21.506,8.2,0.307,0.969,-0.064,
1.66E+12,2022-07-30T16:17:21.546,8.24,0.304,0.964,-0.059,
1.66E+12,2022-07-30T16:17:21.586,8.28,0.306,0.97,-0.056,
1.66E+12,2022-07-30T16:17:21.626,8.32,0.313,0.97,-0.052,
1.66E+12,2022-07-30T16:17:21.666,8.36,0.318,0.969,-0.058,
1.66E+12,2022-07-30T16:17:21.706,8.4,0.316,0.968,-0.059,
1.66E+12,2022-07-30T16:17:21.746,8.44,0.311,0.967,-0.059,
1.66E+12,2022-07-30T16:17:21.786,8.48,0.313,0.966,-0.057,
1.66E+12,2022-07-30T16:17:21.826,8.52,0.314,0.968,-0.055,
1.66E+12,2022-07-30T16:17:21.866,8.56,0.316,0.967,-0.053,
1.66E+12,2022-07-30T16:17:21.906,8.6,0.317,0.966,-0.05,
1.66E+12,2022-07-30T16:17:21.946,8.64,0.313,0.967,-0.048,
1.66E+12,2022-07-30T16:17:21.986,8.68,0.316,0.966,-0.051,
1.66E+12,2022-07-30T16:17:22.026,8.72,0.318,0.971,-0.049,
1.66E+12,2022-07-30T16:17:22.066,8.76,0.321,0.967,-0.046,
1.66E+12,2022-07-30T16:17:22.106,8.8,0.323,0.963,-0.042,
1.66E+12,2022-07-30T16:17:22.146,8.84,0.323,0.964,-0.043,
1.66E+12,2022-07-30T16:17:22.186,8.88,0.321,0.965,-0.044,
1.66E+12,2022-07-30T16:17:22.226,8.92,0.317,0.968,-0.046,
1.66E+12,2022-07-30T16:17:22.266,8.96,0.309,0.969,-0.052,
1.66E+12,2022-07-30T16:17:22.306,9,0.312,0.969,-0.053,
1.66E+12,2022-07-30T16:17:22.346,9.04,0.318,0.965,-0.056,
1.66E+12,2022-07-30T16:17:22.386,9.08,0.321,0.959,-0.067,
1.66E+12,2022-07-30T16:17:22.426,9.12,0.319,0.957,-0.08,
1.66E+12,2022-07-30T16:17:22.466,9.16,0.316,0.946,-0.092,
1.66E+12,2022-07-30T16:17:22.506,9.2,0.313,0.947,-0.11,
1.66E+12,2022-07-30T16:17:22.546,9.24,0.314,0.962,-0.119,
1.66E+12,2022-07-30T16:17:22.586,9.28,0.311,0.974,-0.123,
1.66E+12,2022-07-30T16:17:22.626,9.32,0.318,0.99,-0.128,
1.66E+12,2022-07-30T16:17:22.666,9.36,0.321,0.995,-0.127,
1.66E+12,2022-07-30T16:17:22.706,9.4,0.328,0.977,-0.112,
1.66E+12,2022-07-30T16:17:22.746,9.44,0.338,0.978,-0.107,
1.66E+12,2022-07-30T16:17:22.786,9.48,0.338,0.988,-0.105,
1.66E+12,2022-07-30T16:17:22.826,9.52,0.343,1.019,-0.113,
1.66E+12,2022-07-30T16:17:22.866,9.56,0.333,1.034,-0.132,
1.66E+12,2022-07-30T16:17:22.906,9.6,0.321,1.001,-0.116,
1.66E+12,2022-07-30T16:17:22.946,9.64,0.318,0.953,-0.093,
1.66E+12,2022-07-30T16:17:22.986,9.68,0.314,0.933,-0.064,
1.66E+12,2022-07-30T16:17:23.026,9.72,0.242,0.909,0.01,
1.66E+12,2022-07-30T16:17:23.066,9.76,0.145,0.976,0.158,
1.66E+12,2022-07-30T16:17:23.106,9.8,0.191,1.081,0.205,
1.66E+12,2022-07-30T16:17:23.146,9.84,0.314,1.034,0.131,
1.66E+12,2022-07-30T16:17:23.186,9.88,0.313,0.928,0.065,
1.66E+12,2022-07-30T16:17:23.226,9.92,0.304,0.866,0.043,
1.66E+12,2022-07-30T16:17:23.266,9.96,0.307,0.857,0.06,
1.66E+12,2022-07-30T16:17:23.306,10,0.314,0.876,0.08,
