epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g),
1.65921E+12,2022-07-30T16:01:01.555,9.32,0.366,0.948,-0.1,trial1
1.65921E+12,2022-07-30T16:01:01.595,9.36,0.36,0.947,-0.1,
1.65921E+12,2022-07-30T16:01:01.635,9.4,0.364,0.945,-0.105,
1.65921E+12,2022-07-30T16:01:01.675,9.44,0.365,0.948,-0.107,
1.65921E+12,2022-07-30T16:01:01.715,9.48,0.361,0.947,-0.106,
1.65921E+12,2022-07-30T16:01:01.755,9.52,0.363,0.945,-0.106,
1.65921E+12,2022-07-30T16:01:01.795,9.56,0.363,0.947,-0.109,
1.65921E+12,2022-07-30T16:01:01.835,9.6,0.36,0.945,-0.107,
1.65921E+12,2022-07-30T16:01:01.875,9.64,0.359,0.946,-0.107,
1.65921E+12,2022-07-30T16:01:01.915,9.68,0.363,0.946,-0.107,
1.65921E+12,2022-07-30T16:01:01.955,9.72,0.364,0.945,-0.104,
1.65921E+12,2022-07-30T16:01:01.995,9.76,0.365,0.948,-0.106,
1.65921E+12,2022-07-30T16:01:02.035,9.8,0.363,0.945,-0.106,
1.65921E+12,2022-07-30T16:01:02.075,9.84,0.361,0.948,-0.106,
1.65921E+12,2022-07-30T16:01:02.115,9.88,0.365,0.949,-0.107,
1.65921E+12,2022-07-30T16:01:02.155,9.92,0.366,0.946,-0.105,
1.65921E+12,2022-07-30T16:01:02.195,9.96,0.364,0.947,-0.104,
1.65921E+12,2022-07-30T16:01:02.235,10,0.357,0.948,-0.103,
1.65921E+12,2022-07-30T16:01:02.275,10.04,0.359,0.947,-0.107,
1.65921E+12,2022-07-30T16:01:02.315,10.08,0.362,0.943,-0.104,
1.65921E+12,2022-07-30T16:01:02.355,10.12,0.367,0.947,-0.106,
1.65921E+12,2022-07-30T16:01:02.395,10.16,0.363,0.946,-0.104,
1.65921E+12,2022-07-30T16:01:02.435,10.2,0.362,0.944,-0.098,
1.65921E+12,2022-07-30T16:01:02.475,10.24,0.367,0.944,-0.099,
1.65921E+12,2022-07-30T16:01:02.515,10.28,0.363,0.946,-0.101,
1.65921E+12,2022-07-30T16:01:02.555,10.32,0.362,0.943,-0.1,
1.65921E+12,2022-07-30T16:01:02.595,10.36,0.365,0.943,-0.1,
1.65921E+12,2022-07-30T16:01:02.635,10.4,0.366,0.942,-0.101,
1.65921E+12,2022-07-30T16:01:02.675,10.44,0.368,0.936,-0.1,
1.65921E+12,2022-07-30T16:01:02.715,10.48,0.366,0.934,-0.099,
1.65921E+12,2022-07-30T16:01:02.755,10.52,0.362,0.931,-0.105,
1.65921E+12,2022-07-30T16:01:02.795,10.56,0.364,0.933,-0.116,
1.65921E+12,2022-07-30T16:01:02.835,10.6,0.375,0.921,-0.116,
1.65921E+12,2022-07-30T16:01:02.875,10.64,0.386,0.908,-0.12,
1.65921E+12,2022-07-30T16:01:02.915,10.68,0.377,0.898,-0.12,
1.65921E+12,2022-07-30T16:01:02.955,10.72,0.376,0.904,-0.121,
1.65921E+12,2022-07-30T16:01:02.995,10.76,0.39,0.922,-0.123,
1.65921E+12,2022-07-30T16:01:03.035,10.8,0.402,0.96,-0.125,
