epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g),
1.65922E+12,2022-07-30T16:09:11.592,8.72,0.363,0.953,-0.074,trial1
1.65922E+12,2022-07-30T16:09:11.632,8.76,0.367,0.95,-0.077,
1.65922E+12,2022-07-30T16:09:11.672,8.8,0.37,0.953,-0.075,
1.65922E+12,2022-07-30T16:09:11.712,8.84,0.367,0.953,-0.075,
1.65922E+12,2022-07-30T16:09:11.752,8.88,0.365,0.953,-0.077,
1.65922E+12,2022-07-30T16:09:11.792,8.92,0.368,0.953,-0.074,
1.65922E+12,2022-07-30T16:09:11.832,8.96,0.366,0.955,-0.072,
1.65922E+12,2022-07-30T16:09:11.872,9,0.367,0.958,-0.066,
1.65922E+12,2022-07-30T16:09:11.912,9.04,0.367,0.957,-0.067,
1.65922E+12,2022-07-30T16:09:11.952,9.08,0.32,0.937,-0.09,
1.65922E+12,2022-07-30T16:09:11.992,9.12,0.297,0.941,-0.091,
1.65922E+12,2022-07-30T16:09:12.032,9.16,0.28,0.928,-0.108,
1.65922E+12,2022-07-30T16:09:12.072,9.2,0.29,0.963,-0.128,
1.65922E+12,2022-07-30T16:09:12.112,9.24,0.364,0.973,-0.084,
1.65922E+12,2022-07-30T16:09:12.152,9.28,0.43,0.945,-0.055,
1.65922E+12,2022-07-30T16:09:12.192,9.32,0.443,0.947,-0.04,
1.65922E+12,2022-07-30T16:09:12.232,9.36,0.414,0.957,-0.038,
1.65922E+12,2022-07-30T16:09:12.272,9.4,0.389,0.957,-0.075,
1.65922E+12,2022-07-30T16:09:12.312,9.44,0.362,0.952,-0.094,
1.65922E+12,2022-07-30T16:09:12.352,9.48,0.352,0.953,-0.095,
1.65922E+12,2022-07-30T16:09:12.392,9.52,0.349,0.949,-0.094,
1.65922E+12,2022-07-30T16:09:12.432,9.56,0.343,0.951,-0.095,
1.65922E+12,2022-07-30T16:09:12.472,9.6,0.335,0.952,-0.099,
1.65922E+12,2022-07-30T16:09:12.512,9.64,0.319,0.957,-0.102,
1.65922E+12,2022-07-30T16:09:12.552,9.68,0.32,0.96,-0.1,
1.65922E+12,2022-07-30T16:09:12.592,9.72,0.327,0.97,-0.094,
1.65922E+12,2022-07-30T16:09:12.632,9.76,0.336,0.97,-0.083,
1.65922E+12,2022-07-30T16:09:12.672,9.8,0.348,0.961,-0.071,
1.65922E+12,2022-07-30T16:09:12.712,9.84,0.352,0.958,-0.067,
1.65922E+12,2022-07-30T16:09:12.752,9.88,0.345,0.958,-0.07,
1.65922E+12,2022-07-30T16:09:12.792,9.92,0.337,0.962,-0.078,
1.65922E+12,2022-07-30T16:09:12.832,9.96,0.329,0.961,-0.084,
1.65922E+12,2022-07-30T16:09:12.872,10,0.32,0.962,-0.089,
1.65922E+12,2022-07-30T16:09:12.912,10.04,0.319,0.963,-0.088,
1.65922E+12,2022-07-30T16:09:12.952,10.08,0.315,0.963,-0.089,
1.65922E+12,2022-07-30T16:09:12.992,10.12,0.308,0.966,-0.085,
1.65922E+12,2022-07-30T16:09:13.032,10.16,0.311,0.972,-0.082,
1.65922E+12,2022-07-30T16:09:13.072,10.2,0.317,0.973,-0.081,
1.65922E+12,2022-07-30T16:09:13.112,10.24,0.316,0.971,-0.076,
1.65922E+12,2022-07-30T16:09:13.152,10.28,0.304,0.97,-0.071,
1.65922E+12,2022-07-30T16:09:13.192,10.32,0.301,0.973,-0.07,
1.65922E+12,2022-07-30T16:09:13.232,10.36,0.301,0.976,-0.07,
1.65922E+12,2022-07-30T16:09:13.272,10.4,0.299,0.982,-0.067,
1.65922E+12,2022-07-30T16:09:13.312,10.44,0.303,0.98,-0.067,
1.65922E+12,2022-07-30T16:09:13.352,10.48,0.306,0.975,-0.062,
1.65922E+12,2022-07-30T16:09:13.392,10.52,0.301,0.975,-0.055,
1.65922E+12,2022-07-30T16:09:13.432,10.56,0.295,0.978,-0.052,
1.65922E+12,2022-07-30T16:09:13.472,10.6,0.296,0.976,-0.049,
