epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g),
1.65921E+12,2022-07-30T15:42:05.495,8.32,0.302,0.938,-0.212,trial1
1.65921E+12,2022-07-30T15:42:05.535,8.36,0.301,0.944,-0.213,
1.65921E+12,2022-07-30T15:42:05.575,8.4,0.302,0.947,-0.217,
1.65921E+12,2022-07-30T15:42:05.615,8.44,0.308,0.94,-0.217,
1.65921E+12,2022-07-30T15:42:05.655,8.48,0.31,0.943,-0.213,
1.65921E+12,2022-07-30T15:42:05.695,8.52,0.304,0.944,-0.215,
1.65921E+12,2022-07-30T15:42:05.735,8.56,0.301,0.949,-0.215,
1.65921E+12,2022-07-30T15:42:05.775,8.6,0.295,0.951,-0.213,
1.65921E+12,2022-07-30T15:42:05.815,8.64,0.296,0.944,-0.212,
1.65921E+12,2022-07-30T15:42:05.855,8.68,0.299,0.944,-0.213,
1.65921E+12,2022-07-30T15:42:05.895,8.72,0.309,0.944,-0.212,
1.65921E+12,2022-07-30T15:42:05.935,8.76,0.31,0.94,-0.21,
1.65921E+12,2022-07-30T15:42:05.975,8.8,0.303,0.942,-0.212,
1.65921E+12,2022-07-30T15:42:06.015,8.84,0.301,0.944,-0.211,
1.65921E+12,2022-07-30T15:42:06.055,8.88,0.299,0.944,-0.212,
1.65921E+12,2022-07-30T15:42:06.095,8.92,0.303,0.94,-0.215,
1.65921E+12,2022-07-30T15:42:06.135,8.96,0.306,0.94,-0.214,
1.65921E+12,2022-07-30T15:42:06.175,9,0.302,0.946,-0.209,
1.65921E+12,2022-07-30T15:42:06.215,9.04,0.301,0.941,-0.213,
1.65921E+12,2022-07-30T15:42:06.255,9.08,0.302,0.942,-0.216,
1.65921E+12,2022-07-30T15:42:06.295,9.12,0.3,0.944,-0.216,
1.65921E+12,2022-07-30T15:42:06.335,9.16,0.299,0.944,-0.218,
1.65921E+12,2022-07-30T15:42:06.375,9.2,0.3,0.942,-0.217,
1.65921E+12,2022-07-30T15:42:06.415,9.24,0.301,0.944,-0.217,
1.65921E+12,2022-07-30T15:42:06.455,9.28,0.301,0.944,-0.219,
1.65921E+12,2022-07-30T15:42:06.495,9.32,0.301,0.943,-0.217,
1.65921E+12,2022-07-30T15:42:06.535,9.36,0.302,0.945,-0.217,
1.65921E+12,2022-07-30T15:42:06.575,9.4,0.303,0.941,-0.218,
1.65921E+12,2022-07-30T15:42:06.615,9.44,0.301,0.945,-0.215,
1.65921E+12,2022-07-30T15:42:06.655,9.48,0.303,0.944,-0.217,
1.65921E+12,2022-07-30T15:42:06.695,9.52,0.305,0.948,-0.219,
1.65921E+12,2022-07-30T15:42:06.735,9.56,0.304,0.942,-0.217,
1.65921E+12,2022-07-30T15:42:06.775,9.6,0.296,0.944,-0.214,
1.65921E+12,2022-07-30T15:42:06.815,9.64,0.297,0.946,-0.213,
1.65921E+12,2022-07-30T15:42:06.855,9.68,0.297,0.946,-0.216,
1.65921E+12,2022-07-30T15:42:06.895,9.72,0.3,0.942,-0.218,
1.65921E+12,2022-07-30T15:42:06.935,9.76,0.301,0.944,-0.214,
1.65921E+12,2022-07-30T15:42:06.975,9.8,0.297,0.945,-0.214,
1.65921E+12,2022-07-30T15:42:07.015,9.84,0.296,0.943,-0.211,
1.65921E+12,2022-07-30T15:42:07.055,9.88,0.3,0.946,-0.213,
1.65921E+12,2022-07-30T15:42:07.095,9.92,0.3,0.944,-0.215,
1.65921E+12,2022-07-30T15:42:07.135,9.96,0.301,0.944,-0.215,
1.65921E+12,2022-07-30T15:42:07.175,10,0.301,0.945,-0.212,
1.65921E+12,2022-07-30T15:42:07.215,10.04,0.302,0.945,-0.211,
1.65921E+12,2022-07-30T15:42:07.255,10.08,0.304,0.943,-0.214,
1.65921E+12,2022-07-30T15:42:07.295,10.12,0.302,0.942,-0.212,
1.65921E+12,2022-07-30T15:42:07.335,10.16,0.311,0.937,-0.207,
1.65921E+12,2022-07-30T15:42:07.375,10.2,0.312,0.939,-0.205,
1.65921E+12,2022-07-30T15:42:07.415,10.24,0.318,0.938,-0.199,
1.65921E+12,2022-07-30T15:42:07.455,10.28,0.341,0.921,-0.18,
1.65921E+12,2022-07-30T15:42:07.495,10.32,0.378,0.916,-0.178,
1.65921E+12,2022-07-30T15:42:07.535,10.36,0.423,0.938,-0.19,
1.65921E+12,2022-07-30T15:42:07.575,10.4,0.393,0.925,-0.189,
1.65921E+12,2022-07-30T15:42:07.615,10.44,0.385,0.912,-0.197,
1.65921E+12,2022-07-30T15:42:07.655,10.48,0.367,0.91,-0.211,
1.65921E+12,2022-07-30T15:42:07.695,10.52,0.314,0.914,-0.216,
1.65921E+12,2022-07-30T15:42:07.735,10.56,0.296,0.922,-0.189,
1.65921E+12,2022-07-30T15:42:07.775,10.6,0.327,0.926,-0.185,
1.65921E+12,2022-07-30T15:42:07.815,10.64,0.355,0.921,-0.195,
1.65921E+12,2022-07-30T15:42:07.855,10.68,0.371,0.927,-0.181,
1.65921E+12,2022-07-30T15:42:07.895,10.72,0.387,0.919,-0.157,
1.65921E+12,2022-07-30T15:42:07.935,10.76,0.393,0.905,-0.139,
1.65921E+12,2022-07-30T15:42:07.975,10.8,0.402,0.894,-0.121,
1.65921E+12,2022-07-30T15:42:08.015,10.84,0.418,0.895,-0.116,
1.65921E+12,2022-07-30T15:42:08.055,10.88,0.428,0.918,-0.136,
1.65921E+12,2022-07-30T15:42:08.095,10.92,0.435,0.958,-0.164,
1.65921E+12,2022-07-30T15:42:08.135,10.96,0.443,0.972,-0.162,
1.65921E+12,2022-07-30T15:42:08.175,11,0.454,0.948,-0.151,
1.65921E+12,2022-07-30T15:42:08.215,11.04,0.459,0.929,-0.145,
1.65921E+12,2022-07-30T15:42:08.255,11.08,0.459,0.914,-0.114,
1.65921E+12,2022-07-30T15:42:08.295,11.12,0.466,0.927,-0.102,
1.65921E+12,2022-07-30T15:42:08.335,11.16,0.482,0.949,-0.104,
1.65921E+12,2022-07-30T15:42:08.375,11.2,0.49,0.939,-0.104,
1.65921E+12,2022-07-30T15:42:08.415,11.24,0.486,0.936,-0.107,
1.65921E+12,2022-07-30T15:42:08.455,11.28,0.471,0.924,-0.1,
1.65921E+12,2022-07-30T15:42:08.495,11.32,0.473,0.917,-0.102,
1.65921E+12,2022-07-30T15:42:08.535,11.36,0.494,0.924,-0.096,
1.65921E+12,2022-07-30T15:42:08.575,11.4,0.476,0.929,-0.089,
1.65921E+12,2022-07-30T15:42:08.615,11.44,0.468,0.92,-0.09,
1.65921E+12,2022-07-30T15:42:08.655,11.48,0.49,0.912,-0.087,
1.65921E+12,2022-07-30T15:42:08.695,11.52,0.507,0.897,-0.079,
1.65921E+12,2022-07-30T15:42:08.735,11.56,0.54,0.894,-0.076,
1.65921E+12,2022-07-30T15:42:08.775,11.6,0.6,0.899,-0.054,
1.65921E+12,2022-07-30T15:42:08.815,11.64,0.683,0.914,-0.083,
1.65921E+12,2022-07-30T15:42:08.855,11.68,0.788,0.96,-0.089,
1.65921E+12,2022-07-30T15:42:08.895,11.72,0.857,0.921,-0.079,
1.65921E+12,2022-07-30T15:42:08.935,11.76,0.949,0.88,-0.099,
