epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g),
1.65842E+12,2022-07-21T11:42:06.355,6.72,0.339,0.956,-0.099,trial1
1.65842E+12,2022-07-21T11:42:06.395,6.76,0.338,0.954,-0.099,
1.65842E+12,2022-07-21T11:42:06.435,6.8,0.332,0.954,-0.101,
1.65842E+12,2022-07-21T11:42:06.475,6.84,0.322,0.96,-0.105,
1.65842E+12,2022-07-21T11:42:06.515,6.88,0.325,0.955,-0.103,
1.65842E+12,2022-07-21T11:42:06.555,6.92,0.332,0.952,-0.098,
1.65842E+12,2022-07-21T11:42:06.595,6.96,0.329,0.957,-0.102,
1.65842E+12,2022-07-21T11:42:06.635,7,0.332,0.955,-0.106,
1.65842E+12,2022-07-21T11:42:06.675,7.04,0.325,0.952,-0.105,
1.65842E+12,2022-07-21T11:42:06.715,7.08,0.32,0.957,-0.105,
1.65842E+12,2022-07-21T11:42:06.755,7.12,0.331,0.961,-0.107,
1.65842E+12,2022-07-21T11:42:06.795,7.16,0.328,0.955,-0.101,
1.65842E+12,2022-07-21T11:42:06.835,7.2,0.329,0.954,-0.102,
1.65842E+12,2022-07-21T11:42:06.875,7.24,0.333,0.96,-0.107,
1.65842E+12,2022-07-21T11:42:06.915,7.28,0.333,0.959,-0.105,
1.65842E+12,2022-07-21T11:42:06.955,7.32,0.332,0.954,-0.103,
1.65842E+12,2022-07-21T11:42:06.995,7.36,0.333,0.955,-0.105,
1.65842E+12,2022-07-21T11:42:07.035,7.4,0.336,0.957,-0.108,
1.65842E+12,2022-07-21T11:42:07.075,7.44,0.331,0.957,-0.107,
1.65842E+12,2022-07-21T11:42:07.115,7.48,0.328,0.957,-0.108,
1.65842E+12,2022-07-21T11:42:07.155,7.52,0.334,0.961,-0.104,
1.65842E+12,2022-07-21T11:42:07.195,7.56,0.332,0.954,-0.102,
1.65842E+12,2022-07-21T11:42:07.235,7.6,0.324,0.957,-0.108,
1.65842E+12,2022-07-21T11:42:07.275,7.64,0.334,0.962,-0.116,
1.65842E+12,2022-07-21T11:42:07.315,7.68,0.336,0.951,-0.104,
1.65842E+12,2022-07-21T11:42:07.355,7.72,0.328,0.954,-0.099,
1.65842E+12,2022-07-21T11:42:07.395,7.76,0.331,0.96,-0.104,
1.65842E+12,2022-07-21T11:42:07.435,7.8,0.331,0.959,-0.108,
1.65842E+12,2022-07-21T11:42:07.475,7.84,0.328,0.949,-0.108,
1.65842E+12,2022-07-21T11:42:07.515,7.88,0.339,0.957,-0.106,
1.65842E+12,2022-07-21T11:42:07.555,7.92,0.333,0.956,-0.101,
1.65842E+12,2022-07-21T11:42:07.595,7.96,0.326,0.955,-0.098,
1.65842E+12,2022-07-21T11:42:07.635,8,0.339,0.957,-0.105,
1.65842E+12,2022-07-21T11:42:07.675,8.04,0.339,0.954,-0.11,
1.65842E+12,2022-07-21T11:42:07.715,8.08,0.338,0.955,-0.103,
1.65842E+12,2022-07-21T11:42:07.755,8.12,0.334,0.954,-0.1,
1.65842E+12,2022-07-21T11:42:07.795,8.16,0.331,0.957,-0.098,
1.65842E+12,2022-07-21T11:42:07.835,8.2,0.335,0.957,-0.099,
1.65842E+12,2022-07-21T11:42:07.875,8.24,0.336,0.952,-0.104,
1.65842E+12,2022-07-21T11:42:07.915,8.28,0.337,0.951,-0.103,
1.65842E+12,2022-07-21T11:42:07.955,8.32,0.347,0.955,-0.102,
1.65842E+12,2022-07-21T11:42:07.995,8.36,0.34,0.957,-0.102,
