epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g),
1.65842E+12,2022-07-21T12:15:11.753,8.32,0.218,0.987,-0.095,trial1
1.65842E+12,2022-07-21T12:15:11.793,8.36,0.219,0.989,-0.093,
1.65842E+12,2022-07-21T12:15:11.833,8.4,0.221,0.985,-0.092,
1.65842E+12,2022-07-21T12:15:11.873,8.44,0.223,0.985,-0.089,
1.65842E+12,2022-07-21T12:15:11.913,8.48,0.22,0.985,-0.091,
1.65842E+12,2022-07-21T12:15:11.953,8.52,0.221,0.992,-0.097,
1.65842E+12,2022-07-21T12:15:11.993,8.56,0.223,0.989,-0.094,
1.65842E+12,2022-07-21T12:15:12.033,8.6,0.216,0.98,-0.086,
1.65842E+12,2022-07-21T12:15:12.073,8.64,0.216,0.986,-0.089,
1.65842E+12,2022-07-21T12:15:12.113,8.68,0.227,0.992,-0.095,
1.65842E+12,2022-07-21T12:15:12.153,8.72,0.226,0.981,-0.09,
1.65842E+12,2022-07-21T12:15:12.193,8.76,0.226,0.986,-0.086,
1.65842E+12,2022-07-21T12:15:12.233,8.8,0.233,0.989,-0.086,
1.65842E+12,2022-07-21T12:15:12.273,8.84,0.219,0.986,-0.088,
1.65842E+12,2022-07-21T12:15:12.313,8.88,0.22,0.985,-0.09,
1.65842E+12,2022-07-21T12:15:12.353,8.92,0.223,0.989,-0.094,
1.65842E+12,2022-07-21T12:15:12.393,8.96,0.232,0.984,-0.088,
1.65842E+12,2022-07-21T12:15:12.433,9,0.231,0.982,-0.086,
1.65842E+12,2022-07-21T12:15:12.473,9.04,0.218,0.988,-0.089,
1.65842E+12,2022-07-21T12:15:12.513,9.08,0.222,0.986,-0.09,
1.65842E+12,2022-07-21T12:15:12.553,9.12,0.225,0.983,-0.091,
1.65842E+12,2022-07-21T12:15:12.593,9.16,0.224,0.982,-0.092,
1.65842E+12,2022-07-21T12:15:12.633,9.2,0.226,0.984,-0.088,
1.65842E+12,2022-07-21T12:15:12.673,9.24,0.228,0.993,-0.089,
1.65842E+12,2022-07-21T12:15:12.713,9.28,0.23,0.986,-0.086,
1.65842E+12,2022-07-21T12:15:12.753,9.32,0.229,0.98,-0.083,
1.65842E+12,2022-07-21T12:15:12.793,9.36,0.225,0.985,-0.09,
1.65842E+12,2022-07-21T12:15:12.833,9.4,0.227,0.988,-0.094,
1.65842E+12,2022-07-21T12:15:12.873,9.44,0.23,0.978,-0.091,
1.65842E+12,2022-07-21T12:15:12.913,9.48,0.229,0.986,-0.087,
1.65842E+12,2022-07-21T12:15:12.953,9.52,0.234,0.986,-0.086,
1.65842E+12,2022-07-21T12:15:12.993,9.56,0.23,0.986,-0.085,
1.65842E+12,2022-07-21T12:15:13.033,9.6,0.228,0.989,-0.086,
1.65842E+12,2022-07-21T12:15:13.073,9.64,0.227,0.987,-0.09,
1.65842E+12,2022-07-21T12:15:13.113,9.68,0.225,0.982,-0.09,
1.65842E+12,2022-07-21T12:15:13.153,9.72,0.221,0.98,-0.097,
1.65842E+12,2022-07-21T12:15:13.193,9.76,0.226,0.987,-0.098,
1.65842E+12,2022-07-21T12:15:13.233,9.8,0.228,0.988,-0.089,
1.65842E+12,2022-07-21T12:15:13.273,9.84,0.225,0.984,-0.084,
1.65842E+12,2022-07-21T12:15:13.313,9.88,0.232,0.985,-0.087,
