epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g),
1.65842E+12,2022-07-21T11:52:28.872,8.64,0.44,0.913,-0.086,trial1
1.65842E+12,2022-07-21T11:52:28.912,8.68,0.438,0.917,-0.08,
1.65842E+12,2022-07-21T11:52:28.952,8.72,0.443,0.919,-0.087,
1.65842E+12,2022-07-21T11:52:28.992,8.76,0.435,0.916,-0.096,
1.65842E+12,2022-07-21T11:52:29.032,8.8,0.444,0.92,-0.089,
1.65842E+12,2022-07-21T11:52:29.072,8.84,0.436,0.919,-0.087,
1.65842E+12,2022-07-21T11:52:29.112,8.88,0.424,0.923,-0.087,
1.65842E+12,2022-07-21T11:52:29.152,8.92,0.435,0.923,-0.093,
1.65842E+12,2022-07-21T11:52:29.192,8.96,0.437,0.921,-0.094,
1.65842E+12,2022-07-21T11:52:29.232,9,0.432,0.916,-0.093,
1.65842E+12,2022-07-21T11:52:29.272,9.04,0.432,0.918,-0.088,
1.65842E+12,2022-07-21T11:52:29.312,9.08,0.437,0.918,-0.081,
1.65842E+12,2022-07-21T11:52:29.352,9.12,0.441,0.921,-0.086,
1.65842E+12,2022-07-21T11:52:29.392,9.16,0.44,0.92,-0.088,
1.65842E+12,2022-07-21T11:52:29.432,9.2,0.435,0.919,-0.089,
1.65842E+12,2022-07-21T11:52:29.472,9.24,0.43,0.925,-0.088,
1.65842E+12,2022-07-21T11:52:29.512,9.28,0.425,0.922,-0.086,
1.65842E+12,2022-07-21T11:52:29.552,9.32,0.429,0.926,-0.099,
1.65842E+12,2022-07-21T11:52:29.592,9.36,0.433,0.922,-0.096,
1.65842E+12,2022-07-21T11:52:29.632,9.4,0.43,0.93,-0.086,
1.65842E+12,2022-07-21T11:52:29.672,9.44,0.44,0.918,-0.071,
1.65842E+12,2022-07-21T11:52:29.712,9.48,0.435,0.902,-0.082,
1.65842E+12,2022-07-21T11:52:29.752,9.52,0.438,0.912,-0.099,
1.65842E+12,2022-07-21T11:52:29.792,9.56,0.433,0.919,-0.096,
1.65842E+12,2022-07-21T11:52:29.832,9.6,0.431,0.921,-0.084,
1.65842E+12,2022-07-21T11:52:29.872,9.64,0.438,0.925,-0.078,
1.65842E+12,2022-07-21T11:52:29.912,9.68,0.448,0.919,-0.077,
1.65842E+12,2022-07-21T11:52:29.952,9.72,0.451,0.916,-0.085,
1.65842E+12,2022-07-21T11:52:29.992,9.76,0.447,0.917,-0.089,
1.65842E+12,2022-07-21T11:52:30.032,9.8,0.437,0.917,-0.087,
1.65842E+12,2022-07-21T11:52:30.072,9.84,0.436,0.92,-0.087,
1.65842E+12,2022-07-21T11:52:30.112,9.88,0.44,0.92,-0.083,
1.65842E+12,2022-07-21T11:52:30.152,9.92,0.449,0.918,-0.084,
1.65842E+12,2022-07-21T11:52:30.192,9.96,0.447,0.914,-0.084,
1.65842E+12,2022-07-21T11:52:30.232,10,0.442,0.915,-0.083,
1.65842E+12,2022-07-21T11:52:30.272,10.04,0.44,0.922,-0.093,
1.65842E+12,2022-07-21T11:52:30.312,10.08,0.439,0.918,-0.091,
1.65842E+12,2022-07-21T11:52:30.352,10.12,0.435,0.913,-0.084,
1.65842E+12,2022-07-21T11:52:30.392,10.16,0.443,0.916,-0.086,
1.65842E+12,2022-07-21T11:52:30.432,10.2,0.447,0.915,-0.09,
1.65842E+12,2022-07-21T11:52:30.472,10.24,0.435,0.917,-0.088,
1.65842E+12,2022-07-21T11:52:30.512,10.28,0.426,0.93,-0.087,
1.65842E+12,2022-07-21T11:52:30.552,10.32,0.431,0.929,-0.091,
1.65842E+12,2022-07-21T11:52:30.592,10.36,0.436,0.918,-0.08,
1.65842E+12,2022-07-21T11:52:30.632,10.4,0.443,0.917,-0.084,
1.65842E+12,2022-07-21T11:52:30.672,10.44,0.458,0.917,-0.088,
1.65842E+12,2022-07-21T11:52:30.712,10.48,0.44,0.919,-0.078,
1.65842E+12,2022-07-21T11:52:30.752,10.52,0.432,0.915,-0.078,
1.65842E+12,2022-07-21T11:52:30.792,10.56,0.418,0.92,-0.093,
1.65842E+12,2022-07-21T11:52:30.832,10.6,0.411,0.926,-0.096,
1.65842E+12,2022-07-21T11:52:30.872,10.64,0.414,0.897,-0.109,
1.65842E+12,2022-07-21T11:52:30.912,10.68,0.405,0.883,-0.126,
1.65842E+12,2022-07-21T11:52:30.952,10.72,0.386,0.854,-0.111,
1.65842E+12,2022-07-21T11:52:30.992,10.76,0.362,0.778,-0.102,
1.65842E+12,2022-07-21T11:52:31.032,10.8,0.411,0.824,-0.126,
1.65842E+12,2022-07-21T11:52:31.072,10.84,0.463,0.976,-0.174,
1.65842E+12,2022-07-21T11:52:31.112,10.88,0.482,1.004,-0.196,
1.65842E+12,2022-07-21T11:52:31.152,10.92,0.487,0.914,-0.158,
1.65842E+12,2022-07-21T11:52:31.192,10.96,0.484,0.863,-0.143,
1.65842E+12,2022-07-21T11:52:31.232,11,0.477,0.841,-0.103,
1.65842E+12,2022-07-21T11:52:31.272,11.04,0.512,0.81,-0.087,
1.65842E+12,2022-07-21T11:52:31.312,11.08,0.581,0.792,-0.077,
1.65842E+12,2022-07-21T11:52:31.352,11.12,0.608,0.722,-0.031,
1.65842E+12,2022-07-21T11:52:31.392,11.16,0.649,0.616,-0.039,
1.65842E+12,2022-07-21T11:52:31.432,11.2,0.699,0.61,-0.019,
1.65842E+12,2022-07-21T11:52:31.472,11.24,0.693,0.488,-0.048,
1.65842E+12,2022-07-21T11:52:31.512,11.28,0.708,0.316,-0.026,
1.65842E+12,2022-07-21T11:52:31.552,11.32,0.679,0.324,-0.034,
1.65842E+12,2022-07-21T11:52:31.592,11.36,0.814,0.249,-0.156,
