epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g),
1.65842E+12,2022-07-21T12:01:07.656,7.92,0.247,0.991,0.052,trial1
1.65842E+12,2022-07-21T12:01:07.696,7.96,0.243,0.984,0.055,
1.65842E+12,2022-07-21T12:01:07.736,8,0.238,0.986,0.054,
1.65842E+12,2022-07-21T12:01:07.776,8.04,0.242,0.988,0.048,
1.65842E+12,2022-07-21T12:01:07.816,8.08,0.243,0.99,0.048,
1.65842E+12,2022-07-21T12:01:07.856,8.12,0.24,0.984,0.051,
1.65842E+12,2022-07-21T12:01:07.896,8.16,0.241,0.986,0.052,
1.65842E+12,2022-07-21T12:01:07.936,8.2,0.245,0.991,0.051,
1.65842E+12,2022-07-21T12:01:07.976,8.24,0.244,0.985,0.051,
1.65842E+12,2022-07-21T12:01:08.016,8.28,0.245,0.986,0.05,
1.65842E+12,2022-07-21T12:01:08.056,8.32,0.248,0.984,0.051,
1.65842E+12,2022-07-21T12:01:08.096,8.36,0.244,0.988,0.052,
1.65842E+12,2022-07-21T12:01:08.136,8.4,0.238,0.986,0.057,
1.65842E+12,2022-07-21T12:01:08.176,8.44,0.244,0.987,0.054,
1.65842E+12,2022-07-21T12:01:08.216,8.48,0.25,0.996,0.046,
1.65842E+12,2022-07-21T12:01:08.256,8.52,0.252,0.98,0.054,
1.65842E+12,2022-07-21T12:01:08.296,8.56,0.248,0.977,0.057,
1.65842E+12,2022-07-21T12:01:08.336,8.6,0.246,0.987,0.052,
1.65842E+12,2022-07-21T12:01:08.376,8.64,0.246,0.991,0.047,
1.65842E+12,2022-07-21T12:01:08.416,8.68,0.249,0.979,0.051,
1.65842E+12,2022-07-21T12:01:08.456,8.72,0.252,0.987,0.051,
1.65842E+12,2022-07-21T12:01:08.496,8.76,0.258,0.989,0.057,
1.65842E+12,2022-07-21T12:01:08.536,8.8,0.252,0.981,0.062,
1.65842E+12,2022-07-21T12:01:08.576,8.84,0.251,0.984,0.057,
1.65842E+12,2022-07-21T12:01:08.616,8.88,0.247,0.988,0.049,
1.65842E+12,2022-07-21T12:01:08.656,8.92,0.24,0.982,0.048,
1.65842E+12,2022-07-21T12:01:08.696,8.96,0.238,0.983,0.053,
1.65842E+12,2022-07-21T12:01:08.736,9,0.246,0.99,0.056,
1.65842E+12,2022-07-21T12:01:08.776,9.04,0.248,0.989,0.05,
1.65842E+12,2022-07-21T12:01:08.816,9.08,0.248,0.988,0.04,
1.65842E+12,2022-07-21T12:01:08.856,9.12,0.238,0.996,0.045,
1.65842E+12,2022-07-21T12:01:08.896,9.16,0.222,0.984,0.053,
1.65842E+12,2022-07-21T12:01:08.936,9.2,0.219,0.984,0.058,
1.65842E+12,2022-07-21T12:01:08.976,9.24,0.23,0.995,0.062,
1.65842E+12,2022-07-21T12:01:09.016,9.28,0.251,0.998,0.054,
1.65842E+12,2022-07-21T12:01:09.056,9.32,0.255,0.981,0.044,
1.65842E+12,2022-07-21T12:01:09.096,9.36,0.25,0.974,0.034,
1.65842E+12,2022-07-21T12:01:09.136,9.4,0.262,0.995,0.04,
1.65842E+12,2022-07-21T12:01:09.176,9.44,0.261,0.993,0.044,
1.65842E+12,2022-07-21T12:01:09.216,9.48,0.247,0.953,0.039,
1.65842E+12,2022-07-21T12:01:09.256,9.52,0.259,0.975,0.05,
1.65842E+12,2022-07-21T12:01:09.296,9.56,0.288,0.995,0.077,
1.65842E+12,2022-07-21T12:01:09.336,9.6,0.3,0.979,0.107,
1.65842E+12,2022-07-21T12:01:09.376,9.64,0.303,0.972,0.11,
1.65842E+12,2022-07-21T12:01:09.416,9.68,0.296,0.967,0.074,
1.65842E+12,2022-07-21T12:01:09.456,9.72,0.3,0.978,0.05,
1.65842E+12,2022-07-21T12:01:09.496,9.76,0.29,1.011,0.061,
1.65842E+12,2022-07-21T12:01:09.536,9.8,0.276,0.982,0.08,
1.65842E+12,2022-07-21T12:01:09.576,9.84,0.257,0.932,0.102,
1.65842E+12,2022-07-21T12:01:09.616,9.88,0.26,0.926,0.101,
1.65842E+12,2022-07-21T12:01:09.656,9.92,0.274,0.944,0.119,
1.65842E+12,2022-07-21T12:01:09.696,9.96,0.271,0.96,0.141,
1.65842E+12,2022-07-21T12:01:09.736,10,0.28,0.931,0.164,
1.65842E+12,2022-07-21T12:01:09.776,10.04,0.28,0.871,0.192,
1.65842E+12,2022-07-21T12:01:09.816,10.08,0.352,0.79,0.241,
1.65842E+12,2022-07-21T12:01:09.856,10.12,0.299,0.661,0.286,
1.65842E+12,2022-07-21T12:01:09.896,10.16,0.235,0.514,0.214,
1.65842E+12,2022-07-21T12:01:09.936,10.2,0.204,0.464,0.187,
1.65842E+12,2022-07-21T12:01:09.976,10.24,0.197,0.554,0.225,
