epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g),
1.65842E+12,2022-07-21T11:31:24.017,9.32,0.306,0.968,-0.104,trial1
1.65842E+12,2022-07-21T11:31:24.057,9.36,0.298,0.969,-0.098,
1.65842E+12,2022-07-21T11:31:24.097,9.4,0.279,0.972,-0.104,
1.65842E+12,2022-07-21T11:31:24.137,9.44,0.263,0.975,-0.115,
1.65842E+12,2022-07-21T11:31:24.177,9.48,0.272,0.969,-0.128,
1.65842E+12,2022-07-21T11:31:24.217,9.52,0.279,0.954,-0.131,
1.65842E+12,2022-07-21T11:31:24.257,9.56,0.292,0.956,-0.132,
1.65842E+12,2022-07-21T11:31:24.297,9.6,0.302,0.962,-0.13,
1.65842E+12,2022-07-21T11:31:24.337,9.64,0.303,0.966,-0.122,
1.65842E+12,2022-07-21T11:31:24.377,9.68,0.293,0.97,-0.117,
1.65842E+12,2022-07-21T11:31:24.417,9.72,0.282,0.976,-0.114,
1.65842E+12,2022-07-21T11:31:24.457,9.76,0.273,0.969,-0.115,
1.65842E+12,2022-07-21T11:31:24.497,9.8,0.269,0.974,-0.122,
1.65842E+12,2022-07-21T11:31:24.537,9.84,0.271,0.971,-0.126,
1.65842E+12,2022-07-21T11:31:24.577,9.88,0.273,0.964,-0.132,
1.65842E+12,2022-07-21T11:31:24.617,9.92,0.282,0.959,-0.136,
1.65842E+12,2022-07-21T11:31:24.657,9.96,0.291,0.961,-0.128,
1.65842E+12,2022-07-21T11:31:24.697,10,0.281,0.968,-0.123,
1.65842E+12,2022-07-21T11:31:24.737,10.04,0.283,0.975,-0.119,
1.65842E+12,2022-07-21T11:31:24.777,10.08,0.283,0.969,-0.106,
1.65842E+12,2022-07-21T11:31:24.817,10.12,0.289,0.972,-0.102,
1.65842E+12,2022-07-21T11:31:24.857,10.16,0.288,0.976,-0.105,
1.65842E+12,2022-07-21T11:31:24.897,10.2,0.279,0.971,-0.115,
1.65842E+12,2022-07-21T11:31:24.937,10.24,0.279,0.963,-0.12,
1.65842E+12,2022-07-21T11:31:24.977,10.28,0.275,0.969,-0.122,
1.65842E+12,2022-07-21T11:31:25.017,10.32,0.287,0.976,-0.118,
1.65842E+12,2022-07-21T11:31:25.057,10.36,0.294,0.962,-0.093,
1.65842E+12,2022-07-21T11:31:25.097,10.4,0.323,0.975,-0.062,
1.65842E+12,2022-07-21T11:31:25.137,10.44,0.41,1.026,-0.024,
1.65842E+12,2022-07-21T11:31:25.177,10.48,0.456,0.968,-0.051,
1.65842E+12,2022-07-21T11:31:25.217,10.52,0.52,0.903,-0.054,
1.65842E+12,2022-07-21T11:31:25.257,10.56,0.648,0.876,-0.071,
1.65842E+12,2022-07-21T11:31:25.297,10.6,0.619,0.822,-0.12,
1.65842E+12,2022-07-21T11:31:25.337,10.64,0.578,0.823,-0.097,
1.65842E+12,2022-07-21T11:31:25.377,10.68,0.602,0.878,-0.158,
1.65842E+12,2022-07-21T11:31:25.417,10.72,0.609,0.952,-0.262,
1.65842E+12,2022-07-21T11:31:25.457,10.76,0.538,0.999,-0.292,
1.65842E+12,2022-07-21T11:31:25.497,10.8,0.473,1.057,-0.315,
1.65842E+12,2022-07-21T11:31:25.537,10.84,0.439,1.031,-0.331,
1.65842E+12,2022-07-21T11:31:25.577,10.88,0.382,1.01,-0.276,
1.65842E+12,2022-07-21T11:31:25.617,10.92,0.277,1.086,-0.25,
1.65842E+12,2022-07-21T11:31:25.657,10.96,0.205,1.035,-0.207,
1.65842E+12,2022-07-21T11:31:25.697,11,0.191,0.923,-0.134,
1.65842E+12,2022-07-21T11:31:25.737,11.04,0.244,0.777,-0.056,
1.65842E+12,2022-07-21T11:31:25.777,11.08,0.244,0.661,-0.064,
1.65842E+12,2022-07-21T11:31:25.817,11.12,0.412,0.785,-0.026,
1.65842E+12,2022-07-21T11:31:25.857,11.16,0.653,0.878,0.083,
1.65842E+12,2022-07-21T11:31:25.897,11.2,0.588,0.907,0.102,
1.65842E+12,2022-07-21T11:31:25.937,11.24,0.52,0.89,0.114,
1.65842E+12,2022-07-21T11:31:25.977,11.28,0.659,0.858,0.181,
1.65842E+12,2022-07-21T11:31:26.017,11.32,0.736,0.768,0.208,
1.65842E+12,2022-07-21T11:31:26.057,11.36,0.78,0.637,0.254,
1.65842E+12,2022-07-21T11:31:26.097,11.4,0.923,0.613,0.344,
1.65842E+12,2022-07-21T11:31:26.137,11.44,0.971,0.623,0.22,
1.65842E+12,2022-07-21T11:31:26.177,11.48,0.95,0.502,0.203,
1.65842E+12,2022-07-21T11:31:26.217,11.52,0.936,0.191,0.085,
1.65842E+12,2022-07-21T11:31:26.257,11.56,0.938,-0.227,0.108,
1.65842E+12,2022-07-21T11:31:26.297,11.6,0.946,-0.55,-0.231,
1.65842E+12,2022-07-21T11:31:26.337,11.64,1.263,-0.559,-0.513,
1.65842E+12,2022-07-21T11:31:26.377,11.68,1.034,-0.152,-0.504,
1.65842E+12,2022-07-21T11:31:26.417,11.72,1.473,0.504,-0.465,
1.65842E+12,2022-07-21T11:31:26.457,11.76,0.651,0.794,-0.465,
1.65842E+12,2022-07-21T11:31:26.497,11.8,0.444,0.757,-0.553,
1.65842E+12,2022-07-21T11:31:26.537,11.84,0.766,0.95,-0.113,
1.65842E+12,2022-07-21T11:31:26.577,11.88,0.07,0.973,0.416,
1.65842E+12,2022-07-21T11:31:26.617,11.92,-0.286,1.216,1.283,
1.65842E+12,2022-07-21T11:31:26.657,11.96,-0.313,1.642,0.938,
1.65842E+12,2022-07-21T11:31:26.697,12,0.541,1.906,0.466,
1.65842E+12,2022-07-21T11:31:26.737,12.04,0.457,2,1.542,
1.65842E+12,2022-07-21T11:31:26.777,12.08,0.49,1.679,0.013,
1.65842E+12,2022-07-21T11:31:26.817,12.12,0.598,1.34,0.592,
1.65842E+12,2022-07-21T11:31:26.857,12.16,0.641,0.478,1.613,
1.65842E+12,2022-07-21T11:31:26.897,12.2,0.975,0.538,0.382,
1.65842E+12,2022-07-21T11:31:26.937,12.24,1.068,0.663,1.09,
1.65842E+12,2022-07-21T11:31:26.977,12.28,1.901,-0.163,0.803,
1.65842E+12,2022-07-21T11:31:27.017,12.32,0.32,-0.22,0.887,
1.65842E+12,2022-07-21T11:31:27.057,12.36,-0.056,0.54,0.083,
1.65842E+12,2022-07-21T11:31:27.097,12.4,-0.22,0.853,0.155,
1.65842E+12,2022-07-21T11:31:27.137,12.44,-0.236,1.205,0.627,
1.65842E+12,2022-07-21T11:31:27.177,12.48,0.127,1.377,0.397,
1.65842E+12,2022-07-21T11:31:27.217,12.52,0.568,1.24,0.62,
1.65842E+12,2022-07-21T11:31:27.257,12.56,0.285,1.468,0.771,
1.65842E+12,2022-07-21T11:31:27.297,12.6,-0.149,1.478,1.164,
1.65842E+12,2022-07-21T11:31:27.337,12.64,0.243,0.25,0.629,
1.65842E+12,2022-07-21T11:31:27.377,12.68,0.84,0.05,1.042,
1.65842E+12,2022-07-21T11:31:27.417,12.72,0.7,0.39,1.052,
1.65842E+12,2022-07-21T11:31:27.457,12.76,0.225,0.367,0.805,
1.65842E+12,2022-07-21T11:31:27.497,12.8,0.222,0.375,0.827,
1.65842E+12,2022-07-21T11:31:27.537,12.84,0.147,0.353,0.927,
1.65842E+12,2022-07-21T11:31:27.577,12.88,0.369,0.392,0.953,
1.65842E+12,2022-07-21T11:31:27.617,12.92,0.323,0.318,0.941,
1.65842E+12,2022-07-21T11:31:27.657,12.96,0.132,0.349,0.97,
1.65842E+12,2022-07-21T11:31:27.697,13,0.113,0.361,0.953,
1.65842E+12,2022-07-21T11:31:27.737,13.04,0.239,0.359,0.919,
1.65842E+12,2022-07-21T11:31:27.777,13.08,0.213,0.37,0.924,
1.65842E+12,2022-07-21T11:31:27.817,13.12,0.239,0.364,0.915,
1.65842E+12,2022-07-21T11:31:27.857,13.16,0.228,0.359,0.948,
1.65842E+12,2022-07-21T11:31:27.897,13.2,0.106,0.39,0.927,
1.65842E+12,2022-07-21T11:31:27.937,13.24,0.189,0.342,0.955,
1.65842E+12,2022-07-21T11:31:27.977,13.28,0.138,0.391,0.952,
1.65842E+12,2022-07-21T11:31:28.017,13.32,0.222,0.336,0.898,
1.65842E+12,2022-07-21T11:31:28.057,13.36,0.259,0.367,0.95,
1.65842E+12,2022-07-21T11:31:28.097,13.4,0.238,0.35,0.927,
1.65842E+12,2022-07-21T11:31:28.137,13.44,0.234,0.343,0.962,
1.65842E+12,2022-07-21T11:31:28.177,13.48,0.256,0.347,0.96,
1.65842E+12,2022-07-21T11:31:28.217,13.52,0.21,0.344,0.942,
1.65842E+12,2022-07-21T11:31:28.257,13.56,0.205,0.356,0.935,
1.65842E+12,2022-07-21T11:31:28.297,13.6,0.232,0.347,0.927,
1.65842E+12,2022-07-21T11:31:28.337,13.64,0.186,0.363,0.953,
1.65842E+12,2022-07-21T11:31:28.377,13.68,0.205,0.353,0.928,
1.65842E+12,2022-07-21T11:31:28.417,13.72,0.2,0.368,0.944,
1.65842E+12,2022-07-21T11:31:28.457,13.76,0.18,0.354,0.921,
1.65842E+12,2022-07-21T11:31:28.497,13.8,0.222,0.362,0.943,
1.65842E+12,2022-07-21T11:31:28.537,13.84,0.199,0.357,0.938,
1.65842E+12,2022-07-21T11:31:28.577,13.88,0.177,0.365,0.945,
1.65842E+12,2022-07-21T11:31:28.617,13.92,0.232,0.35,0.929,
1.65842E+12,2022-07-21T11:31:28.657,13.96,0.207,0.364,0.962,
1.65842E+12,2022-07-21T11:31:28.697,14,0.195,0.348,0.92,
1.65842E+12,2022-07-21T11:31:28.737,14.04,0.221,0.36,0.951,
1.65842E+12,2022-07-21T11:31:28.777,14.08,0.208,0.341,0.925,
1.65842E+12,2022-07-21T11:31:28.817,14.12,0.209,0.345,0.918,
1.65842E+12,2022-07-21T11:31:28.857,14.16,0.207,0.239,0.733,
1.65842E+12,2022-07-21T11:31:28.897,14.2,0.239,0.326,0.946,
1.65842E+12,2022-07-21T11:31:28.937,14.24,0.148,0.307,0.79,
1.65842E+12,2022-07-21T11:31:28.977,14.28,0.28,0.666,1.34,
1.65842E+12,2022-07-21T11:31:29.017,14.32,0.179,0.336,0.781,
1.65842E+12,2022-07-21T11:31:29.057,14.36,0.039,0.536,0.872,
1.65842E+12,2022-07-21T11:31:29.097,14.4,0.309,0.537,0.999,
1.65842E+12,2022-07-21T11:31:29.137,14.44,0.093,0.652,0.811,
1.65842E+12,2022-07-21T11:31:29.177,14.48,0.299,0.528,0.945,
1.65842E+12,2022-07-21T11:31:29.217,14.52,-0.255,0.638,0.861,
1.65842E+12,2022-07-21T11:31:29.257,14.56,0.399,0.788,1.198,
1.65842E+12,2022-07-21T11:31:29.297,14.6,-0.064,0.923,0.515,
1.65842E+12,2022-07-21T11:31:29.337,14.64,0.627,1.587,1.387,
1.65842E+12,2022-07-21T11:31:29.377,14.68,0.332,2,0.128,
1.65842E+12,2022-07-21T11:31:29.417,14.72,-1.777,1.739,-1.502,
1.65842E+12,2022-07-21T11:31:29.457,14.76,-0.554,1.828,0.531,
1.65842E+12,2022-07-21T11:31:29.497,14.8,0.061,1.334,0.688,
1.65842E+12,2022-07-21T11:31:29.537,14.84,-0.04,0.746,0.293,
1.65842E+12,2022-07-21T11:31:29.577,14.88,0.276,0.9,0.499,
1.65842E+12,2022-07-21T11:31:29.617,14.92,0.705,1.009,0.401,
