epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g),
1.66E+12,2022-07-20T15:56:39.769,8.52,0.208,0.978,-0.165,trial 1
1.66E+12,2022-07-20T15:56:39.809,8.56,0.215,0.98,-0.168,
1.66E+12,2022-07-20T15:56:39.849,8.6,0.205,0.979,-0.165,
1.66E+12,2022-07-20T15:56:39.889,8.64,0.188,0.978,-0.121,
1.66E+12,2022-07-20T15:56:39.929,8.68,0.211,0.969,-0.198,
1.66E+12,2022-07-20T15:56:39.969,8.72,0.204,0.967,-0.202,
1.66E+12,2022-07-20T15:56:40.009,8.76,0.194,0.963,-0.144,
1.66E+12,2022-07-20T15:56:40.049,8.8,0.25,0.98,-0.097,
1.66E+12,2022-07-20T15:56:40.089,8.84,0.242,0.985,-0.097,
1.66E+12,2022-07-20T15:56:40.129,8.88,0.218,1.005,-0.09,
1.66E+12,2022-07-20T15:56:40.169,8.92,0.235,0.967,-0.024,
1.66E+12,2022-07-20T15:56:40.209,8.96,0.231,1.014,-0.075,
1.66E+12,2022-07-20T15:56:40.249,9,0.338,1.001,-0.127,
1.66E+12,2022-07-20T15:56:40.289,9.04,0.321,0.986,-0.052,
1.66E+12,2022-07-20T15:56:40.329,9.08,0.352,1.006,-0.086,
1.66E+12,2022-07-20T15:56:40.369,9.12,0.431,0.989,-0.146,
1.66E+12,2022-07-20T15:56:40.409,9.16,0.438,0.997,-0.149,
1.66E+12,2022-07-20T15:56:40.449,9.2,0.5,1.018,-0.17,
1.66E+12,2022-07-20T15:56:40.489,9.24,0.408,0.919,-0.157,
1.66E+12,2022-07-20T15:56:40.529,9.28,0.433,0.845,-0.08,
1.66E+12,2022-07-20T15:56:40.569,9.32,0.487,0.877,-0.107,
1.66E+12,2022-07-20T15:56:40.609,9.36,0.4,0.904,-0.176,
1.66E+12,2022-07-20T15:56:40.649,9.4,0.38,0.878,-0.147,
1.66E+12,2022-07-20T15:56:40.689,9.44,0.363,0.879,-0.108,
1.66E+12,2022-07-20T15:56:40.729,9.48,0.347,0.935,-0.104,
1.66E+12,2022-07-20T15:56:40.769,9.52,0.392,0.97,-0.087,
1.66E+12,2022-07-20T15:56:40.809,9.56,0.384,1.004,-0.071,
1.66E+12,2022-07-20T15:56:40.849,9.6,0.363,1.026,-0.009,
1.66E+12,2022-07-20T15:56:40.889,9.64,0.376,1.027,0.063,
1.66E+12,2022-07-20T15:56:40.929,9.68,0.364,1.161,0.054,
1.66E+12,2022-07-20T15:56:40.969,9.72,0.448,1.232,0.07,
1.66E+12,2022-07-20T15:56:41.009,9.76,0.441,0.928,0.137,
1.66E+12,2022-07-20T15:56:41.049,9.8,0.357,0.766,0.217,
1.66E+12,2022-07-20T15:56:41.089,9.84,0.279,0.874,0.131,
1.66E+12,2022-07-20T15:56:41.129,9.88,0.266,0.925,0.062,
1.66E+12,2022-07-20T15:56:41.169,9.92,0.282,0.829,0.068,
1.66E+12,2022-07-20T15:56:41.209,9.96,0.32,0.78,0.084,
1.66E+12,2022-07-20T15:56:41.249,10,0.333,0.759,0.134,
1.66E+12,2022-07-20T15:56:41.289,10.04,0.333,0.715,0.12,
1.66E+12,2022-07-20T15:56:41.329,10.08,0.372,0.722,0.113,
1.66E+12,2022-07-20T15:56:41.369,10.12,0.441,0.717,0.125,
1.66E+12,2022-07-20T15:56:41.409,10.16,0.499,0.66,0.074,
1.66E+12,2022-07-20T15:56:41.449,10.2,0.557,0.707,0.071,
1.66E+12,2022-07-20T15:56:41.489,10.24,0.639,0.815,0.151,
1.66E+12,2022-07-20T15:56:41.529,10.28,0.658,0.738,0.107,
1.66E+12,2022-07-20T15:56:41.569,10.32,0.626,0.895,0.036,
1.66E+12,2022-07-20T15:56:41.609,10.36,0.618,1.086,0.061,
1.66E+12,2022-07-20T15:56:41.649,10.4,0.621,1.257,0.19,
1.66E+12,2022-07-20T15:56:41.689,10.44,0.521,1.527,0.259,
1.66E+12,2022-07-20T15:56:41.729,10.48,0.734,1.911,0.131,
1.66E+12,2022-07-20T15:56:41.769,10.52,0.708,1.308,0.083,
1.66E+12,2022-07-20T15:56:41.809,10.56,0.294,-0.059,0.187,
1.66E+12,2022-07-20T15:56:41.849,10.6,0.175,-1.354,0.035,
1.66E+12,2022-07-20T15:56:41.889,10.64,0.344,-1.592,0.208,
1.66E+12,2022-07-20T15:56:41.929,10.68,0.57,-1.131,0.154,
1.66E+12,2022-07-20T15:56:41.969,10.72,0.707,-0.054,0.456,
1.66E+12,2022-07-20T15:56:42.009,10.76,0.487,0.664,0.472,
1.66E+12,2022-07-20T15:56:42.049,10.8,0.011,1.57,0.787,
1.66E+12,2022-07-20T15:56:42.089,10.84,-0.381,1.802,1.153,
1.66E+12,2022-07-20T15:56:42.129,10.88,-0.45,1.847,0.616,
1.66E+12,2022-07-20T15:56:42.169,10.92,-0.247,1.212,-0.916,
1.66E+12,2022-07-20T15:56:42.209,10.96,0.025,1.477,-1.01,
1.66E+12,2022-07-20T15:56:42.249,11,0.196,1.994,1.669,
1.66E+12,2022-07-20T15:56:42.289,11.04,0.014,1.123,0.85,
1.66E+12,2022-07-20T15:56:42.329,11.08,0.769,-0.246,1.232,
1.66E+12,2022-07-20T15:56:42.369,11.12,0.492,0.48,1.133,
1.66E+12,2022-07-20T15:56:42.409,11.16,0.466,0.663,-0.073,
1.66E+12,2022-07-20T15:56:42.449,11.2,0.49,0.971,1.146,
1.66E+12,2022-07-20T15:56:42.489,11.24,0.363,1.114,-0.053,
1.66E+12,2022-07-20T15:56:42.529,11.28,0.525,0.892,0.724,
1.66E+12,2022-07-20T15:56:42.569,11.32,0.526,0.184,1.229,
1.66E+12,2022-07-20T15:56:42.609,11.36,0.306,1.555,0.773,
1.66E+12,2022-07-20T15:56:42.649,11.4,0.328,1.961,1.41,
1.66E+12,2022-07-20T15:56:42.689,11.44,-0.678,0.431,-1.008,
1.66E+12,2022-07-20T15:56:42.729,11.48,-0.452,0.261,0.165,
1.66E+12,2022-07-20T15:56:42.769,11.52,-0.088,1.021,0.012,
1.66E+12,2022-07-20T15:56:42.809,11.56,0.093,1.055,0.244,
1.66E+12,2022-07-20T15:56:42.849,11.6,0.082,0.919,0.453,
1.66E+12,2022-07-20T15:56:42.889,11.64,-0.014,0.961,0.125,
1.66E+12,2022-07-20T15:56:42.929,11.68,0.024,1.141,0.833,
1.66E+12,2022-07-20T15:56:42.969,11.72,-0.003,1.103,0.413,
1.66E+12,2022-07-20T15:56:43.009,11.76,-0.142,0.892,0.312,
1.66E+12,2022-07-20T15:56:43.049,11.8,-0.219,0.663,0.506,
1.66E+12,2022-07-20T15:56:43.089,11.84,0.006,0.609,0.464,
1.66E+12,2022-07-20T15:56:43.129,11.88,0.135,0.703,0.511,
1.66E+12,2022-07-20T15:56:43.169,11.92,0.029,0.722,0.482,
1.66E+12,2022-07-20T15:56:43.209,11.96,0.087,0.776,0.483,
1.66E+12,2022-07-20T15:56:43.249,12,0.064,0.898,0.469,
1.66E+12,2022-07-20T15:56:43.289,12.04,0.065,1.047,0.587,
1.66E+12,2022-07-20T15:56:43.329,12.08,0.044,0.977,0.464,
1.66E+12,2022-07-20T15:56:43.369,12.12,0.061,0.888,0.558,
1.66E+12,2022-07-20T15:56:43.409,12.16,0.038,0.869,0.444,
1.66E+12,2022-07-20T15:56:43.449,12.2,0.059,0.939,0.445,
1.66E+12,2022-07-20T15:56:43.489,12.24,0.035,1.031,0.418,
1.66E+12,2022-07-20T15:56:43.529,12.28,0.052,1.017,0.443,
1.66E+12,2022-07-20T15:56:43.569,12.32,0.014,0.916,0.403,
1.66E+12,2022-07-20T15:56:43.609,12.36,0.012,0.882,0.445,
1.66E+12,2022-07-20T15:56:43.649,12.4,0.028,0.916,0.435,
1.66E+12,2022-07-20T15:56:43.689,12.44,0.067,0.942,0.507,
1.66E+12,2022-07-20T15:56:43.729,12.48,0.051,0.922,0.461,
1.66E+12,2022-07-20T15:56:43.769,12.52,0.042,0.861,0.474,
1.66E+12,2022-07-20T15:56:43.809,12.56,0.02,0.845,0.448,
1.66E+12,2022-07-20T15:56:43.849,12.6,0.018,0.861,0.456,
1.66E+12,2022-07-20T15:56:43.889,12.64,0.026,0.871,0.461,
1.66E+12,2022-07-20T15:56:43.929,12.68,0.039,0.893,0.473,
1.66E+12,2022-07-20T15:56:43.969,12.72,0.042,0.918,0.469,
1.66E+12,2022-07-20T15:56:44.009,12.76,0.025,0.899,0.437,
1.66E+12,2022-07-20T15:56:44.049,12.8,0.027,0.895,0.454,
1.66E+12,2022-07-20T15:56:44.089,12.84,0.05,0.997,0.462,
1.66E+12,2022-07-20T15:56:44.129,12.88,0.101,1.277,0.528,
1.66E+12,2022-07-20T15:56:44.169,12.92,0.039,1.869,0.611,
1.66E+12,2022-07-20T15:56:44.209,12.96,-0.093,1.306,0.246,
1.66E+12,2022-07-20T15:56:44.249,13,-0.391,0.324,-1.478,
1.66E+12,2022-07-20T15:56:44.289,13.04,0.457,0.429,0.578,
1.66E+12,2022-07-20T15:56:44.329,13.08,-0.036,-0.132,1.679,
1.66E+12,2022-07-20T15:56:44.369,13.12,-0.442,-0.346,0.435,
