epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1.65971E+12,2022-08-05T10:24:40.698,0,0.427,0.077,0.825
1.65971E+12,2022-08-05T10:24:40.738,0.04,0.479,0.073,0.968
1.65971E+12,2022-08-05T10:24:40.778,0.08,0.548,0.08,0.969
1.65971E+12,2022-08-05T10:24:40.818,0.12,0.553,0.038,0.982
1.65971E+12,2022-08-05T10:24:40.858,0.16,0.546,0.025,1.057
1.65971E+12,2022-08-05T10:24:40.898,0.2,0.523,0.034,1.096
1.65971E+12,2022-08-05T10:24:40.938,0.24,0.522,0.038,1.09
1.65971E+12,2022-08-05T10:24:40.978,0.28,0.488,0.038,1.119
1.65971E+12,2022-08-05T10:24:41.018,0.32,0.529,0.028,1.126
1.65971E+12,2022-08-05T10:24:41.058,0.36,0.498,0.029,1.127
1.65971E+12,2022-08-05T10:24:41.098,0.4,0.496,0.003,1.077
1.65971E+12,2022-08-05T10:24:41.138,0.44,0.489,-0.037,1.005
1.65971E+12,2022-08-05T10:24:41.178,0.48,0.481,-0.071,0.929
1.65971E+12,2022-08-05T10:24:41.218,0.52,0.516,-0.11,0.893
1.65971E+12,2022-08-05T10:24:41.258,0.56,0.473,-0.151,0.866
1.65971E+12,2022-08-05T10:24:41.298,0.6,0.388,-0.202,0.842
1.65971E+12,2022-08-05T10:24:41.338,0.64,0.335,-0.238,0.824
1.65971E+12,2022-08-05T10:24:41.378,0.68,0.282,-0.258,0.833
1.65971E+12,2022-08-05T10:24:41.418,0.72,0.208,-0.262,0.846
1.65971E+12,2022-08-05T10:24:41.458,0.76,0.166,-0.305,0.851
1.65971E+12,2022-08-05T10:24:41.498,0.8,0.121,-0.312,0.864
1.65971E+12,2022-08-05T10:24:41.538,0.84,0.101,-0.291,0.872
1.65971E+12,2022-08-05T10:24:41.578,0.88,0.118,-0.29,0.904
1.65971E+12,2022-08-05T10:24:41.618,0.92,0.181,-0.287,0.973
1.65971E+12,2022-08-05T10:24:41.658,0.96,0.319,-0.291,0.97
1.65971E+12,2022-08-05T10:24:41.698,1,0.321,-0.321,0.929
1.65971E+12,2022-08-05T10:24:41.738,1.04,0.26,-0.314,0.958
1.65971E+12,2022-08-05T10:24:41.778,1.08,0.209,-0.314,0.93
1.65971E+12,2022-08-05T10:24:41.818,1.12,0.251,-0.316,0.901
1.65971E+12,2022-08-05T10:24:41.858,1.16,0.323,-0.314,0.969
1.65971E+12,2022-08-05T10:24:41.898,1.2,0.285,-0.306,0.909
1.65971E+12,2022-08-05T10:24:41.938,1.24,0.286,-0.294,0.909
1.65971E+12,2022-08-05T10:24:41.978,1.28,0.309,-0.284,0.92
1.65971E+12,2022-08-05T10:24:42.018,1.32,0.317,-0.279,0.92
1.65971E+12,2022-08-05T10:24:42.058,1.36,0.334,-0.285,0.924
1.65971E+12,2022-08-05T10:24:42.098,1.4,0.361,-0.282,0.921
1.65971E+12,2022-08-05T10:24:42.138,1.44,0.366,-0.29,0.927
1.65971E+12,2022-08-05T10:24:42.178,1.48,0.36,-0.292,0.936
1.65971E+12,2022-08-05T10:24:42.218,1.52,0.362,-0.292,0.932
1.65971E+12,2022-08-05T10:24:42.258,1.56,0.374,-0.301,0.924
1.65971E+12,2022-08-05T10:24:42.298,1.6,0.377,-0.303,0.916
1.65971E+12,2022-08-05T10:24:42.338,1.64,0.37,-0.308,0.912
1.65971E+12,2022-08-05T10:24:42.378,1.68,0.359,-0.311,0.916
1.65971E+12,2022-08-05T10:24:42.418,1.72,0.352,-0.31,0.916
1.65971E+12,2022-08-05T10:24:42.458,1.76,0.356,-0.309,0.913
1.65971E+12,2022-08-05T10:24:42.498,1.8,0.359,-0.313,0.902
1.65971E+12,2022-08-05T10:24:42.538,1.84,0.353,-0.317,0.908
1.65971E+12,2022-08-05T10:24:42.578,1.88,0.336,-0.32,0.902
1.65971E+12,2022-08-05T10:24:42.618,1.92,0.335,-0.318,0.886
1.65971E+12,2022-08-05T10:24:42.658,1.96,0.359,-0.316,0.865
1.65971E+12,2022-08-05T10:24:42.698,2,0.388,-0.328,0.932
1.65971E+12,2022-08-05T10:24:42.738,2.04,0.372,-0.326,0.904
1.65971E+12,2022-08-05T10:24:42.778,2.08,0.361,-0.319,0.88
1.65971E+12,2022-08-05T10:24:42.818,2.12,0.377,-0.323,0.901
1.65971E+12,2022-08-05T10:24:42.858,2.16,0.377,-0.326,0.894
1.65971E+12,2022-08-05T10:24:42.898,2.2,0.384,-0.325,0.881
1.65971E+12,2022-08-05T10:24:42.938,2.24,0.381,-0.33,0.888
1.65971E+12,2022-08-05T10:24:42.978,2.28,0.391,-0.325,0.905
1.65971E+12,2022-08-05T10:24:43.018,2.32,0.396,-0.323,0.894
